Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Διεύθυνση,Εναλλακτικό Φαξ
ΑΓΙΟΣ ΑΝΔΡΕΑΣ,"


0.8 Χλμ
",4,info@st-andrea.gr,+302284028890-2,22840-28894,Νάουσα,844 00,www.st-andrea.gr,22840-51580,+306942222385,ΝΑΟΥΣΑ ΠΑΡΟΥ,
ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,,2,,22410-24971,,Ρόδος,851 00,,,,ΙΩΝΟΣ ΔΡΑΓΟΥΜΗ 7,
ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,"


1.5 Χλμ
",2,info@christoforos.eu,22840-41511,22840-42681,Πίσω Λιβάδι,844 00,www.sanantonio.gr,,2284-041511,ΠΙΣΩ ΛΕΙΒΑΔΙ ΠΑΡΟΥ,
ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ-ΚΑΛΟΚΑΙΡΙΝΗ ΧΩΡΑ,"


1 Χλμ
",4,elenareservations@yahoo.gr,22890-28150,22890-28149,Μύκονος,846 00,www.sanantonio-summerland.com,22890-28151,2289-024073,ΑΜΥΓΔΑΛΙΔΙ ΜΥΚΟΝΟΥ,2289-028149
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,"


4.5 Χλμ
",4,nikitas.toulias@sohohouse.com,2289027480,22890-27481,Μύκονος,846 00,https://www.sohohouse.com/en-us/houses/soho-roc-house,,21-09690559,ΠΑΡΑΓΚΑ ΜΥΚΟΝΟΥ,2289-027481
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,"


3 Χλμ
",4,info@saintgeorgehotel.gr,22840-43400,22840-28728,Μάρπησσα,844 00,www.saintgeorgehotel.gr,22840-28672,2284-052550,ΜΑΡΠΗΣΑ ΠΑΡΟΥ,
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,,2,kampileision@gmail.com,22820-41591,,Μπατσί,845 00,,,,,
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΒΑΛΣΑΜΙΤΗΣ,"


0.3 Χλμ
",2,hotelvalsamitis@hotmail.gr,22850-71228,22850-71147,Κατάπολα,840 08,https://www.hotelvalsamitis.com/,22850-71148,,ΚΑΤΑΠΟΛΑ ΑΜΟΡΓΟΥ,
ΑΓΙΟΣ ΓΙΑΝΝΗΣ,"


2.5 Χλμ
",5,assgm@saintjohn.gr,22890-28752,22890-28751,Άγιος Ιωάννης Διακόφτης,846 00,www.saintjohn.gr,2289028583,2289-028538,ΑΓ.ΓΙΑΝΝΗΣ-ΜΥΚΟΝΟΣ,2289028751
ΑΓΙΟΣ ΙΩΑΝΝΗΣ,,3,zifos-travel@rho.forthnet.gr,22440-44169,,Γεννάδι,851 09,,,,ΛΑΡΔΟΣ,
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,"


0.6 Χλμ
",3,info@saintconstantine.gr,22420-23301,22420-23502,Κως,853 00,www.constantin-hotel.com,2242023301,2242-025146,ΚΑΝΑΡΗ 45,2242-023502
ΑΓΙΟΣ ΜΙΧΑΗΛ,,3,info@saintmichel.gr,22410-33545,,Ρόδος,851 00,www.saintmichel.gr,,,ΠΕΡΙΚΛΕΟΥΣ 68,
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,,1,,22410-51171,,Αφάντου,851 03,,,,ΑΦΑΝΤΟΥ ΡΟΔΟΥ,
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,"


25 Χλμ
",2,,22450-71201,,Άγιος Νικόλαος,857 00,,,6979-864967,ΑΓ. ΝΙΚΟΛΑΟΣ ΣΠΟΩΝ ΚΑΡΠΑΘΟΥ,
ΑΓΙΟΣ ΠΡΟΚΟΠΙΟΣ,"


4 Χλμ
",2,info@prokopis.com,22850-42560,22850-41983,Άγιος Προκόπιος,843 00,www.prokopis.com,22850-42060,,ΑΓΙΟΣ ΠΡΟΚΟΠΙΟΣ ΝΑΞΟΥ,
ΑΓΚΑΛΗ ΧΑΟΥΖΙΣ,,4,info@agalihouses.gr,2286022811,2286022131,Θήρα,84700,www.agalihouses.gr,2286024043,,,
ΑΓΛΑ,"


0.2 Χλμ
",4,info@aglahotel.gr,22410-22061,22410-34984,Ρόδος,851 00,www.aglahotel.gr,22410-22062,2241-022061,ΑΠΟΛΛΩΝΟΣ ΑΜΕΡΙΚΗΣ 35,2241-034984
ΑΓΝΑΝΤΙ,,2,info@hotelagnadi.gr,22850-42080,22850-42088,Αγία Αννα,843 00,www.hotelagnadi.gr,22850-42520,,,
ΑΓΝΑΝΤΙ,"


1 Χλμ
",2,agnadimilos@otenet.gr,22870-22322,22870-22580,Αδάμαντας,848 00,,22870-22581,2287-022322,,
ΑΓΝΑΝΤΙ,,2,info@amorgos-agnadi.com,2285073009,2285073009,Όρμος Αιγιάλης,84008,,,,,
ΑΓΡΕΛΛΗΣ,"


0.5 Χλμ
",3,info@hotelagrelli.gr,6944314145,2242091226,Καρδάμαινα,853 02,www.hotelagrelli.gr,6944356820,2242-091126,ΚΑΡΔΑΜΑΙΝΑ ΚΩΣ,2242-091226
ΑΔΑΜΑΣ,"


1 Χλμ
",2,info@hoteladamas-milos.gr,22870-24231,,Αδάμαντας,848 00,www.hoteladamas-milos.gr,,2287-022322,,2287-022580
ΑΔΑΜΑΣΤΟΣ,"


9 Χλμ
",3,adamastos.cb@gmail.com,22860-81188,22860-81866,Ακρωτήρι,847 00,www.adamastos-hotel.com,,2286-081867,ΑΚΡΩΤΗΡΙ ΘΗΡΑΣ,2286-081866
ΑΔΩΝΙΣ,"


36 Χλμ
",2,info@naxos-hotel-adonis.com,22850-67060,22850-67023,Απόλλωνας,843 01,www.naxos-hotel-adonis.com,,,ΑΠΟΛΛΩΝΑΣ ΝΑΞΟΥ,
ΑΔΩΝΙΣ,"


4 Χλμ
",2,adonispatmoS@gmail.com,22470-31103,22470-31103,Πάτμος,855 00,http://adonispatmos.com/,,21-02828095,,21-02825508
ΑΔΩΝΙΣ,"


15 Χλμ
",2,,22860-31956,22860-33709,Καμάρι,847 00,,,21-06395158,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΑΔΩΝΙΣ,"


0.35 Χλμ
",3,adonisparos@gmail.com,22840-51462,22840-52685,Νάουσα,844 01,www.adonisparos.com,22840-51150,2284-053133,ΝΑΟΥΣΑ ΠΑΡΟΥ,2284-052685
ΑΕΓΚΟΝ,,5,gm@aegonmykonos.com,2106743122,,Άνω Μερά,84600,https://www.aegonmykonos.com/,2289449000,,,
ΑΕΟΛΙΣ ΤΗΝΟΣ ΣΟΥΙΤΕΣ,,4,info@aeolistinossuites.com,6974576043,,Τριαντάρος,84200,https://aeolistinossuites.com/,,,,
ΑΕΡΙ,,3,info@aerifolegandros.gr,22860-41606,2286041607,Φολέγανδρος,840 01,www.aerifolegandros.gr,,,ΦΟΛΕΓΑΝΔΡΟΣ,
ΑΕΡΙΚΟ,"


2 Χλμ
",3,aerikohotel@gmail.com,22450-41907,22450-41906,Φρύ,858 00,,22450-41369,21-09571194,ΑΡΒΑΝΙΤΟΧΩΡΙ,
ΑΖΟΛΙΜΝΟΣ ΜΠΕΪ,,3,info@azolimnosbay.gr,2281061647,2281061947,Ερμούπολη,84100,www.azolimnosbay.gr,,,,
ΑΘΗΝΑ,"


0.7 Χλμ
",3,info@athenahotel.gr,22410-22631,22410-34694,Ρόδος,851 00,www.athenahotel.gr,22410-22632,2241-022631,Γ.ΛΕΟΝΤΟΣ 27  &  ΑΜΑΛΙΑΣ,2241-034694
ΑΘΗΝΑ,"


1.8 Χλμ
",2,kastanisj@ath.forthnet.gr,22420-25044,22420-25647,Κως,853 00,,22420-25045,2242-025044,ΛΑΜΠΗ ΚΩΣ,2242-025647
ΑΘΗΝΑ,,4,info@athinapallas.com,22450-61120,,Αρκάσα,857 00,www.athinapallas.com,,,ΑΡΚΑΣΑ ΚΑΡΠΑΘΟΥ,
ΑΘΗΝΑ,,2,katrin.chatziioannou@gmail.com,2247029341,,Πάτμος,855 00,,,2247029341,ΓΡΟΙΚΟΣ ΠΑΤΜΟΥ,
ΑΘΗΝΑΙΟΝ,"


1 Χλμ
",4,info@athineonhotel.gr,22410-26112,22410-26459,Ρόδος,851 00,www.athineonhotel.gr,26125,2241-026112,ΚΑΝΑΔΑ 12  &  ΒΥΡΩΝΟΣ 17,2241-026459
ΑΘΗΝΟΥΛΑ,,2,info@hotelathinoula.gr,22420-72184,2242072185,Κέφαλος,853 01,www.hotelathinoula.gr,22420-72183,,,
ΑΙΓΑΙΟ,,2,mixaliskoukias@gmail.com,22460-49138,,Μεγίστη,851 11,,,,ΜΕΓΙΣΤΗ ΔΩΔΕΚΑΝΗΣΟΥ,
ΑΙΓΑΙΟΝ,"


5 Χλμ
",1,info@ios-aegeon.com,6972713109,22860-91008,Ίος,840 01,www.ios-aegeon.com,22860-91007,22860-92007,ΜΥΛΟΠΟΤΑ,
ΑΙΓΑΙΟΝ,"


0.8 Χλμ
",3,aegeohtl@otenet.gr,22840-22153,22840-22640,Πάρος,844 00,www.hotelaegeon.gr,22840-22154,6939287288,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΑΙΓΑΙΟΝ,"


0.5 Χλμ
",3,aegeon.hotel@hotmail.com,22420-24701,22420-24701,Κως,853 00,www.aegeonhotel-kos.com/en/,,2242-028595,ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ 30,2242-026234
ΑΙΓΑΙΟΝ,"


2 Χλμ
",2,1-aegean@otenet.gr,22890-22869,22890-24927,Μύκονος,846 00,,,2289-022869,ΠΗΓΑΔΟΣ ΜΥΚΟΝΟΥ,2289-024927
ΑΙΓΑΙΟΝ,,2,info@hotel-aigaion.gr,22850-74050,22850-74056,Κουφονήσι,843 00,www.hotel-aigaion.gr,22850-74051,21-04826409,ΚΟΥΦΟΝΗΣΙ ΚΥΚΛΑΔΩΝ,21-04833831
ΑΙΓΑΙΟΝ,"


0.5 Χλμ
",2,info@hotelaegeon.com,2285023478-9,22850-23224,Νάξος,843 00,www.hotelaegeon.com,2285023222-3,2285-022107,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΝΑΞΟΥ,2285-023224
ΑΙΓΑΙΟΝ,"


0.2 Χλμ
",2,info@aegeohotel.com,22860-41468,22860-41469,Φολέγανδρος,840 11,www.aegeohotel.com,,,ΑΓΓΕΛΙΔΕΣ,
ΑΙΓΑΙΟΝ,"


8 Χλμ
",4,info@aegeanvillage.gr,22450-81194,22450-81196,Λακκί,857 00,www.aegeanvillage.gr,,2245-081229,ΛΑΚΚΙ ΜΕΝΕΤΩΝ ΚΑΡΠΑΘΟΥ,
ΑΙΓΑΙΟΠΕΛΑΓΙΤΙΚΑ ΣΠΙΤΙΑ,"


1.5 Χλμ
",2,louistudios@hotmail.com,22430-47150,22430-47698,Κάλυμνος,852 00,www.aegeanhome.gr,69320-56012,2243-047150,,2243-047698
ΑΙΓΑΙΟΠΕΛΑΓΙΤΙΚΗ ΘΕΑ,,4,info@aegeanview-santorini.com,22860-31307,2286034187,Καμάρι,847 00,https://aegeanview-santorini.com,2286032790,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΑΙΓΑΙΟΠΕΛΑΓΙΤΙΚΟ ΧΩΡΙΟ ΤΖΩΡΤΖΗ,,2,inter@otenet.gr,22840-23187,22840-23880,Πάρος,844 00,www.paros-accommodations.gr,,,ΦΛΟΙΑ ΠΑΡΟΙΚΙΑΣ ΠΑΡΟΥ,
ΑΙΓΙΑΛΙΣ,"


1.5 Χλμ
",5,aegialis@aegialis.com,22850-73393,22850-73395,Αιγιάλη,840 08,www.amorgos-aegialis.com,22850-73107,21-06890410,ΑΙΓΙΑΛΗ-ΑΜΟΡΓΟΥ,21-06831858
ΑΙΓΙΑΛΟΣ,"


0.5 Χλμ
",5,hotel@aigialos.gr,22860-25191/5,22860-22856,Θήρα,847 00,www.aigialos.gr,210-3636637,21-03636637,ΦΗΡΑ ΘΗΡΑΣ,21-03625233
ΑΙΓΛΗ,"


0.8 Χλμ
",1,aegli1876@gmail.com,22830-22240,22830-22650,Τήνος,842 00,,22830-23940,2283-023930,ΤΗΝΟΣ,
ΑΙΓΛΗ,"


0.1 Χλμ
",3,egli.andros@gmail.com,22820-22060,22820-25360,Άνδρος,845 00,www.eglihotel.gr,,6938346363,ΧΩΡΑ ΑΝΔΡΟΥ,
ΑΙΓΛΗ,"


0.8 Χλμ
",2,info@aegli-hotel.gr,22810-79279,22810-79289,Ερμούπολη,841 00,www.aegli-hotel.gr,6977894363,,ΚΛΕΙΣΘΕΝΟΥΣ 14,
ΑΙΘΡΙΟ ΣΑΝΤΟΡΙΝΗΣ,"


12 Χλμ
",4,info@aethrio.gr,22860-71040,22860-71930,Οία,847 02,www.aethrio.gr,,,ΟΙΑ ΣΑΝΤΟΡΙΝΗΣ,
ΑΙΘΡΙΟΝ ΑΙΓΛΗΣ,"


11 Χλμ
",5,manager@atrium.gr,22440-46222,22440-46220,,851 09,www.atriumprestige.gr,22410-44901,22410-44901,ΛΑΧΑΝΙΑ,22410-44908
ΑΙΘΡΙΟΝ ΠΑΛΛΑΣ,"


12 Χλμ
",5,koskon@otenet.gr,22410-44901,22410-44908,Κάλαθος,851 02,www.atrium.gr,22410-44902,2244-31601,ΠΑΡΑΛ.ΚΑΛΑΘΟΥ ΡΟΔΟΥ,22440-31600
ΑΙΚΑΤΕΡΙΝΗ,"


0.3 Χλμ
",2,hotelkaterini@hotmail.gr,22420-28285,22420-26573,Κως,853 00,,,2242-028285,ΤΣΑΛΔΑΡΗ 6,
ΑΙΚΑΤΕΡΙΝΗ,"


3.5 Χλμ
",3,info@ekaterini-hotel.com,22440-47131,22440-47048,Κιοτάρι,851 09,www.ekaterini-hotel.com,,6948-597781,ΚΙΟΤΑΡΙ ΑΣΚΛΗΠΕΙΟΥ ΡΟΔΟΥ,
ΑΪΛΑΝΤ ΡΕΣΟΡΤΣ ΒΑΛΙΝΑΚΗΣ ΜΠΗΤΣ,,3,info@marisolhotel.gr,22420-91354,,Καρδάμαινα,853 02,www.marisolhotel.gr,,2242-091354,ΚΑΡΔΑΜΑΙΝΑ ΚΩΣ,
ΑΙΝΙΓΜΑ,"


0.1 Χλμ
",4,enigma2@otenet.gr,22860-24024,22860-24023,Θήρα,847 00,www.enigmasantorini.com,22787,21-06204363,ΦΗΡΑ ΘΗΡΑΣ,21-06204363
ΑΙΟΛΙΣ,"


0.7 Χλμ
",3,info@aeolishotel.com,22850-22321,22850-23600,Νάξος,843 00,www.aeolishotel.com,2285023601-3,6944-285414,ΧΩΡΑ ΝΑΞΟΥ,2285-023600
ΑΙΟΛΙΣ,"


4 Χλμ
",2,aeolis-hotel@aeolis-hotel.com,22870-23985,22870-21114,Αδάμαντας,848 01,www.aeolis-hotel.com,,,ΑΔΑΜΑΣ ΜΗΛΟΥ,
ΑΙΟΛΟΣ,"


0.1 Χλμ
",2,info@aeoloshotel.gr,22890-23535,22890-22463,Μύκονος,846 00,www.aeoloshotel.gr,22890-025003,2289-023535,,
ΑΙΟΛΟΣ,"


5 Χλμ
",2,info@aelosifnos.gr,6932336442,22840-31703,Καμάρες,840 03,www.aelosifnos.gr,,21-09649388,ΚΑΜΑΡΕΣ ΣΙΦΝΟΥ,21-09649388
ΑΙΟΛΟΣ,"


3 Χλμ
",3,aeolosfolegandrosgr@gmail.com,22860-41205,22860-41336,Φολέγανδρος,840 11,www.aeolos-folegandros.gr,,21-09223819,ΚΑΡΑΒΟΣΤΑΣΙ,
ΑΙΟΛΟΣ,"


0.5 Χλμ
",2,mikepanagiotou@hotmail.com,22450-23138,22450-23138,Κάρπαθος,857 00,www.aeoloskarpathos.gr,,21-04512257,,
ΑΙΟΛΟΣ,"


0.1 Χλμ
",3,info@aeoloshotel.com,22850-74206,22850-71188,Κουφονήσι,843 00,www.aeoloshotel.com,22850-74296,21-05544380,ΚΟΥΦΟΝΗΣΙ ΚΥΚΛΑΔΩΝ,
ΑΙΟΛΟΣ,"


4 Χλμ
",3,info@aiolos-hotel.gr,22820-51311,22820-51472,Μένητες,845 00,www.aiolos-hotel.gr,6944-521693,,ΜΕΝΗΤΕΣ ΑΝΔΡΟΥ,
ΑΙΟΛΟΣ – ΗΡΑΚΛΕΙΑ,"


0.3 Χλμ
",2,info@aiolos-iraklia.gr,22850-71233,22850-71233,Ηράκλεια,843 00,www.aiolos-iraklia.gr,,210-9760816,ΡΑΧΙΔΙ,210-9760816
ΑΙΟΛΟΣ ΒΙΛΛΕΣ,"


1.5 Χλμ
",4,info@aeolos.gr,22860-23321,22860-23839,Ημεροβίγλι,847 00,www.aeolos.gr,210-8974396,,ΗΜΕΡΟΒΙΓΛΙ ΘΗΡΑΣ,
ΑΙΟΛΟΣ ΜΠΕΙ,"


0.4 Χλμ
",3,info@aeolosbayhotel.gr,22830-23339,22830-23086,Τήνος,842 00,,,2283-023410,{ΑΓΚΑΛΗ},2283-023086
ΑΚΑΝΤΙΑ,,3,,22410-22251,,Ρόδος,851 00,,,,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 6,
ΑΚΗΣ,"


8 Χλμ
",2,akishtl@otenet.gr,22860-31670,22860-31423,Καμάρι,847 00,www.akishotel.gr,,21-05147239,ΚΑΜΑΡΙ ΘΗΡΑΣ,21-05147548
ΑΚΟΥΑ ΒΑΤΟΣ,,3,gm@aquavistahotels.com,2284021510,,Πάρος,84400,https://www.acquavatosparos.com/,,,,
ΑΚΟΥΑ ΓΚΡΑΝΤ,"


48 Χλμ
",5,logistirio@maritour.gr,22440-30577,22440-48060,Λίνδος,851 07,www.aquagrand.gr,22440-48540,,ΨΑΛΤΟΣ,
ΑΚΟΥΑ ΜΑΡΙΝΑ ΡΗΖΟΡΤ,"


3 Χλμ
",4,info@acquamarina.gr,22840-43281,22840-43236,Μάρπησσα,844 00,www.acquamarina.gr,6980629999,,ΤΣΕΡΔΑΚΙΑ ΜΑΡΠΗΣΣΑΣ ΠΑΡΟΥ,
ΑΚΟΥΑ ΜΠΛΟΥ,"


2 Χλμ
",5,info@aquabluhotel.gr,22420-22440,22420-22277,Κως,85300,,,2242-022780,ΕΘΕΛΟΝΤΩΝ ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ,
ΑΚΟΥΑ ΜΠΛΟΥ,,5,accounts@kdhotels.com,2286024580,,Πέρισσα,84700,,,,,
ΑΚΟΥΑ ΠΕΤΡΑ,,3,aquapetra.hotel@gmail.com,2285073011,,Αιγιάλη,84008,www.hotelaquapetra.gr,6980100311,,ΑΓΙΟΣ ΠΑΥΛΟΣ,
ΑΚΟΥΑΜΑΡΕ,"


0.9 Χλμ
",3,logistirio@maritour.gr,22410-30577,22410-22751,Ρόδος,851 00,www.mariehotel.gr,,2241-030577,ΚΩ 7,2241-022751
ΑΚΟΥΙΣ ΘΑΛΑΣΣΑΣ ΘΕΡΕΤΡΟ ΥΔΑΤΙΝΟ ΠΑΡΚΟ,"


6 Χλμ
",4,haris.koliastasis@meetingpointhellas.gr,22420-68860,22420-68445,Τιγκάκι,853 00,,22420-68771,21-06929114,ΠΑΜΙΑΛΙΚΙ ΚΩΣ,21-06929101
ΑΚΡΟΓΙΑΛΙ,"


0.6 Χλμ
",2,hltakrog@otenet.gr,22850-22552,22850-24522,Νάξος,843 00,,22850-25054,,ΧΩΡΑ ΝΑΞΟΥ,
ΑΚΡΟΓΙΑΛΙ,"


4 Χλμ
",4,info@acrogiali.gr,22890-22125,22890-24341,Πλατύς Γιαλός,846 00,www.acrogiali.gr,22890-22026,2289-022125,ΠΛΑΤΥΣ ΓΙΑΛΟΣ ΜΥΚΟΝΟΥ,2289-024341
ΑΚΡΟΓΙΑΛΙ,"


5 Χλμ
",3,info@akrogialihotel.gr,22830-24798,22830-25013,Άγιος Σώστης,842 00,www.akrogialihotel.gr,22830-24714,21-06133542,ΑΓΙΟΣ ΣΩΣΤΗΣ ΣΚΥΛΑΝΤΑΡΙ ΤΗΝΟΥ,2283-025013
ΑΚΡΟΠΟΛΙΣ,"


0.3 Χλμ
",1,,22840-24444,22840-24444,Πάρος,844 00,,,2284-021521,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΑΚΡΟΠΟΛΙΣ,"


5 Χλμ
",2,kalymnos@acropolishotel.gr,22430-22721,,Κάλυμνος,852 00,www.acropolishotel.gr,,22430-22721,ΜΑΣΟΥΡΙ,
ΑΚΡΟΤΕΡΑ ΡΟΖΑ,,5,info@acroterrarosa.gr,22860-85342,22860-85341,Ακρωτήρι,847 00,www.acroterrarosa.gr,,2130-293285,ΑΚΡΩΤΗΡΙ ΘΗΡΑΣ,22860-85341
ΑΚΡΩΤΗΡΙ,,2,hotelakrotiri@yahoo.com,22860-81375,22860-81377,Ακρωτήρι,847 00,www.hotelakrotiri.gr,22860-81377,,ΑΚΡΩΤΗΡΙ ΘΗΡΑΣ,
ΑΚΡΩΤΗΡΙ,"


0.01 Χλμ
",2,,22810-42141,,Μέγας Γιαλός-Βάρης,841 00,,22810-83615,2281-083615,ΜΕΓΑΣ ΓΥΑΛΟΣ,
ΑΚΡΩΤΗΡΙ,"


1 Χλμ
",3,akrotirihotel@gmail.com,22840-22261,22840-23461,Πάρος,844 00,www.akrotirihotel.gr,22840-21625,,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΑΚΤΑΙ ΤΗΝΟΥ,"


3 Χλμ
",4,dinos@tinosbeach.gr,22830-22626,22830-23153,Κιόνια,842 00,www.tinosbeach.gr,210-6083307,21-06083307,ΚΙΟΝΙΑ ΤΗΝΟΥ,21-06011478
ΑΚΤΑΙΟΝ,,3,info@aktaion-hotel.gr,22810-81701,22810-81783,Ερμούπολη,841 00,www.aktaion-hotel.gr,,,ΑΚΤΗ Π.ΡΑΛΛΗ,
ΑΚΤΑΙΟΝ,"


0.2 Χλμ
",2,adenaxas@acteon.gr,22860-91343,22860-91088,Ίος,840 01,www.acteonhotel.gr,,,ΙΟΣ,
ΑΚΤΑΙΟΝ,,2,,22420-24977,,Κως,853 00,,,,ΜΑΝΟΥΣΗ,
ΑΚΤΑΙΟΝ,"


1.5 Χλμ
",3,akteonhotel@gmail.com,22840-41098,22840-41733,Μάρπησσα,844 00,www.akteonhotel.gr,22840-41873,,ΛΟΓΑΡΑΣ ΠΑΡΟΥ,
ΑΚΤΗ,"


32 Χλμ
",5,aktimail@otenet.gr,22420-92316/8,22420-92319,Καρδάμαινα,853 02,www.aktibeachclub.gr,091804,6944-452988,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,2242-092319
ΑΚΤΗ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,"


0.7 Χλμ
",1,naxosstudiosgeorge@gmail.com,22850-23162,22850-29421,Νάξος,843 00,,,6945-268422,,
ΑΚΤΗ ΑΓΚΑΛΗ,"


0.7 Χλμ
",2,agalibaytinos@yahoo.gr,22830-22588,22830-23188,Τήνος,842 00,www.agalibay.gr,,2283-022588,ΑΓΚΑΛΗΣ 16,2283-023188
ΑΚΤΗ ΑΙΓΑΙΟΥ,"


5 Χλμ
",3,info@aktiaegeou.gr,22830-24248,22830-23523,Τριαντάρος,842 00,www.aktiaegeou.gr,22830-25523,2283-025552,ΑΓ.ΠΑΝΤΕΛΕΗΜΩΝΑΣ-ΛΑΟΥΤΗ,2283-023523
