Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΚΙ,"


17 Χλμ
",3,www.hotelaki.gr,arg_kappes@yahoo.gr,22260-22222,22260-24500,Άγιος Νικόλαος,,343 00,,,
ΑΚΡΟΓΙΑΛΙ,,1,,d.papado@yahoo.gr,22260-71435,,Ιστιαία,ΝΕΟΣ ΠΥΡΓΟΣ,340 12,6972293117,210-2523278,
ΑΚΡΟΠΟΛ,"


0.5 Χλμ
",2,,acropole@hotmail.gr,22350-80000,22350-22817,Καμένα Βούρλα,Γ.ΒΑΣΙΛΕΙΑΔΗ 87,350 08,,,
ΑΚΡΟΠΟΛ,"


18 Χλμ
",3,www.delphi.com.gr,delphi@delphi.com.gr,22650-82675,22650-83171,Δελφοί,ΦΙΛΕΛΛΗΝΩΝ 13,330 54,22650-82676,,
ΑΚΡΟΠΟΛ,"


22 Χλμ
",1,,vfotou@ath.forthnet.gr,22260-22437,22260-22437,Λουτρά Αιδηψού,ΗΡΑΚΛΕΟΥΣ 45,343 00,,2226-022437,2226-022437
ΑΚΤΑΙ ΔΕΛΦΩΝ,"


2 Χλμ
",4,www.delphibeach.gr,info@delphibeach.gr,22660-31237,22660-31257,Ερατεινή,ΕΡΑΤΕΙΝΗ ΦΩΚΙΔΟΣ,330 58,210-9600986,21-09600986,21-09600984
ΑΚΤΑΙΟΝ,"


0.2 Χλμ
",2,www.akteon-hotel.gr,,22240-41261,,Νέα Στύρα,,340 15,22240-41263,21-06523345,21-06523345
ΑΚΤΑΙΟΝ,,3,,hotelaktaion@gmail.com,22260-24332,22260-60522,Λουτρά Αιδηψού,28ΗΣ ΟΚΤΩΒΡΙΟΥ & ΘΕΡΜΟΠΟΤΑΜΟΥ,343 00,,,
ΑΚΤΗ,"


0.3 Χλμ
",2,,akti-kv@otenet.gr,22350-22211,22350-23313,Καμένα Βούρλα,ΓΕΡΑΣΙΜΟΥ ΒΑΣΙΛΕΙΑΔΗ 73,350 08,22350-22311,2235-022311,
ΑΚΤΗ,,2,https://www.hotelaktilivanates.com/,akti-livanates@hotmail.com,22330-31305,,Λιβανάτες,ΛΙΒΑΝΑΤΕΣ ΛΟΚΡΙΔΟΣ,350 07,22330-031705,,
ΑΚΤΗ,"


6 Χλμ
",3,www.hotelakti.gr,info@hotelakti.gr,6977405236,22270-97419,Αγία Άννα,,340 10,2107645994,21-07645994,21-07645994
ΑΚΤΗ ΑΓΙΟΥ ΜΗΝΑ,"


2 Χλμ
",1,,lucy10@otenet.gr,22210-99560,22210-99559,Δροσιά,ΑΓ.ΜΗΝΑΣ ΧΑΛΚΙΔΑΣ,341 00,22210-98411,21-09649670,21-09646020
ΑΚΤΗ ΑΕΤΟΣ,"


3 Χλμ
",2,www.aetosbeach.gr,info@aetosbeach.gr,22240-23447,22240-24447,Κάρυστος,ΚΑΡΥΣΤΟΣ,340 01,22240-024447,21-09707929,2224-024447
ΑΚΤΗ ΑΝΤΙΚΥΡΑΣ,"


0.2 Χλμ
",2,www.antikya beach.com,feniaval@hotmail.com,6940084386,22670-42178,Αντικύρα,25 ΜΑΡΤΙΟΥ 2,320 12,22670-43244,,
ΑΚΤΗ ΑΠΟΛΛΟ,"


8 Χλμ
",3,www.apollo.com.gr,info@apollo.com.gr,2634091321,2634091323,Μαραθιάς,,330 56,2634091322,,
ΑΚΤΗ ΑΦΡΟΔΙΤΗΣ,"


1.5 Χλμ
",3,www.venus-beach.gr,info@venus-beach.gr,2224041226,22240-41209,Νέα Στύρα,Ν.ΣΤΥΡΑ ΕΥΒΟΙΑΣ,340 15,22240-41427,21-06755009,2224-041209
ΑΚΤΗ ΕΒΙΑΝΑ,"


1 Χλμ
",3,www.evianabeach.gr,info@evianabeach.gr,22290-62113,,Ερέτρια,ΕΡΕΤΡΙΑ,340 08,22290-62135,6936439600,
ΑΚΤΗ ΣΤΟΜΙΟΥ,"


3 Χλμ
",2,www.hotel-stomiobeach.gr,info@hotel-stomiobeach.gr,22220-71251,22220-71151,Οξύλιθος,ΟΞΥΛΙΘΟΣ ΕΥΒΟΙΑΣ,340 11,22220-71489,2222-046351,2222-071151
ΑΛΕΚΑ-ΝΤΙΝΟΣ,"


1 Χλμ
",3,www.lecadin.gr,reservations@lecadin.gr,2237022131,22370-24141,Καρπενήσι,1ΧΛΜ ΚΑΡΠΕΝΗΣΙΟΥ -ΑΓΡΙΝΙΟΥ,361 00,22370-22132,2237022131,2237024141
ΑΛΕΜΑΡ ΚΑΤΟΙΚΙΕΣ,"


6 Χλμ
",2,www.alemar.gr,info@alemar.gr,22220-29021,22220-29021,Σκύρος,,340 07,,2155303030,2155518256
ΑΛΕΞ,"


15 Χλμ
",3,www.alexspahotel.gr,spahotelalex@yahoo.gr,22260-24103,2226024103,Λουτρά Αιδηψού,ΕΡΜΟΥ 31 & Γ.ΔΡΟΣΙΝΗ,343 00,,2226-022127,
ΑΛΕΞΑΚΗΣ,"


0.1 Χλμ
",2,www.hotelalexakis.gr,alexakishotel@yahoo.com,22310-59380,22310-59372,Λουτρά Υπάτης,ΛΟΥΤΡΑ ΥΠΑΤΗΣ,350 16,,2231-059380,2231-059372
ΑΛΕΞΑΝΔΡΑ,"


0.5 Χλμ
",2,,alexadra@otenet.gr,22370-24132,22370-24133,Καρπενήσι,ΔΗΜΟΚΡΑΤΙΑΣ 6,361 00,,,
ΑΛΕΞΑΝΔΡΙΔΗΣ,"


30 Χλμ
",2,www.alexandridis-hotel.gr,alexandridis_hotel@hotmail.com,22270-71272,22270-71226,Ροβιές,ΡΟΒΙΕΣ ΕΥΒΟΙΑΣ,340 05,22270-71256,,
ΑΛΕΞΑΝΔΡΟΣ,"


0.08 Χλμ
",2,www.alexandroslihada.com,alexandroslihada@hotmail.gr,22260-33208,22260-33208,Άγιος Γεώργιος,,343 00,22260-33145,2226-033208,
ΑΛΕΞΑΝΔΡΟΣ,"


0.25 Χλμ
",1,,alexandroshotel11@yahoo.gr,22350-22446,22350-80774,Καμένα Βούρλα,ΠΑΝΟΥΡΓΙΑ 16,350 08,,6979-875273,
ΑΛΙΝΑ,"


0.07 Χλμ
",2,,georgiasinou@gmail.com,22260-22521,,Λουτρά Αιδηψού,ΗΡΑΚΛΕΟΥΣ 17,343 00,2105905672,2226-022521,
ΑΛΜΑ,"


2 Χλμ
",2,www.hotel-alma.gr,almahotelkv@gmail.com,22350-23954,22350-24358,Καμένα Βούρλα,ΘΡΟΝΙΟΥ 11,350 08,22350-22829,,
ΑΛΜΙΡΑ ΜΑΡΕ,"


4 Χλμ
",4,www.almiramare.gr,info@almiramare.gr,22210-97100,22210-97115,Δροσιά,ΑΓ.ΜΗΝΑΣ ΔΡΟΣΙΑΣ ΕΥΒΟΙΑΣ,341 00,,,
ΑΛΠΙΚΟ ΣΠΙΤΙ,"


1 Χλμ
",4,www.alpenhouse.gr,a-alpen@otenet.gr,22670-31970,22670-31097,Αράχοβα,ΑΡΑΧΩΒΑ ΒΟΙΩΤΙΑΣ,320 04,,,
ΑΛΣ,"


0.5 Χλμ
",2,,costaskyriakopoulos@hotmail.com,22240-22202,,Κάρυστος,ΚΟΤΣΙΚΑ 96,340 01,,,
ΑΛΤΑΜΑΡ,,3,www.altamar.gr,info@altamar.gr,22260-41437,22260-41258,Αρτεμίσιο,ΑΡΤΕΜΙΣΙΟ ΕΥΒΟΙΑΣ,342 00,22260-40809,2226041437,
ΑΛΥΚΕΣ,"


1 Χλμ
",3,www.alykesmarmari.com,alykeshotel@yahoo.gr,22240-32470,22240-32472,Μαρμάρι,ΑΛΥΚΕΣ,340 13,6939-391210,,
ΑΛΦΑ,"


0.2 Χλμ
",2,,,22310-59507,,Λουτρά Υπάτης,ΛΟΥΤΡΑ ΥΠΑΤΗΣ,350 16,,2231-033349,
ΑΛΩΝΙ,,3,,,000-0000000,,Ελικώνας,ΝΤΡΟΥΑΕΖΑ,321 00,,,
ΑΜΑΔΡΥΑΔΕΣ,"


7 Χλμ
",3,www.amadryades.gr,info@amadryades.gr,22370-80909,22370-25230,Βούτυρο,,361 00,,,
ΑΜΑΛΘΕΙΑ,"


1 Χλμ
",2,www.voriaevia.gr/hotelamalthia,amalthi1@otenet.gr,22270-29103,22270-29104,Λίμνη,,340 05,22270-32404,,
ΑΜΑΛΙΑ,"


0.3 Χλμ
",4,http://amaliahoteldelphi.gr/,amalia@amaliahotels.com,22650-82101,22650-82290,Δελφοί,ΔΕΛΦΟΙ,330 54,,,
ΑΜΑΡΟΝΤΑ ΡΙΖΟΡΤ,"


3 Χλμ
",4,www.airotel.gr,agelos@manessistravel.gr,22290-68120,22290-68118,Μαλακώντα,ΜΑΛΑΚΟΝΤΑ ΕΡΕΤΡΙΑΣ,340 08,210-6400720,21-06400720,21-06400750
ΑΜΑΡΥΛΛΙΣ,"


10 Χλμ
",2,,info@hotelamarillis.gr,22260-41222,22260-41511,Πευκί,ΠΕΥΚΙ ΙΣΤΙΑΙΑΣ ΕΥΒΟΙΑΣ,342 00,22260-69270,,
ΑΜΕΡΙΚΑ,"


1 Χλμ
",1,www.hotelamerika-lamia.gr,hotelamerika.lamia@gmail.com,22310-26765,22310-45837,Λαμία,ΠΑΤΡΟΚΛΟΥ 12,351 00,22310-45837,,
ΑΜΕΡΙΚΑ,"


0.3 Χλμ
",1,Hotel america.gr,hotelamericadist@gmail.com,2267022079,22670-22079,Δίστομο,ΚΑΣΤΡΙΤΙ 1,320 05,2267022080,,
ΑΜΜΟΣ,"


7 Χλμ
",3,www.ammosboutiquehotel.gr,ammos.boutique@gmail.com,26340-71435,26340-29306,Χιλιαδού,,330 56,26340-29305,6958-456558,
ΑΜΜΟΣ,"


1.5 Χλμ
",3,https://www.skyrosammoshotel.com,info@skyrosammoshotel.com,22220-91234,22220-91234,Σκύρος,,340 07,6974-354181,210-6512354,210-6517798
ΑΜΦΙΚΑΙΑ,"


9 Χλμ
",2,www.amfikaia.gr,info@amfikaia.gr,6977-596196,22340-48885,Αμφίκλεια,ΠΑΛΑΒΙΤΣΑ,350 02,22340-48860,,
ΑΜΦΙΣΣΕΟΥΜ,"


1 Χλμ
",2,www.amfissahotel.gr,ndrol@otenet.gr,22650-22161,22650-22644,Άμφισσα,ΓΙΔΟΓΙΑΝΝΟΥ 18,331 00,22650-22162,,
ΑΜΦΙΤΡΥΩΝ,"


0.1 Χλμ
",2,,,22350-31702,22350-32604,Άγιος Κωνσταντίνος,ΕΥΒΟΙΚΟΥ 10,350 06,22350-31285,,
ΑΝΑΣΤΑΣΙΑ,"


0.5 Χλμ
",2,,dinaplatan@yahoo.gr,2235022490,2235300665,Καμένα Βούρλα,ΕΡΜΟΥ 1,350 08,,2235022490,2235300665
ΑΝΑΣΤΑΣΙΑ ΞΕΝΟΔΟΧΕΙΟ & ΣΟΥΙΤΕΣ ΜΕΣΟΓΕΙΑΚΗ ΑΝΕΣΗ,"


1 Χλμ
",4,www.anastasiahotel.com.gr,info@anastasiahotel.com.gr,22240-27222,22240-27224,Κάρυστος,ΚΑΡΥΣΤΟΣ,340 01,,6974-708624,
ΑΝΑΤΟΛΗ,"


22 Χλμ
",2,www.hotelsunrise.gr,g_petrogiannis@hotmail.com,22290-60004,22290-60648,Ερέτρια,ΕΡΕΤΡΙΑ ΕΥΒΟΙΑΣ,340 08,22290-60647,,
ΑΝΑΤΟΛΗ,"


5 Χλμ
",5,www.koryschades.gr,korys@otenet.gr,22370-25102,22370-23456,Κορυσχάδες,ΚΟΡΥΣΧΑΔΕΣ ΕΥΡΥΤΑΝΙΑΣ,361 00,21121,,
ΑΝΔΡΕΑΣ,"


1 Χλμ
",1,,andreashotelamfiklia@gmail.com,22340-22696,,Αμφίκλεια,ΑΜΦΙΚΛΕΙΑ ΛΟΚΡΙΔΟΣ,350 02,,,
ΑΝΕΜΟΚΑΜΠΙ ΜΠΗΤΣ,"


25 Χλμ
",3,,,000-0000000,,Γαλαξίδι,,330 52,,,
ΑΝΕΜΟΛΙΑ,"


25 Χλμ
",4,www.anemolia.gr,anemolia@otenet.gr,22670-31640,22670-31642,Αράχοβα,ΑΡΑΧΩΒΑ ΒΟΙΩΤΙΑΣ,320 04,22670-31641,,
ΑΝΕΜΟΜΥΛΟΣ,"


1 Χλμ
",3,http://anemomylos-bungalows.gr,anemomilosbungalows@gmail.com,22240-22987,22240-22987,Κάρυστος,ΣΥΦΤΗ,340 01,,,
ΑΝΕΜΩΝΗ,"


20 Χλμ
",2,www.anemonihotel.gr,anemonihotel@gmail.com,2226022115,22260-24488,Λουτρά Αιδηψού,ΗΡΑΚΛΕΟΥΣ 30,343 00,,2226023316,
ΑΝΕΣΙΣ,"


0.05 Χλμ
",3,,hr.anesis@gmail.com,22260-22248,22260-60918,Λουτρά Αιδηψού,ΦΙΛΕΛΛΗΝΩΝ 9,343 00,,21-08088244,21-06230560
ΑΝΕΣΙΣ,"


0.2 Χλμ
",3,www.anesis.gr,info@anesis.gr,22370-80700,22370-23021,Καρπενήσι,ΚΑΡΠΕΝΗΣΙ,361 00,22370-80701,,
ΑΝΕΣΙΣ,,2,,,22350-22241,,Καμένα Βούρλα,ΠΛΑΤΕΙΑ ΠΛΑΣΤΗΡΑ,350 08,,,
ΑΝΕΣΙΣ,"


0.5 Χλμ
",1,,,22330-51214,,Μαλεσίνα,,350 01,,,
ΑΝΕΣΤΗΣ,,2,www.hotelanestis.gr,reservations@hotelanestis.gr,22260-41206,22260-41806,Πευκί,ΠΕΥΚΙ ΙΣΤΙΑΙΑΣ,342 00,22260-041807,,
ΑΝΝΑ,"


22 Χλμ
",1,,,22260-22266,,Λουτρά Αιδηψού,25ΗΣ ΜΑΡΤΙΟΥ 40,343 00,22260-23456,21-08944257,
ΑΝΝΑ – ΧΡΙΣΤΙΝΑ,"


40 Χλμ
",2,annachristina.gr,anna-christina-hotel@outlook.com,22350-22360,22350-22360,Καμένα Βούρλα,ΚΝΗΜΙΔΟΣ 4,350 08,22350-23533,2235-022360,
ΑΝΝΑ ΣΤΟΥΝΤΙΟ,"


7 Χλμ
",1,,annastudios@hotmail.com,22260-40601,22260-40606,Πευκί,ΠΕΥΚΙ ΕΥΒΟΙΑΣ,342 00,210-9919203,21-09919203,21-09937751
ΑΝΟΙΞΙΣ,"


0.3 Χλμ
",2,www.anixis.gr,info@anixis.gr,22310-59567,22310-59568,Λουτρά Υπάτης,ΛΟΥΤΡΑ ΥΠΑΤΗΣ,350 16,22310-59667,,
ΑΝΤΖΕΛΑ,"


5 Χλμ
",3,www.angelahotel.gr,adroutsosdimis62@gmail.com,22210-41165,22210-41165,Νέα Αρτάκη,ΝΕΑ ΑΡΤΑΚΗ ΕΥΒΟΙΑΣ,346 00,,,
ΑΝΤΖΕΛΑ,,2,,anagnos5@yahoo.gr,22260-22733,2226022733,Λουτρά Αιδηψού,ΤΕΛΕΘΡΙΟΥ 4,343 00,,6946462055,
ΑΝΤΖΕΛΑ,"


3 Χλμ
",2,www.angelahotelskyros.com,anghotel@otenet.gr,22220-91764,22220-92030,Σκύρος,ΣΚΥΡΟΣ,340 07,22220-91490,2222-091490,
ΑΝΤΙΓΟΝΗ,"


0.1 Χλμ
",1,,lainis.p@gmail.com,22260-22237,,Λουτρά Αιδηψού,ΒΥΖΑΝΤΙΝΩΝ ΑΥΤΟΚΡΑΤΟΡΩΝ 3,343 00,22260-23512,21-08834446,
ΑΝΤΙΓΟΝΗ,"


3.5 Χλμ
",3,,kkonstantoulaki@yahoo.gr,22220-91319,2222091319,Σκύρος,ΠΕΤΡΟΥΛΑ ΣΚΥΡΟΥ,340 07,6945-100230,21-06716879,21-03614003
ΑΠΕΡΑΝΤΟ ΓΑΛΑΖΙΟ,"


2 Χλμ
",3,,manager@gbhotel.eu,22290-61012,22290-61090,Ερέτρια,ΕΡΕΤΡΙΑ ΕΥΒΟΙΑΣ,340 08,22290-61034,21-09602780,21-09602789
ΑΠΟΛΛΩΝ,"


22 Χλμ
",3,,apollohotel@windowslive.com,22650-82580,22650-82455,Δελφοί,ΔΕΛΦΟΙ,330 54,22650-82244,,
ΑΠΟΛΛΩΝ ΣΟΥΙΤΣ,,3,www.apollonsuiteshotel.com,apollonsuite@gmail.com,22240-22045,22240-22049,Κάρυστος,ΨΙΛΗ ΑΜΜΟΣ,340 01,22240-22046,2103388001,
ΑΠΟΛΛΩΝΙΑ,"


20 Χλμ
",4,www.hotelapollonia.gr,reservations@hotelapollonia.gr,22650-82919,22650-82609,Δελφοί,ΙΦΙΓΕΝΕΙΑΣ  &  Α.ΣΥΓΓΡΟΥ 37,330 54,2265082325,,
ΑΠΟΛΛΩΝΙΟΝ,"


0.8 Χλμ
",2,,,22310-22668,,Λαμία,ΧΑΤΖΟΠΟΥΛΟΥ 25,351 00,22310-23032,,
ΑΠΟΛΛΩΝΙΟΝ,,3,www.hotelapollonion.gr,info@hotelapollonion.gr,22370-25001,22370-89051,Καρπενήσι,ΑΘΑΝΑΣΙΟΥ ΚΑΡΠΕΝΗΣΙΩΤΗ 4,361 00,,,
ΑΡΑΧΩΒΑ ΙΝΝ,"


0.2 Χλμ
",3,www.arahova-inn.gr,arahovainn@gmail.com,22670-31353,22670-31134,Αράχοβα,ΑΡΑΧΩΒΑ ΒΟΙΩΤΙΑΣ,320 04,2267031497,,
ΑΡΓΩ,"


0.2 Χλμ
",2,,argwhotel@gmail.com,22260-22453,22260-60176,Λουτρά Αιδηψού,ΦΙΛΕΛΛΗΝΩΝ 2,343 00,22260-23981,2226-022453,
ΑΡΓΩ,"


0.2 Χλμ
",2,www.hotel-argo.eu,info@hotel-argo.eu,22650-41996,22650-41878,Γαλαξίδι,ΓΑΛΑΞΕΙΔΙ,330 52,22650-42100,,
ΑΡΓΩ Α,"


0.2 Χλμ
",3,http://hotel-argo.eu/,,22650-41996,22650-41878,Γαλαξίδι,Στρατηγού Καμμένου 17-19,330 52,,,
ΑΡΕΘΟΥΣΑ,"


20 Χλμ
",2,www.hotel-arethousa.gr,hotelarethousa@gmail.com,22260-24331,22260-24301,Λουτρά Αιδηψού,ΘΕΡΜΟΠΟΤΑΜΟΥ 17,343 00,22260-24301,22210-84815,22210-88138
ΑΡΕΤΗ,"


23 Χλμ
",2,www.hotelareti.com,hotelareti4@gmail.com,22260-22473,22260-24009,Λουτρά Αιδηψού,ΟΜΗΡΟΥ 13,343 00,,2385-023587,
ΑΡΙΑΔΝΗ,"


1 Χλμ
",2,www.ariadnestudios.gr,hotelariadneskyros@gmail.com,22220-91113,22220-92482,Σκύρος,ΜΑΓΑΖΙΑ ΣΚΥΡΟΥ,340 07,210-7788126,21-07788126,
ΑΡΙΑΔΝΗ,"


5 Χλμ
",1,www.hotel-ariadni.gr,info@hotel-ariadni.gr,2227097400,22270-97400,Αγία Άννα,,340 10,2227097444,2227097400,2227097400
ΑΡΙΩΝ,"


25 Χλμ
",2,www.ariondelphihotel.com,info@ariondelphihotel.com,22650-82097,22650-83097,Δελφοί,ΣΥΓΓΡΟΥ 29,330 54,,,
ΑΡΤΕΜΙΣ,"


0.5 Χλμ
",2,www.artemis-hotel.gr,info@artemis-hotel.gr,22290-36168,22290-38655,Αμάρυνθος,ΕΛΛΗΣΠΟΝΤΟΥ 4,340 06,22290-38632,,
ΑΡΤΕΜΙΣ,"


0.35 Χλμ
",2,,,22350-22122,,Καμένα Βούρλα,Ν.ΕΘΝΙΚΗ ΟΔΟΣ,350 08,,,
ΑΡΤΕΜΙΣ,"


0.2 Χλμ
",2,www.panartemis.gr,info@panartemis.gr,22650-82494,22650-83244,Δελφοί,ΒΑΣΙΛΕΩΣ ΠΑΥΛΟΥ 60,330 54,,,
ΑΡΤΕΜΙΣΙΟΝ,"


18 Χλμ
",2,www.hotelartemision.gr,info@hotelartemision.gr,22260-22251,22260-24134,Λουτρά Αιδηψού,ΦΙΛΕΛΛΗΝΩΝ 5,343 00,22260-24134,21-07601367,21-07601367
ΑΡΧΟΝΤΙΚΟ,"


0.2 Χλμ
",3,www.archodikoarthotel.gr,archontikohotel@gmail.com,22650-42292,22650-42492,Γαλαξίδι,ΓΑΛΑΞΕΙΔΙ ΦΩΚΙΔΑΣ,330 52,22650-41788,,
ΑΡΧΟΝΤΟΠΕΤΡΑ,"


10 Χλμ
",3,www.arxontopetra.gr,info@arhontopetra.gr,22370-41100,22370-41516,Μεγάλο Χωριό,,361 00,,,
ΑΣΕΛΗΝΟΣ,"


17 Χλμ
",4,www.aselinoshotels.gr,info@aselinoshotels.gr,22260-51455,22260-51500,Συκιά,ΣΥΚΕΑ ΦΩΚΙΔΑΣ,330 53,22260-51555,,
ΑΣΗΜΙΝΑ,"


0.3 Χλμ
",2,,mina_dimitriou@yahoo.com,22260-22136,22260-23489,Λουτρά Αιδηψού,ΟΜΗΡΟΥ 19,343 00,22260-22137,2226-022137,
ΑΣΚΛΗΠΙΟΣ,,1,,,22310-93303,,Θερμοπύλες,,350 09,22310-93304,2231-059554,2231-059555
ΑΣΚΛΗΠΙΟΣ,"


5 Χλμ
",4,,,22360-22510,22360-22518,Πλατύστομο,ΠΛΑΤΥΣΤΟΜΟ ΜΑΚΡΑΚΩΜΗΣ,350 11,,,
ΑΣΠΑΣΙΑ ΚΑΙ ΑΛΕΞΑΝΔΡΟΣ ΔΕΛΦΟΙ,"


0.2 Χλμ
",1,,,22650-82872,,Δελφοί,ΒΑΣIΛΕΩΣ ΠΑΥΛΟΥ 22,330 54,22650-82331,,
ΑΣΤΕΡΑΣ ΑΓΚΑΛΗΣ,"


3 Χλμ
",2,,,22270-97142,,Αγία Άννα,ΠΑΡΑΛΙΑ ΑΓΙΑΣ ΑΝΝΑΣ ΕΥΒΟΙΑΣ,340 10,6945-772523,6945-772523,
