Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΚΟΥΑ ΜΑΡΕ ΡΙΖΟΡΤ,"


4 Χλμ
",3,www.aquamareresort.gr,info@aquamareresort.gr,27430-61190,27430-61191,27430-62531,Μελίσσι,ΜΕΛΙΣΣΙ ΚΟΡΙΝΘΙΑΣ,20400,,
ΑΚΟΥΑΜΑΡΙΝ,"


10 Χλμ
",3,www.aquamarinehotel.gr,info@aquamarinehotel.gr,+306946325952,,27340-47800,Νεάπολη Βοιών,ΠΑΡΑΛΙΑ ΝΕΡΑΤΖΙΩΝΑΣ,230 53,2734047626,2734047800
ΑΚΡΗ,"


0.3 Χλμ
",2,,hotelakri@gmail.com,27220-22921,27220-24336,27220-24336,Μεσσήνη,ΔΑΡΙΩΤΟΥ 22,242 00,,
ΑΚΡΟΓΙΑΛΙ,"


1.5 Χλμ
",3,www.akroyali-hotel.gr,info@akroyali-hotel.gr,2725031266,27250-31457,,Λογγά,ΑΓ.ΑΝΔΡΕΑΣ ΛΟΓΓΑ ΜΕΣΣΗΝ.,240 10,6944-580742,
ΑΚΡΟΓΙΑΛΙ,"


6 Χλμ
",1,www.hotelakrogiali.gr,hotelstudio.akrogiali@gmail.com,6977666068,27610-71361,,Καλό Νερό,ΚΑΛΟ ΝΕΡΟ ΜΕΣΣΗΝΙΑΣ,245 00,2761-071345,
ΑΚΡΟΓΙΑΛΙ,"


8.5 Χλμ
",2,,,27570-29106,27570-29107,27570-29108,Πούλιθρα,,223 00,,
ΑΚΡΟΘΕΑ,"


0.3 Χλμ
",3,www.akrothea.gr,gdaris58@outlook.com,27470-51126,6972-020492,27470-51126,Γκούρα,ΓΚΟΥΡΑ ΚΟΡΙΝΘΙΑΣ,200 14,,
ΑΚΡΟΛΙΘΙ,,3,www.akrolithi.gr,akrolithi@gmail.com,6973663184,2733054059,,Οίτυλο,,23062,,
ΑΚΡΟΠΟΛ,"


1 Χλμ
",2,,hotelacr@otenet.gr,27440-22265,,27440-61171,Λουτράκι,Π. ΤΣΑΛΔΑΡΗ 11,203 00,,
ΑΚΡΟΠΟΛΙΣ,"


0.5 Χλμ
",2,http://acropolis-corinth.gr/,info@acropolis-corinth.gr,2741021104,2741022430,2741022526,Κόρινθος,ΕΘΝΙΚΗΣ ΑΝΕΞΑΡΤΗΣΙΑΣ 25,201 00,,
ΑΚΡΟΤΑΙΝΑΡΙΤΗΣ,"


0.2 Χλμ
",1,www.akrotainaritis.gr,akrotainaritis@yahoo.gr,27330-54205,,27330-54205,Γερολιμένας,ΓΕΡΟΛΙΜΕΝΑΣ ΛΑΚΩΝΙΑΣ,230 71,,
ΑΚΡΩΡΕΙΑ,"


0.3 Χλμ
",3,www.akroreia.gr,pd_1@otenet.gr,6972548307,69720-83241,27470-51126,Γκούρα,ΓΚΟΥΡΑ ΚΟΡΙΝΘΙΑΣ,200 14,2102920185,
ΑΚΣ ΠΟΡΤΟ ΧΕΛΙ,"


7 Χλμ
",4,www.akshotels.com,portoheli@akshotels.com,27540-53400,210-6856992,27540-51549,Πορτοχέλι,ΠΟΡΤΟ ΧΕΛΙ ΕΡΜΙΟΝΙΔΑΣ,210 61,21-06856992,21-06852440
ΑΚΤΑΙΟΝ,"


0.5 Χλμ
",3,www.aktaionhotel.gr,aktaiong@otenet.gr,27330-23500,,27330-22294,Γύθειο,ΒΑΣ.ΠΑΥΛΟΥ 39,232 00,,
ΑΚΤΑΙΟΝ,"


0.3 Χλμ
",1,,,27510-51477,,,Νέα Κίος,,210 53,2751-051477,
ΑΚΤΑΙΟΝ,"


0.3 Χλμ
",2,,gbikakis@otenet.gr,27520-59484,27520-59676,27520-58375,Τολό,ΑΚΤΗΣ 58,210 56,2752-059484,
ΑΚΤΑΙΟΝ,"


0.1 Χλμ
",1,www.aktaion-movemvasia.gr,aktaionhotel@gmail.com,27320-61234,,27320-61932,Μονεμβασιά,ΜΟΝΕΜΒΑΣΙΑ ΛΑΚΩΝΙΑΣ,230 70,,
ΑΚΤΑΙΟΝ ΘΕΡΕΤΡΟ,"


4 Χλμ
",3,www.aktaion-resort.com,info@aktaion-resort.com,27330-29114,,27330-29115,Σελινίτσα,ΣΕΛΙΝΙΤΣΑ ΓΥΘΕΙΟΥ,232 00,,
ΑΚΤΗ,"


1 Χλμ
",2,www.akti-afroditi.gr,a.panagiotou@hotmail.com,27440-22338,27440-22160,27440-22160,Λουτράκι,Γ.ΛΕΚΚΑ 5,203 00,00357-22382081,2744-022160
ΑΚΤΗ,"


0.02 Χλμ
",1,,hotelakti@yahoo.com,27540-31241,,27540-31241,Ερμιόνη,,210 51,,
ΑΚΤΗ ΙΡΙΣ,"


18 Χλμ
",2,www.irisbeach.gr,info@irisbeach.gr,27320-66220,27320-66220,211-8002870,Ξιφίας,ΞΙΦΙΑΣ ΜΟΝΕΜΒΑΣΙΑΣ ΛΑΚΩΝΙΑΣ,230 70,6939780001,211-8002870
ΑΚΤΗ ΚΑΛΑΜΑΚΙ,"


15 Χλμ
",4,www.kalamakibeach.gr,kalamaki@tourhotel.gr,2741037653,2103235605,27410-37652,Παλαιό Καλαμάκι,ΠΑΛΑΙΟ ΚΑΛΑΜΑΚΙ- ΙΣΘΜΙΑ ΚΟΡΙΝΘΙΑΣ,200 10,21-03235605/6,21-03241092
ΑΚΤΗ ΚΑΡΑΛΗΣ,"


0.5 Χλμ
",3,http://karalisbeach.gr,info@karalisbeach.gr,27230-23021,27230-23022,27230-22970,Πύλος,ΘΕΣΗ ΚΑΣΤΡΟ,240 01,2723-022960,2723-022970
ΑΚΤΗ ΚΟΚΚΩΝΙ-ΚΟΚΚΩΝΙ ΜΠΗΤΣ,"


12 Χλμ
",2,www.kokonibeachhotel.com,info@kokonibeachhotel.com,27420-33108,27420-33408,27420-32486,Κοκκώνι,ΒΕΛΟ,200 02,6956300510,
ΑΚΤΗ ΝΤΑΝΤΗΣ,"


0.5 Χλμ
",3,www.dantishotel.gr,,27520-92294,92395,,Δρέπανο,ΔΡΕΠΑΝΟ ΝΑΥΠΛΙΟΥ,210 60,2752-092191/2,2752-092193
ΑΚΤΗ ΠΑΟΛΑΣ,"


0.5 Χλμ
",2,,hotelpaolabeach@gmail.com,27530-41397,,,Αρχαία Επίδαυρος,ΒΑΓΙΩΝΙΑ,210 59,,
ΑΚΤΗ ΡΟΜΑΝΤΖΑ,"


10 Χλμ
",2,,aktiromanza@live.com,27410-37451,,27410-37027,Ίσθμια,ΚΥΡΑ ΒΡΥΣΗ,201 00,2741-037027,2741-037027
ΑΚΤΗ ΣΚΟΥΤΑΡΙ,"


19 Χλμ
",2,www.skoutaribeach.gr,info@skoutaribeach.gr,27330-93296,27330-93684,27330-93685,Σκουτάρι,ΚΑΛΑΜΑΚΙΑ,232 00,,
ΑΚΤΗ ΤΑΥΓΕΤΟΣ,"


8 Χλμ
",4,www.aktitaygetos.gr,info@aktitaygetos.gr,27210-42000,,27210-64501,Μικρά Μαντίνεια,ΜΙΚΡΑ ΜΑΝΤΙΝΕΙΑ,241 00,,
ΑΚΤΙΣ,"


12 Χλμ
",2,,,27530-41407,,,Αρχαία Επίδαυρος,Π.ΕΠΙΔΑΥΡΟΣ,210 59,,
ΑΚΤΩΡ,"


1 Χλμ
",3,www.actor-hotel.gr,info@actor-hotel.gr,27530-22551,,27530-22054,Λυγουριό,ΛΥΓΟΥΡΙΟ ΑΡΓΟΛΙΔΟΣ,210 52,,
ΑΛΑΣ ΡΙΖΟΡΤ,,5,www.alasresort.gr,info@alasresort.gr,27320-57500,2732057560,27320-57518,Ελαία,ΘΕΣΗ ΚΑΒΟΣ,230 52,,
ΑΛΕΞ,"


1 Χλμ
",2,,st-alex@otenet.gr,2710-223465,2710-225176,2710-223466,Τρίπολη,ΓΕΩΡΓΙΟΥ Α  26,221 00,,
ΑΛΕΞ,,2,,,27230-31219,27230-31245,,Μεθώνη,ΜΕΘΩΝΗ ΜΕΣΣΗΝΙΑΣ,240 06,,
ΑΛΕΞΑΝΔΡΕΙΟΝ,"


10 Χλμ
",1,,klx.klx.09@gmail.com,27210-26821,27210-25087,27210-89623,Καλαμάτα,ΝΑΥΑΡΙΝΟΥ 203,241 00,,
ΑΛΕΞΑΝΔΡΟΣ,"


1 Χλμ
",2,,chrisfousekis@hotmail.com,27440-23524,2744028274,27440-21351,Λουτράκι,ΛΕΩΦΟΡΟΣ ΑΘΗΝΩΝ,203 00,,
ΑΛΕΞΑΝΔΡΟΣ,"


4 Χλμ
",2,www.alexandrosastros.gr,,27550-52562,,,Παράλιο Άστρος,ΠΑΡΑΛΙΟ ΑΣΤΡΟΣ ΚΥΝΟΥΡΙΑΣ,220 19,,
ΑΛΕΞΑΝΔΡΟΣ,"


0.2 Χλμ
",3,www.alexandros-hotel.net,info@alexandros-hotel.net,27510-51150,27510-51222,27510-51351,Νέα Κίος,ΝΕΑ ΚΙΟΣ,210 53,,
ΑΛΗΣΤΟΣ,,4,,dimpetro@yahoo.gr,2733772977,,,Γύθειο,,23200,,
ΑΛΘΕΑ ΒΙΛΑΤΖ,,3,www.althea-village.gr,info@althea-village.gr,27330-53111,,210-9577529,Πύργος Διρού,6ΧΛΜ ΑΡΕΟΠΟΛΗΣ-ΓΕΡΟΛΙΜΕΝΑ,230 63,,
ΑΛΙΚΑ ΡΙΖΟΡΤ,,4,www.alikaresort.gr,info@alikaresort.gr,2733053009,,,Άλικα,,230 71,,
ΑΛΚΥΟΝΙΣ,"


0.5 Χλμ
",2,,alkyonis@hotmail.com,27520-59074,6944-532211,27520-59536,Τολό,ΝΑΥΠΛΙΟΥ 19,210 56,6944-532211,2752-059536
ΑΛΚΥΩΝ,"


0.1 Χλμ
",1,,,27530-22002,27530-22933,,Λυγουριό,ΛΥΓΟΥΡΙΟ-ΑΡΓΟΛΙΔΟΣ,210 52,,
ΑΛΚΥΩΝ,"


6 Χλμ
",3,www.alkyonhotel.com,info@alkyonhotel.com,27540-51161,27540-51163,27540-51902,Πορτοχέλι,ΠΟΡΤΟ ΧΕΛΙ,210 61,21-04812940,21-04812940
ΑΛΚΥΩΝ,"


13 Χλμ
",4,www.alkyonhotel.gr,resa@alkyonhotel.gr,6984607020,210-6425393,27410-51166,Βραχάτι,ΒΡΑΧΑΤΙ ΚΟΡΙΝΘΙΑΣ,200 06,210-6425393,210-6457445
ΑΛΛΟΤΙΝΟ,"


4 Χλμ
",2,,,27970-22140,27970-22970,,Σταυροδρόμι,,220 08,,
ΑΛΜΠΑΤΡΟΣ,"


0.05 Χλμ
",1,,albatros.hotel.methoni@hotmail.com,27230-31160,,,Μεθώνη,ΜΕΘΩΝΗ ΜΕΣΣΗΝΙΑΣ,240 06,,
ΑΛΜΥΡΑ,"


3 Χλμ
",3,,,27330-51373,,,Λιμένι,,230 62,,
ΑΛΣΟΣ,,2,www.hotelalsos.gr,t.theodor1975@yahoo.gr,27350-22230,,27350-22230,Σκάλα,,230 51,,
ΑΜΑΛΙΑ,"


3 Χλμ
",4,www.amaliahotels.com,amalia@amaliahotels.com,27520-24401/4,,27520-24400,Νέα Τίρυνθα,ΝΕΑ ΤΙΡΥΝΘΑ ΑΡΓΟΛΙΔΟΣ,211 00,,
ΑΜΑΝΖΟΕ,,5,www.aman.com/resorts/amanzoe,amanzoe@aman.com,27547-72888,,27547-72800,Ερμιόνη,ΑΓΙΟΣ ΠΑΝΤΕΛΕΗΜΟΝΑΣ ΕΡΜΙΟΝΙΔΑΣ,213 00,,
ΑΜΑΝΖΟΕ ΜΠΗΤΣ ΚΛΑΜΠ,,4,,peleftherakou@amanresorts.com,2754772888,,,Κρανίδι,,213 00,,
ΑΜΑΡΥΛΛΙΣ,"


11 Χλμ
",3,www.hotelamaryllis.gr,info@hotelamaryllis.gr,27520-59814,,27520-59967,Τολό,ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ ΤΟΛΟΥ,210 56,,
ΑΜΥΜΩΝΗ,,3,www.amymone.gr,info@amymone.gr,2752099477,2752022073,2752099478,Ναύπλιο,ΟΘΩΝΟΣ 39,21100,,
ΑΜΦΙΤΡΥΩΝ,"


1 Χλμ
",5,http://amphitryon.gr,palace@nafplionhotels.gr,27520-70700,,27520-25850,Ναύπλιο,ΣΠΥΛΙΑΔΟΥ,211 00,,
ΑΝΑΚΤΟΡΙΚΟΝ,"


0.8 Χλμ
",4,www.anaktorikon.gr,anaktorikon@otenet.gr,2710-226545,2710-225545,2710-222021,Τρίπολη,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ 48,22132,,
ΑΝΑΞΩ,"


2 Χλμ
",3,www.anaxo-resort.gr,info@anaxo-resort.gr,27210-77222,27210-78130,27210-78010,Ρίγκλια,ΣΥΡΟΚΑ ΡΙΓΚΛΙΩΝ ΛΕΥΚΤΡΟΥ,240 24,,
ΑΝΑΤΟΛΗ ΤΟΥ ΗΛΙΟΥ,"


2.5 Χλμ
",4,www.sunrise-greece.com,sunrisehotel@otenet.gr,27220-32122,32120,27220-31799,Αχλαδοχώρι,ΑΧΛΑΔΟΧΩΡΙ ΜΕΣΣΗΝΙΑΣ,240 05,2722-032122,2722-031799
ΑΝΕΖΙΝΑ,"


1 Χλμ
",2,www.hotelanezina.com,info@hotelanezina.com,27230-22147,27230-22252,27230-22452,Πύλος,ΚΟΛΟΚΟΤΡΩΝΗ 7,240 01,6934004366,27230-22452
ΑΝΕΤΟΝ ΜΠΟΥΤΙΚ,"


5 Χλμ
",3,www.comfyhotel.gr,info@comfyhotel.gr,27210-90128,,27210-90036,Καλαμάτα,ΚΡΗΤΗΣ & ΒΥΡΩΝΟΣ,241 00,,
ΑΝΝΑ,,2,,dimitrissardelis@yahoo.gr,27230-31585,27230-31385,27230-31277,Μεθώνη,ΜΕΘΩΝΗ ΜΕΣΣΗΝΙΑΣ,240 06,,
ΑΝΝΕΜΑ,"


8.5 Χλμ
",3,www.annemahotel.com,info@annemahotel.com,27320-68381,,27320-68382,Μονεμβασιά,ΘΕΣΗ ΚΑΣΤΡΑΚΙ,230 70,,
ΑΝΝΙΣΚΑ,"


0.2 Χλμ
",2,www.anniska.gr,anniska@otenet.gr,27210-73601,,27210-73000,Καρδαμύλη,ΚΑΡΔΑΜΥΛΗ ΜΕΣΣΗΝΙΑΣ,240 22,2721-073601,2721-073000
ΑΝΝΙΣΚΑ-ΛΙΑΚΩΤΟ,"


0.2 Χλμ
",2,www.anniska.gr,anniska@otenet.gr,27210-73600,,27210-73000,Καρδαμύλη,ΚΑΡΔΑΜΥΛΗ ΜΕΣΣΗΝΙΑΣ,240 22,,
ΑΝΤΑΡΗΣ,"


1 Χλμ
",4,www.antareshotel.gr,info@antareshotel.gr,27330-51700,6989488400,27330-51702,Ομαλαί,ΟΜΑΛΕΣ ΑΡΕΟΠΟΛΗΣ,230 62,,
ΑΝΤΩΝΙΟΥ,,4,http://sun-mountain-snow.gr,info@sun-mountain-snow.gr,27550-52255,,27550-52256,Καστανίτσα,ΚΑΣΤΑΝΙΤΣΑ ΚΥΝΟΥΡΙΑΣ ΑΡΚΑΔΙΑΣ,220 01,,
ΑΠΟΛΛΩΝ,,1,,rooms@hotelapollon.com.gr,27410-25920,27410-22587,27410-83875,Κόρινθος,ΠΙΡΙΝΗΣ 18,201 00,,
ΑΠΟΛΛΩΝ,"


2 Χλμ
",2,,mariannakatrani@hotmail.com,27310-22491,27310-22491,27310-23936,Σπάρτη,ΘΕΡΜΟΠΥΛΩΝ 84,231 00,,
ΑΠΟΛΛΩΝ,"


1 Χλμ
",2,www.apollon-tyros.gr,info@apollon-tyros.gr,27570-41393,6973684420,,Παραλία Τυρού,ΠΑΡΑΛΙΑ ΤΥΡΟΥ,223 00,,
ΑΠΟΛΛΩΝ,"


3 Χλμ
",2,www.apollon-epidavros.gr,info@apollon-epidavros.gr,27530-41295,27530-41051,27530-41700,Αρχαία Επίδαυρος,ΠΑΛΑΙΑ ΕΠΙΔΑΥΡΟΣ,210 59,2753-041068,2753-041700
ΑΠΟΛΛΩΝ,"


11 Χλμ
",2,www.minoanhotels.gr,kingmino@otenet.gr,27520-59015,27520-59016,27520-99584,Τολό,ΤΟΛΟ ΑΡΓΟΛΙΔΟΣ,210 56,2752-059207,
ΑΠΟΛΛΩΝ,"


1 Χλμ
",1,hotel-apollon-argos.gr,hotelapollonargos@yahoo.gr,27510-68065,27510-61182,27510-24406,Άργος,ΓΡ.ΠΑΠΑΦΛΕΣΣΑ 13,212 00,,
ΑΠΟΛΛΩΝ,"


11 Χλμ
",2,apollon-apartments.gr,info@apollon-apartments.gr,27210-58009,27210-58146,27210-58457,Ακρογιάλι,ΑΚΡΟΓΙΑΛΙ ΑΒΙΑΣ ΜΕΣΣΗΝΙΑΣ,241 00,21-02483190,21-02474927
ΑΠΟΛΛΩΝ ΘΕΡΕΤΡΟ ΕΙΚΑΣΤΙΚΟ ΞΕΝΟΔΟΧΕΙΟ,"


1 Χλμ
",4,www.apollo-hotel.gr,info@apollo-hotel.gr,6948252848,27610-24412,27610-24413,Κυπαρισσία,ΘΕΣΗ ΦΑΡΜΑΚΑ,245 00,,
ΑΡΑΠΑΚΗ ΙΣΤΟΡΙΚΟΣ ΠΥΡΓΟΣ,"


4 Χλμ
",4,pyrgosarapaki.gr,karapak@otenet.gr,27330-52922,,27330-52021,Χαριά,ΧΑΡΙΑ ΠΥΡΓΟΥ ΔΙΡΟΥ,230 63,,
ΑΡΑΧΩΒΙΤΙΚΑ ΚΑΛΥΒΙΑ,,3,arachovitika - kalyvia.gr,arachovitikakalivia@gmail.com,27310-95403,,,Καρυές,ΚΑΛΥΒΙΑ,230 67,,
ΑΡΒΑΝΙΤΗ,"


0.7 Χλμ
",2,,,27230-23050,,,Πύλος,ΠΥΛΟΣ ΜΕΣΣΗΝΙΑΣ,240 01,,2723-022641
ΑΡΓΟΛΙΣ,"


0.15 Χλμ
",1,,teofos@gmail.com,27520-27721,,,Ναύπλιο,ΑΡΓΟΥΣ 32,211 00,2752027695,
ΑΡΕΤΗ,"


3 Χλμ
",2,,aretibouzala@gmail.com,27520-92391,,27520-92391,Βιβάρι,ΒΙΒΑΡΙ ΔΡΕΠ.ΝΑΥΠΛΙΟΥ,210 60,,
ΑΡΕΩΣ ΠΟΛΙΣ,,3,www.areospolis.gr,info@areospolis.gr,27330-51028,27330-51787,2733051231,Αρεόπολη,ΠΛΑΤΕΙΑ ΑΘΑΝΑΤΩΝ,230 62,,
ΑΡΗΣ,"


0.1 Χλμ
",2,www.hotel-aris.gr,info@hotel-aris.gr,6945060066,27520-58055,27520-59510,Τολό,ΑΚΤΗΣ 28,210 56,6945060066,2752-059510
ΑΡΗΣ,"


0.2 Χλμ
",1,,nikpsycharis@yahoo.gr,27230-31125,27230-31336,27230-31336,Μεθώνη,ΜΕΘΩΝΗ ΜΕΣΣΗΝΙΑΣ,240 06,,
ΑΡΙÀ ΕΣΤΕΪΤ,,4,https://aria-estate.com,info@aria-estate.com,2733440500,,,Λιμένι,,23062,,
ΑΡΙΣΤΟΤΕΛΗΣ,"


15 Χλμ
",2,www.hotel-aristotelis.gr,hotelaristotelis@gmail.com,2753041105,27530-96553,27530-96556,Αρχαία Επίδαυρος,ΓΙΑΛΑΣΣΗ ΑΡΧ.ΕΠΙΔΑΥΡΟΥ,210 59,6937-039493,
ΑΡΙΩΝ,"


1 Χλμ
",4,www.arion-pefkias.gr,info@arion-pefkias.gr,27430-22230,27430-22269,27430-26121,Ξυλόκαστρο,Κ.ΚΑΡΑΜΑΝΛΗ 3,204 00,,
ΑΡΙΩΝ,"


1 Χλμ
",2,www.hotelarionloutraki.gr,info@hotel-arion.gr,27440-22628,27440-23770,27440-69208,Λουτράκι,ΟΣΙΟΥ ΠΑΤΑΠΙΟΥ 1,203 00,,
ΑΡΚΑΔΙΑ,"


0.6 Χλμ
",3,www.hotelarcadia.gr,sales@hotelarcadia.gr,2710-225551,2710-225552,2710-222464,Τρίπολη,ΠΛΑΤΕΙΑ ΚΟΛΟΚΟΤΡΩΝΗ 1,221 00,,
ΑΡΚΑΔΙΑ,"


0.5 Χλμ
",1,,,27910-22223,,,Μεγαλόπολη,ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ 66 & ΠΑΠΑΙΩΑΝΟΥ 2,222 00,,
ΑΡΜΑΝΤΑΝΗΣ ΔΥΟ,,3,,giannaro@otenet.gr,2733051449,,,Αρεόπολη,,23062,,
ΑΡΜΑΝΤΑΝΗΣ ΕΝΑ,,3,,giannaro@otenet.gr,2733051449,,,Αρεόπολη,,23062,,
ΑΡΜΟΝΙΑ,"


12 Χλμ
",1,,nikdol@otenet.gr,27570-41024,,27570-22496,Παραλία Τυρού,ΠΑΡΑΛΙΑ ΤΥΡΟΥ,223 00,2757-041024,2757-022496
ΑΡΜΟΝΙΑ,,4,www.xenonasarmonia.gr,info@xenonasarmonia.gr,2747022475,,,Κεφαλάρι,ΚΕΦΑΛΑΡΙ ΣΤΥΜΦΑΛΙΑΣ,200 16,,
ΑΡΣΕΝΑΚΟΣ,"


0.4 Χλμ
",2,www.hotelarsenakos.com,arsenakos@yahoo.com,27340-22991,27340-22691,27340-29022,Νεάπολη Βοιών,ΑΚΤΗ ΒΟΙΩΝ 198,230 53,,
ΑΡΤ ΜΑΙΝΑΛΟΝ,,4,www.artmainalon.gr,mainalon@gmail.com,27950-22217,27950-22200,27950-22996,Βυτίνα,,220 10,,
ΑΡΤΕΜΙΣ,,1,,1artemis@otenet.gr,27520-27862,,27520-28338,Ναύπλιο,ΑΡΓΟΥΣ 25,211 00,,
ΑΡΤΕΜΙΣ,"


0.5 Χλμ
",2,www.hotelartemis.net,vsierros@hotmail.com,27520-59458,,27520-59125,Τολό,ΤΟΛΟ ΑΡΓΟΛΙΔΟΣ,210 56,2751-021075,2752-059125
ΑΡΤΕΜΙΣ,"


0.5 Χλμ
",2,www.artemis-levidi.com,artemislevidi@gmail.com,27960-22600,,27960-22510,Λεβίδι,,220 02,,
ΑΡΤΙΝΑ,"


6 Χλμ
",2,www.artina.gr,info@artina.gr,27630-61400,2763061401,27630-61402,Μαραθόπολη,ΜΑΡΑΘΟΥΠΟΛΗ ΜΕΣΣΗΝΙΑΣ,244 00,,
ΑΡΤΙΝΑ ΝΕΟΝ,"


6 Χλμ
",3,www.artina.gr,info@artina.gr,27630-61400,,27630-61402,Μαραθόπολη,,244 00,,
ΑΡΧΟΝΤΙΚΟ,"


0.2 Χλμ
",3,,,27330-54285,,,Γερολιμένας,ΓΕΡΟΛΙΜΕΝΑΣ ΛΑΚΩΝΙΑΣ,230 71,21-04632987,
ΑΡΧΟΝΤΙΚΟ,,3,,kazas.dimitris@yahoo.gr,27950-32170,6973-055160,27950-32170,Δημητσάνα,ΑΓΙΟΣ ΧΑΡΑΛΑΜΠΟΣ ΔΗΜΗΤΣΑΝΑΣ,220 07,210-9655257,210-9655257
