Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Φαξ
ΑΚΤΗ ΑΝΔΡΕΑΣ,,1,aktispir@otenet.gr,26610-93860,,,Ύψος,ΥΨΟΣ ΚΕΡΚΥΡΑΣ,490 83,,,
ΑΚΤΗ ΑΝΕΜΩΝΑ,"


4 Χλμ
",2,info@anemonabeach.gr,26950-25501,26950-24393,26950-25502,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.anemonabeach.gr,26950-24393,26950-24392
ΑΚΤΗ ΑΝΤΖΕΛΑ,"


5 Χλμ
",3,info@angelabeach.gr,26630-31291,6932-310126,26630-31279,Αστρακερή,ΑΣΤΡΑΚΕΡΗ ΚΑΡΟΥΣ.ΚΕΡΚΥΡΑΣ,490 81,www.angelabeach.gr,,
ΑΚΤΗ ΑΡΓΑΣΙΟΥ,"


4 Χλμ
",3,argassibeach@gmail.com,26950-48094,2695-048094-023561,26950-45491,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,,26950-28554,2695-045492
ΑΚΤΗ ΑΡΙΛΛΑ,"


0.05 Χλμ
",2,aktiaril@otenet.gr,26630-51201,6972-502363,26630-51221,Αρίλλας,ΑΡΙΛΛΑ ΜΑΓΟΥΛΑΔΩΝ ΚΕΡΚΥΡΑ,490 81,www.aktiarillahotel.gr,,2663-051221
ΑΚΤΗ ΑΣΤΡΑΚΕΡΗΣ,"


10 Χλμ
",2,hotel-ab@otenet.gr,26630-31291,2663-031271,26630-31279,Αστρακερή,,490 81,www.angelabeach.gr,26630-31271,
ΑΚΤΗ ΑΦΡΟΔΙΤΗ,"


33 Χλμ
",2,nmouzak@otenet.gr,26630-31130,2663-095247,26630-95051,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,www.aktiaphrodite.net,,2663-095051
ΑΚΤΗ ΑΧΑΡΑΒΗ,"


0.5 Χλμ
",4,achbht@otenet.gr,26630-63460,2663-063102,26630-63461,Άγιος Παντελεήμονας,ΑΓ.ΠΑΝΤΕΛΕΗΜΩΝΑΣ,491 00,,26630-63102,2663-063461
ΑΚΤΗ ΓΛΥΦΑΔΑ,"


3 Χλμ
",3,mexasa@otenet.gr,26610-94257,26610-94222,26610-94208,Γλυφάδα,ΓΛΥΦΑΔΑ ΚΕΡΚΥΡΑΣ,491 00,www.hotelglyfadabeach.com,26610-94258,26610-94208
ΑΚΤΗ ΕΛΑΙΑ,"


3 Χλμ
",4,info@eleabeach.com,26610-93490/3,2661-093496,26610-93494,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,490 83,www.eleabeach.com,,2661-093494
ΑΚΤΗ ΖΑΚΑΝΘΑ,"


3 Χλμ
",4,zakantha@otenet.gr,26950-26441,2695-045795,26950-45796,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.hotelzakanthabeach.gr,26950-26442,
ΑΚΤΗ ΙΛΙΑΔΑ,"


5 Χλμ
",3,info@iliadabeach.com,2661091816,,2661091815,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.iliadabeach.com,2661091360,
ΑΚΤΗ ΚΑΛΑΜΑΚΙ,"


5 Χλμ
",3,info@kalamakibeach.com,26950-42575,6944-962747,26950-45612,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.kalamakibeach.com,26950-44100,
ΑΚΤΗ ΚΑΤΙΑ,"


1.2 Χλμ
",2,info@katiaaparthotel.com,26630-81427,,26630-81427,Κασσιόπη,ΚΑΜΠΟΣ ΚΑΣΣΙΩΠΗΣ ΚΕΡΚΥΡΑΣ,491 00,www.katiaaparthotel.com,,
ΑΚΤΗ ΚΕΦΑΛΛΗΝΙΑΣ,"


4 Χλμ
",2,,26710-94271,2671-094271,,Ληξούρι,ΜΕΓ.ΛΑΚΚΟΣ ΣΟΥΛ.ΛΗΞΟΥΡΙΟΥ,282 00,,26710-92409,2671-094271
ΑΚΤΗ ΚΟΡΜΟΡΑΝΟΥ,"


0.5 Χλμ
",1,info@hotelkormoranos.com,26630-63244,2661-047280,,Αχαράβη,ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ,491 00,www.hotelkormoranos.com,2661047280,
ΑΚΤΗ ΜΑΡΙΑ,"


0.2 Χλμ
",2,info@mariabeachhotel.com,26630-95123,,26630-95123,Περουλάδες,ΜΕΛΙΤΣΑ ΠΕΡΟΥΛΑΔΩΝ ΚΕΡΚΥΡΑΣ,490 81,www.mariabeachhotel.com,,
ΑΚΤΗ ΜΑΡΙΝΑ,"


3 Χλμ
",2,info@marinabay.gr,26710-83592,6944-737988,26710-83083,Σκάλα,,280 82,www.marinabay.gr,,
ΑΚΤΗ ΜΑΡΜΠΕΛΛΑ,"


2 Χλμ
",5,info@marbella.gr,2661071183,,26610-71189,Άγιος Ιωάννης Περιστερών,ΑΓ.ΙΩΑΝΝΗΣ ΠΕΡΙΣΤΕΡΩΝ ΚΕΡΚΥΡΑΣ,490 84,www.marbella.gr,26610-71184,
ΑΚΤΗ ΜΕΝΕΣ,,3,info@meneshotel.com,2645095493,,,Δεσίμι,,31100,,,
ΑΚΤΗ ΜΕΣΟΓΓΗΣ,"


0.5 Χλμ
",3,financial@messonghibeach.gr,26610-89000,,26610-75334,Μεσογγή,ΜΕΣΟΓΓΗ ΚΕΡΚΥΡΑΣ,49084,www.messonghibeach.gr,210-9400580,
ΑΚΤΗ ΜΠΑΡΜΠΑΤΙ,"


2 Χλμ
",2,info@barbatibeach.gr,26630-91010,6973746405,26630-91717,Μπαρμπάτι,ΜΠΑΡΜΠΑΤΙ ΚΕΡΚΥΡΑΣ,491 00,www.barbatibeach.gr,,
ΑΚΤΗ ΜΠΕΗΣ,"


0.8 Χλμ
",3,,26630-63913,,,Αχαράβη,ΕΠΙΣΚΕΨΗ,491 00,,26630-63561,
ΑΚΤΗ ΝΥΔΡΙ ΙΙ,"


2 Χλμ
",2,info@nydrionbeach.gr,26450-92400,2645-092400,26450-92151,Νυδρί,ΝΥΔΡΙ ΛΕΥΚΑΔΑΣ,311 00,www.nydrionbeach.gr,26450-92150,2645-092151
ΑΚΤΗ ΠΑΝΕΛΑ,"


5 Χλμ
",1,alexandra.panela.kavos@gmail.com,26620-61447,,26620-61336,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜ.ΚΕΡΚΥΡΑΣ,490 80,www.panela-corfu.gr,,
ΑΚΤΗ ΠΑΞΩΝ,"


2 Χλμ
",3,info@paxosbeachhotel.gr,26620-32211,2662-032394,26620-32695,Γάιος Παξών,ΓΑΙΟ ΠΑΞΩΝ,490 82,www.paxosbeachhotel.gr,26620-32333,2662-032695
ΑΚΤΗ ΠΑΡΑΔΕΙΣΟΥ,"


1 Χλμ
",3,paradisebhotel@outlook.com,26950-23620,2695-028679,26950-28022,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,,,2695-028699
ΑΚΤΗ ΠΕΛΑΓΟΣ,,2,pelagosbay@hotmail.com,26710-83603,,,Σκάλα,ΣΚΑΛΑ ΚΕΦ/ΝΙΑΣ,280 82,,,
ΑΚΤΗ ΡΟΔΑ,"


35 Χλμ
",5,Reservations@Roda-Beach.com,26630-64180,2663-064181,26630-63436,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,www.roda-beach.com,26630-63268,2663-063436
ΑΚΤΗ ΣΑΛΒΑΝΟΥ,"


1 Χλμ
",1,salvanap@otenet.gr,26630-63289,2661031674,26610-21040,Αχαράβη,ΑΧΑΡΑΒΗ ΘΙΝΑΛΙΟΥ ΚΕΡΚΥΡΑΣ,491 00,www.beachfrontsalvanos.com,26630-63426,2661021040
ΑΚΤΗ ΤΑΡΑ,"


0.1 Χλμ
",3,tarabeach@tarabeach.gr,2671083341,2109602196,2671083344,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,www.tarabeach.gr,2671083250,2109602196
ΑΚΤΗ ΤΡΑΠΕΖΑΚΙ,"


2 Χλμ
",2,info@trapezakibayhotel.com,26710-31501,2671-031501,26710-31501,Μουσάτα,ΜΟΥΣΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 83,www.trapezakibayhotel.gr,26710-31504,2671-031501
ΑΚΤΗ ΥΨΟΣ,"


0.5 Χλμ
",3,hotelipsosbeach@otenet.gr,26610-93232,2661093232,26610-93147,Ύψος,ΥΨΟΣ ΚΕΡΚΥΡΑΣ,490 83,,,26610932147
ΑΛ ΜΑΡΕ,,4,info@almarehotel.gr,26950-25751,,26950-23592,Πλάνος,ΤΣΙΛΙΒΙ ΠΛΑΝΟΥ ΖΑΚΥΝΘΟΥ,291 00,www.almarehotel.gr,,
ΑΛΑΜΙΣ ΑΠΑΡΤΜΕΝΤΣ,"


1.5 Χλμ
",2,info@alamis-apartments.gr,26950-42201,2695-042201,26950-26494,Πλάνος,,291 00,www.zakynthos-net.gr/alamis,26950-27424,2695-026494
ΑΛΕΓΚΡΟ,,1,sklavounakisd@hotmail.com,26710-22268,,,Αργοστόλι,Α.ΧΟΙΔΑ 2,281 00,www.hotelallegro.info,,
ΑΛΕΞΑΝΔΡΑ ΜΠΗΤΣ,"


4 Χλμ
",4,info@alexandrabeachresort.com,26950-26190,2695-026190,26950-26189,Πλάνος,ΜΠΟΥΚΑ-ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.alexandrabeachresort.com,26950-48914,2695-026189
ΑΛΕΞΑΝΔΡΟΣ,"


11 Χλμ
",4,info@alexandroscorfu.gr,26610-36855,2661-036855,26610-33160,Γαστούρι,ΠΕΡΑΜΑ,490 84,www.alexandros-corfu.com,26610-36856,2661-033160
ΑΛΕΞΑΝΝΑ,"


9 Χλμ
",2,,26740-41293,,,Ματσουκάτα,ΜΑΤΣΟΥΚΑΤΑ ΦΙΣΚ.ΚΕΦΑΛΛΗΝ.,280 64,,26740-41372,
ΑΛΕΞΗΣ,,1,thd@otenet.gr,26630-95265,,,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,,,
ΑΛΕΞΙΟΥ,"


4 Χλμ
",3,,26630-91383,2663-091387,,Μπαρμπάτι,ΜΠΑΡΜΠΑΤΙ ΚΕΡΚΥΡΑΣ,491 00,,,2663-091087
ΑΛΙΚΗ,"


20 Χλμ
",2,hotelrossis@hotmail.com,26610-75352,6944-985313,26610-75060,Μεσογγή,ΜΕΣΟΓΓΗ ΚΕΡΚΥΡΑΣ,490 80,www.rossishotel.eu,26610-75342,26610-75060
ΑΛΙΚΗ,"


10 Χλμ
",2,info@alikihotel.gr,26450-71602,2645-071602,26450-72071,Νικιάνα,ΝΙΚΙΑΝΑ ΛΕΥΚΑΔΑΣ,311 00,www.alikihotel.gr,26450-72070,2645-072071
ΑΛΙΚΙ,,3,,26710-83427,,,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,,26710-83428,
ΑΛΚΥΟΝΙΣ,"


0.3 Χλμ
",3,info@alkioniscorfu.gr,26610-75485,6944-989911,26610-75484,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,www.alkioniscorfu.gr,26610-75486,2661-075484
ΑΛΚΥΩΝ,,2,info@alkyon-lefkada.gr,26450-72222,,26450-72221,Λυγιά,ΛΥΓΙΑ ΛΕΥΚΑΔΑΣ,311 00,www.alkyon-lefkada.gr,,
ΑΛΚΥΩΝΗ,,2,info@alkionihotel.gr,26710-81627,,2671081627,Κατελειός,ΚΑΤΕΛΕΙΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,www.alkionihotel.gr,,
ΑΛΚΥΩΝΙΣ,,2,s.karamalikis@hotmail.com,26950-51194,,26950-51591,Λαγανάς,ΤΑΧ.ΘΥΡΙΣ 44,290 92,,26950-51633,
ΑΛΜΠΑΤΡΟΣ,"


0.3 Χλμ
",3,info@albatroscorfu.gr,2661-075317,6944-989911,2661-075484,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,www.albatroscorfu.gr,2661-075483,2661-075484
ΑΛΜΠΑΤΡΟΣ,"


2 Χλμ
",1,info@albatroshotel.gr,26950-51139,2695-052948,26950-53556,Λαγανάς,,290 92,www.albatroshotel.gr,26950-51882,
ΑΛΜΥΡΑ,"


10 Χλμ
",3,info@almyrafiskardo.gr,26740-41064,6944-632863,26740-41165,Φισκάρδο,ΦΙΣΚΑΡΔΟ ΚΕΦΑΛΛΗΝΙΑΣ,280 84,www.almyrafiskardo.gr,,
ΑΛΜΥΡΟΣ ΒΙΛΑΣ ΡΕΖΟΡΤ,,3,info@almyrosvillas.com,6945585436,,,Αχαράβη,,49081,,,
ΑΛΜΥΡΟΣ ΜΠΙΤΣ ΡΙΖΟΡΤ,"


2 Χλμ
",4,info@almyrosbeach.com,26630-29391,6947723672,,Αχαράβη,ΑΛΜΥΡΟΣ ΚΕΡΚΥΡΑΣ,490 81,https://www.almyrosbeach.com/almyros/,26630-29393,
ΑΛΟΧΑ,"


10 Χλμ
",3,alohacfu@otenet.gr,26610-53483,6944-646251,26610-53276,Άγιος Γόρδιος,,490 84,www.alohahotel.gr,26610-53883,2661-053276
ΑΛΥΚΑΝΑΣ ΒΙΛΛΑΤΖ,"


3 Χλμ
",3,info@alykanasvillage.gr,26950-85004,,26950-85021,Αλικανάς,ΑΛΥΚΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 90,www.alykanasvillage.gr,,
ΑΛΥΚΑΝΑΣ ΒΙΛΛΑΤΖ ΡΕΖΟΡΤ,,4,info@alykanasvillage.gr,2695085004,,,Αλικανάς,,29090,,,
ΑΛΥΚΑΝΑΣ ΜΠΗΤΣ,"


1 Χλμ
",3,alykanas.beach.hotel@gmail.com,26950-85022,,26950-85064,Αλικανάς,ΑΛΥΚΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 90,www.alykanas-beach.com,,
ΑΛΥΚΕΣ ΠΑΡΚ,"


2 Χλμ
",4,alykespark@gmail.com,26950-83592,2695-083592,26950-83419,Καταστάρι,ΑΛΥΚΕΣ ΚΑΤΑΣΤΑΡΙΟΥ ΖΑΚΥΝΘΟΥ,290 90,www.alykespark.gr,26950-83419,2695-083419
ΑΛΩΝΑΚΙΑ,"


16 Χλμ
",2,info@alonakiahotel.gr,26610-53777,2661-099337,26610-53777,Άγιος Γόρδιος,ΑΓ.ΓΟΡΔΙΟΣ ΚΕΡΚΥΡΑΣ,490 84,www.alonakiahotel.gr,,2661-053777
ΑΜΑΛΙΑ,"


0.01 Χλμ
",2,info@nikerishotelgroup.com,26610-93888,21-08161129,2661093887,Κάτω Κορακιάνα,,490 83,https://nikerishotelgroup.com/amalia-hotel/,,
ΑΜΑΡΥΛΛΙΣ,"


2 Χλμ
",2,nikos@venushotel.gr,26950-26847,6974-477993,26950-45431,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.amaryllis-hotel.gr,,
ΑΜΑΡΥΛΛΙΣ,,3,papadatos.n@gmail.com,26950-26406,,,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,,,
ΑΜΜΕΣ,"


9 Χλμ
",3,ammes@otenet.gr,26710-41809,2671-041809,26710-41041,Σβορωνάτα,ΣΒΟΡΩΝΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.ammes.gr,26710-41042,2671-041041
ΑΜΜΟΥΔΙΑ,"


0.25 Χλμ
",2,sands@otenet.gr,26450-92771,6977-930730,26450-92771,Νυδρί,,311 00,sandshotel.gr,26450-92212,2645-092771
ΑΜΜΟΥΔΙΑ ΜΑΙΖΟΝΕΤΣ,,3,ammoudiavillas@gmail.com,26630-63766,6944314994,,Αχαράβη,,491 00,www.ammoudiamaisonettes.com,,
ΑΜΜΟΥΣΑ,"


0.55 Χλμ
",2,ammousa.hotel@gmail.com,26710-94354,,26710-93313,Ληξούρι,21ΗΣ ΜΑΙΟΥ 1864 32,282 00,,26710-93313,
ΑΜΦΙΤΡΙΤΗ,,2,marillypap@yahoo.gr,6974243078,2108229443,2662030127,Λάκκα,,49082,www.amfitritihotel.gr,2662030011,2103425182
ΑΝΑΓΕΝΝΗΣΙΣ ΒΙΛΛΑΤΖ,"


2.5 Χλμ
",2,info@anagenessis-zakynthos.com,26950-45115,2695045115,26950-29231,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,http://anagenessis-zakynthos.com,26950-26214,2695029231
ΑΝΑΜΑΡ ΖΑΚΥΝΘΟΣ,"


4 Χλμ
",4,info@anamarzante.gr,2695045497,2155154545,2695045349,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.anamarzante.gr,2695045498,2155305527
