Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Διεύθυνση,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΘΗΝΑ ΑΚΤΗ,,3,,athina_88@hotmail.com,2821009555,,Δαράτσος,731 00,ΑΓΙΟΙ ΑΠΟΣΤΟΛΟΙ,,,
ΑΘΗΝΑ ΙΝΝ,"


0.15 Χλμ
",3,,athinainn@gmail.com,28970-23765,,Λιμένας Χερσονήσου,700 14,ΘΕΟΤΟΚΟΠΟΥΛΟΥ 9,,6948-264680,
ΑΘΗΝΑ ΠΑΛΛΑΣ,"


15 Χλμ
",5,www.athinapalace.com.gr,frontoffice@athinapalace.com.gr,2810-811800,2810-811664,Λυγαριά,715 00,ΛΥΓΑΡΙΑ ΑΧΛΑΔΑΣ ΗΡΑΚΛΕΙΟΥ,,6944551010,
ΑΘΗΝΑΙΚΟΝ,"


1 Χλμ
",2,www.athinaikon-hotel.gr,reservations@athinaikon-hotel.gr,2810-229312,2810-229334,Ηράκλειο,713 06,ΕΘΝ.ΑΝΤΙΣΤΑΣΕΩΣ 89,2810-229334,,
ΑΙΓΛΗ,"


3 Χλμ
",2,www.egli-studios.com,eglistudioscrete@gmail.com,28210-60676,28210-60676,Σταλός,731 00,Κ.ΣΤΑΛΟΣ ΚΥΔΩΝ.ΧΑΝΙΩΝ ΚΡ.,28210-70678,,
ΑΙΜΙΛΙΑ,"


1.5 Χλμ
",2,,hatzidam@otenet.gr,28310-55029,28310-51402,Ρέθυμνο,741 00,ΚΑΛΟΓΕΡΑΚΗ 5,,2831-023183,2831-051402
ΑΙΟΛΟΣ,"


0.4 Χλμ
",2,www.aeolos-apts.com,info@aeolos-apts.com,28240-22203,28240-22903,Κίσσαμος,730 06,,,2824-022203,2824-022903
ΑΙΟΛΟΣ,"


0.5 Χλμ
",3,www.aeolosbeachresort.gr,info@aeolosbeachresort.gr,28970-31670,28970-33844,Μάλια,700 07,,28970-33683,2897-034120,2897-033844
ΑΪΡΙΣ,,4,www.airissuites.gr,info@airissuites.gr,2821031010,,Χανιά,73004,,2821009975,,
ΑΚΑΛΗ ΜΕΛΑΘΡΟΝ,"


0.1 Χλμ
",4,www.akali-hotel.gr,akalihotel@otenet.gr,28210-92872/5,28210-92876,Χανιά,731 36,ΚΙΣΣΑΜΟΥ 55,,,
ΑΚΑΣΤΗ,"


1 Χλμ
",2,www.akasti-hotel.gr,info@akasti-hotel.gr,0030-28210-31352,28210-33101,Γαλατάς,73131,"ΚΑΛΑΜΑΚΙΟΥ, ΝΕΑ ΚΥΔΩΝΙΑ",0030-28210-54063,2821-054063,
ΑΚΑΤΟΣ,"


2 Χλμ
",2,akatoshotel.gr,akatoshotel@yahoo.gr,28210-68980,28210-68980,Αγία Μαρίνα,73014,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,6945372014,,
ΑΚΟΙΤΙΟΝ,"


0.2 Χλμ
",2,www.akoition.com,info@akoition.gr,28210-68692,28210-60291,Αγία Μαρίνα,731 00,ΑΓ.ΜΑΡΙΝΑ ΧΑΝΙΩΝ,28210-60290,2821-068566,2821-068566
ΑΚΟΥΑΡΙΟΥΣ,"


0.35 Χλμ
",2,www.theaquariushotel.com,info@theaquariushotel.com,28310-25121,28310-54520,Ρέθυμνο,741 00,ΓΙΑΜΠΟΥΔΑΚΗ 26,,6947481853,2831-054520
ΑΚΡΟΘΑΛΑΣΣΙΑ,"


3 Χλμ
",2,www.sea-side.gr,hseaside@otenet.gr,28210-68118,28210-68930,Σταλός,731 00,ΚΑΤΩ ΣΤΑΛΟΣ ΚΥΔΩΝΙΑΣ ΧΑΝ.,28210-68047,2821-098120,
ΑΚΡΟΠΟΛΗ,"


0.1 Χλμ
",3,www.acropolis-apartments.com,katsampoxakis@yahoo.gr,28970-23554,,Λιμένας Χερσονήσου,700 14,ΔΗΜΟΚΡΑΤΙΑΣ 11,,,
ΑΚΡΩΤΗΡΙ,"


1 Χλμ
",4,http://www.cavosuites.gr/index.php?langid=52#,edamvakeraki@ninos.gr,28310-25492,,Ρέθυμνο,741 00,ΑΚΡΩΤΗΡΙΟΥ 13,,2831-028575,
ΑΚΡΩΤΗΡΙ,"


2 Χλμ
",2,hotelakrotiri.com,akrotiri127@yahoo.gr,28210-54669,28210-44781,Χανιά,731 00,ΑΚΡΩΤΗΡΙ ΧΑΝΙΩΝ,28210-45469,,
ΑΚΡΩΤΗΡΙ ΣΠΑΘΑ ΠΟΛΥΤΕΛΕΣ ΘΕΡΕΤΡΟΝ,"


20 Χλμ
",5,www.cavospada.gr,cavospada@giannoulishotels.com,28240-22121,28240-23430,Καμισιανά,730 06,ΡΑΠΑΝΙΑΝΑ ΚΡΗΤΗΣ,,2824-022121,2824-023430
ΑΚΤΗ ΑΓΑΠΗΣ,"


0.4 Χλμ
",4,www.agapibeach.gr,fsbokos@sbokoshotels.gr,2810-311084,2810-258731,Γάζι,714 14,ΑΜΜΟΥΔΑΡΑ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,2810-250502,281-0311084,281-0258731
ΑΚΤΗ ΑΓΓΕΛΟ,"


1 Χλμ
",3,www.aggelohotel.gr,info@aggelohotel.gr,28970-31539,28970-31540,Μάλια,700 07,ΑΓΙΟΥ ΙΩΑΝΝΟΥ 1,,,
ΑΚΤΗ ΑΛΕΞΑΝΔΡΑ Ι,"


7 Χλμ
",2,www.alexandrabeach.com,accounting@alexandrabeach.com,28210-36599,28210-38020,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,,
ΑΚΤΗ ΑΛΕΞΑΝΔΡΑ ΙΙ,"


7 Χλμ
",2,www.alexandrabeach.com,accounting@alexandrabeach.com,28210-36599,28210-38020,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,,
ΑΚΤΗ ΑΛΕΞΑΝΔΡΑ ΙΙΙ,"


1.5 Χλμ
",2,www.alexandrabeach.com,accounting@alexandrabeach.com,28210-36599,28210-38020,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,,
ΑΚΤΗ ΑΛΕΞΙΑ,"


10 Χλμ
",2,www.alexiahotel.gr,info@alexiahotel.gr,28210-68110,28210-68635,Αγία Μαρίνα,731 35,ΑΓ.ΜΑΡΙΝΑ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,28210-68111,,
ΑΚΤΗ ΑΛΜΥΡΙΔΑ ΙΙΙ,"


3 Χλμ
",4,www.almyridabeach.com,info@almyridabeach.com,28250-32075,28250-32442,Αλμυρίδα,730 08,ΑΛΜΥΡΙΔΑ ΧΑΝΙΩΝ,28250-32284,6974-589164,
ΑΚΤΗ ΑΛΜΥΡΟΣ,"


1.5 Χλμ
",3,,reservations@bluacquahotel.gr,28410-22865,28410-22182,Άγιος Νικόλαος,721 00,ΑΛΜΥΡΟΣ,,,
ΑΚΤΗ ΑΠΛΑΔΑΣ,"


12 Χλμ
",4,www.apladas.gr,info@apladas.gr,28210-83620-83625,28210-83628,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,2821-083620,2821-083628
ΑΚΤΗ ΑΠΟΛΛΩΝΙΑ,"


3 Χλμ
",5,www.apollonia.gr,apollonia@apollonia.gr,2810-821602,2810-821433,Λινοπεράματα,715 00,ΛΙΝΟΠΕΡΑΜΑΤΑ ΗΡΑΚΛΕΙΟΥ,2810-821624,281-0821602,281-0821433
ΑΚΤΗ ΑΡΙΑΔΝΗ,"


0.5 Χλμ
",3,www.ariadnecrete.gr,info@ariadnecrete.gr,28410-22741,28410-22005,Άγιος Νικόλαος,721 00,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ ΚΡΗΤΗΣ,28410-22743,2841-022287,2841-028944
ΑΚΤΗ ΑΡΙΑΔΝΗ,,2,www.ariadnebeach.gr,info@ariadnebeach.gr,28210-68863,,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,,
ΑΚΤΗ ΑΤΛΑΝΤΙΣ,"


1.5 Χλμ
",5,www.atlantisbeach.gr,fb@atlantisbeach.gr,28310-51002,28310-51068,Ρέθυμνο,741 00,ΑΡΗ ΒΕΛΟΥΧΙΩΤΗ 26,,2831-024784,2831-051068
ΑΚΤΗ ΑΤΛΑΝΤΙΣ,"


6 Χλμ
",2,,atlbeach@otenet.gr,28210-68537,28210-68151,Σταλός,731 00,,,,
ΑΚΤΗ ΑΦΡΟΔΙΤΗ,"


0.9 Χλμ
",2,www.aphroditebeach.com,info@aphroditebeach.com,28220-83363,28220-83095,Κίσσαμος,734 00,ΑΓΑΜΕΜΝΟΝΟΣ 49,28220-83099,,
ΑΚΤΗ ΒΑΝΤΑΡΗΣ,"


15 Χλμ
",4,www.vantarishotels.gr,sofia@vantarishotels.gr,28250-61231,28250-61006,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,28250-61113,2825-061231,2825-061006
ΑΚΤΗ ΒΑΣΙΑ,"


5 Χλμ
",5,www.vasiabeach.gr,info@vasiabeach.gr,2841071001,28410-89863,Σίσι,724 00,ΣΙΣΣΙ ΒΡΑΧΑΣ.ΛΑΣΗΘΙΟΥ ΚΡ.,,281-0229022,2841-089865
ΑΚΤΗ ΒΙΓΚΛΙΑ,"


6 Χλμ
",2,www.viglia.com,vigliahotel@gmail.com,28220-23893,28220-23892,Μετόχι,734 00,,28220-23892,2822-022742,2822-023892
ΑΚΤΗ ΓΑΛΑΖΙΟΣ ΟΥΡΑΝΟΣ,,4,,manager@corelliasand.gr,2810-761927,,Γούρνες,715 00,ΓΟΥΡΝΕΣ ΠΕΔΙΑΔ.ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,,
ΑΚΤΗ ΓΑΛΗΝΗ,"


0.5 Χλμ
",1,www.galinibeach.com,info@galinibeach.com,28220-23288,28220-23388,Κίσσαμος,734 00,,,,
ΑΚΤΗ ΓΕΡΑΝΙΩΤΗΣ,"


1 Χλμ
",3,www.geraniotisbeach.com,geraniot@otenet.gr,28210-68681/2,28210-68683,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,2821-045346,2821-068683
ΑΚΤΗ ΓΕΩΡΓΙΟΥΠΟΛΗ,"


5 Χλμ
",4,www.gbhotel.gr,reservations@gbhotel.gr,28250-61056,28250-83022,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,,2825-061056,2825-083022
ΑΚΤΗ ΔΑΙΔΑΛΟΣ,"


10 Χλμ
",3,www.dedalosbeach.com,info@dedalosbeach.com,28310-73035/7,28310-73038,Σφακάκι,741 00,ΣΦΑΚΑΚΙ ΡΕΘΥΜΝΟΥ,,6942-400923/4,
ΑΚΤΗ ΔΑΝΑΟΣ,"


9 Χλμ
",3,www.danaosbeach.gr,info@danaosbeach.gr,28310-73025,28310-73024,Σφακάκι,741 00,ΤΑΧ.ΘΥΡΙΔΑ,,,
ΑΚΤΗ ΔΕΛΦΙΝΑ,"


3 Χλμ
",3,www.delfinabeach.gr,info@delfinabeach.gr,28250-61272,28250-61411,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,28250-61010,,
ΑΚΤΗ ΕΔΕΜ,"


5 Χλμ
",2,,info@anemos-villas.com,28310-73963,28310-73964,Αδελιανός Κάμπος,741 00,,,,
ΑΚΤΗ ΕΛΟΥΝΤΑ,"


2 Χλμ
",5,www.eloundabeach.gr,elohotel@eloundabeach.gr,28410-67000,28410-41373,Κάτω Ελούντα,720 53,ΕΛΟΥΝΤΑ ΛΑΣΙΘΙΟΥ,,21-03679000,21-03603392
ΑΚΤΗ ΕΡΗ & ΧΩΡΙΟ,,4,,log.holidaysautos@gmail.com,28970-22271,2897021183,Λιμένας Χερσονήσου,700 14,ΛΙΜΕΝΑΣ ΧΕΡΣΟΝΗΣΟΥ,,2810-227333,
ΑΚΤΗ ΕΥΡΩΠΗ,"


7 Χλμ
",4,www.europabeach.gr,europa@europabeach.gr,28970-23501,28970-21532,Ανάληψη,700 14,ΑΝΑΛΗΨΗ ΧΕΡΣΟΝΗΣΟΥ ΚΡΗΤΗΣ,21530/4,2897-023501,2897-021532
ΑΚΤΗ ΖΑΝΤΙΝΑ,"


1 Χλμ
",2,,hatzidam@otenet.gr,28310-26824,28310-55464,Ρέθυμνο,741 00,ΑΡΗ ΒΕΛΟΥΧΙΩΤΗ 10,28310-26824,28310-26824,
ΑΚΤΗ ΖΕΡΒΑΣ,"


5 Χλμ
",3,,info@zervasbeach.com,28970-32719,28970-31397,Σταλίδα,700 07,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ,,2897-032719,2897-031397
ΑΚΤΗ ΖΕΦΥΡΟΥ,"


0.04 Χλμ
",4,www.vasiabeach.gr,info@vasiabeach.gr,28410-71001,28410-71015,Σταλίδα,700 07,ΤΑΧ.ΘΥΡΙΣ 65,28970-31566,281-0226223,2897-032473
ΑΚΤΗ ΘΕΡΕΤΡΟ ΑΝΝΑΜΠΕΛ,"


2 Χλμ
",5,www.annabellebeachresort.gr,accounting@annabellebeachresort.gr,28970-23561,28970-21322,Λιμένας Χερσονήσου,700 14,ΑΓ.ΓΕΩΡΓΙΟΣ Λ.ΧΕΡΣΟΝΗΣΟΥ,210-6852440,,
ΑΚΤΗ ΙΝΤΕΑΛ,"


0.3 Χλμ
",3,,reception@idealbeach.gr,28210-68686,28210-68685,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,,
ΑΚΤΗ ΚΑΛΛΙΣΤΟΝ,,5,www.atlanticahotels.com/hotels-in-crete/atlantica-kalliston-resort-and-spa,account1@kallistonhotel.com,2821034349,2821034428,Δαράτσος,73100,,2821034400,,
ΑΚΤΗ ΚΑΛΝΤΕΡΑ,"


0.5 Χλμ
",4,www.calderabeach.com,skrommidakis@calderagroup.gr,28210-61100,28210-61030,Γεράνι,731 00,ΓΕΡΑΝΙ ΧΑΝΙΩΝ,,,
ΑΚΤΗ ΚΑΛΥΒΕΣ,"


0.5 Χλμ
",4,www.kalyvesbeach.com,info@kianibeach.com,28250-32300,28250-31134,Καλύβες,730 03,ΚΑΛΥΒΕΣ ΑΠΟΚΟΡΩΝΟΥ ΧΑΝΙΩΝ,2825031285,2825032300,2825-031134
ΑΚΤΗ ΚΑΡΕΤΤΑ,"


12 Χλμ
",2,www.caretta-beach.gr,info@caretta-beach.gr,2821061700,,Γεράνι,731 00,ΓΕΡΑΝΙ ΚΥΔΩΝ.ΧΑΝΙΩΝ,,,
ΑΚΤΗ ΚΕΡΝΟΣ,"


1.5 Χλμ
",4,www.kernosbeach.gr,kernos@kernosbeach.gr,2897027800,2897031774,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛ.ΚΡΗΤΗΣ,28970-27800,2897-031421,2897-031774
ΑΚΤΗ ΚΝΩΣΣΟΣ,"


10 Χλμ
",5,www.knossosbeach.gr,info@knossosbeach.gr,2810-761000,2810-761610,Γούβες,715 00,Τ.Θ.1177,2810 761014,281-0761204,281-0761610
ΑΚΤΗ ΚΟΡΑΛΙ,"


1 Χλμ
",3,www.akticorali.gr,info@akticorali.gr,2810-260909,2810-311820,Γάζι,712 02,ΑΜΜΟΥΔΑΡΑ ΓΑΖΙΟΥ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,,
ΑΚΤΗ ΚΟΡΑΛΙ,"


1.5 Χλμ
",2,,coralbeachhotel@yahoo.gr,28210-38196,28210-38198,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,,
ΑΚΤΗ ΚΡΗΤΗΣ,"


0.5 Χλμ
",5,www.ok-rethymno.gr,kritibeach@ok-rethymno.gr,28310-27401,28310-22353,Ρέθυμνο,741 00,Α.ΠΑΠΑΝΑΣΤΑΣΙΟΥ 18,,28310-27401,28310-22353
ΑΚΤΗ ΚΡΗΤΗΣ-ΚΡΕΤΑ ΜΠΗΤΣ,"


5 Χλμ
",4,www.cretabeach.com,manager@cretabeach.com,2810-252302,2810-251777,Γάζι,714 14,Τ.Θ 1043,2810-250050,2810-252302,2810-251777
ΑΚΤΗ ΚΡΙΝΗ,,2,www.krinibeach.gr,info@krinibeach.gr,28310-72903,,Σφακάκι,741 00,,,,
ΑΚΤΗ ΚΩΣΤΑΚΗΣ,"


2.5 Χλμ
",2,www.kostakisapartments.gr,info@kostakisapartments.gr,28210-61619,28210-63307,Γεράνι,731 00,,28210-61788,2821-046186,2821-068807
ΑΚΤΗ ΛΕΥΚΟΝΟΙΚΟ,"


1 Χλμ
",3,www.lefkoniko.gr,info@lefkoniko.gr,28310-55328,,Ρέθυμνο,741 00,Λ.ΚΑΦΑΤΟΥ 3,6986953259,2831055328,
ΑΚΤΗ ΛΗΤΩ,"


1 Χλμ
",3,www.litobeach.gr,info@litobeach.gr,28210-61109,28210-61103,Γεράνι,731 00,ΓΕΡΑΝΙ ΧΑΝΙΩΝ,,6947-262575,2821-061103
ΑΚΤΗ ΜΑΡΙΑ,"


0.5 Χλμ
",2,https://www.mariabeachhotel.gr/,info@mariabeach.gr,2822022610,28220-23626,Κίσσαμος,734 00,,,,
ΑΚΤΗ ΜΕΛΙΝΑ,"


10 Χλμ
",2,www.melinabeach.gr,melinapl@otenet.gr,28210-60727,28210-38099,Πλατανιάς,730 14,,28210-38099,6974777325,
ΑΚΤΗ ΜΠΑΛΙ,"


30 Χλμ
",3,www.balibeach.gr,info@balibeach.gr,28340-94210,28340-94252,Μπαλί,740 57,ΜΠΑΛΙ ΡΕΘΥΜΝΟΥ,28340-94211,2834-094210,2834-094252
ΑΚΤΗ ΜΠΑΛΟΣ,"


4 Χλμ
",3,www.balosbeach.gr,info@balosbeach.gr,28220-24106,28220-23528,Καλυβιανή,734 00,ΚΑΛΥΒΙΑΝΗ ΚΙΣΣΑΜΟΥ ΧΑΝΙΩΝ,28220-24107,2822-024106,2822-023528
ΑΚΤΗ ΜΠΕΛΛΑ,"


25 Χλμ
",5,www.hersotels.gr,bella@hersotels.gr,28970-21410,28970-21400,Ανισσαράς,700 14,ΑΝΙΣΣΑΡΑΣ ΧΕΡΣΟΝΗΣΣΟΥ ΗΡΑΚΛΕΙΟΥ,28970-21414,28970-21410,28970-21400
ΑΚΤΗ ΜΥΘΟΣ,,2,,malekakisandreas@gmail.com,28210-62640,28210-62642,Μάλεμε,731 00,ΜΑΛΕΜΕ ΚΥΔ.ΧΑΝΙΩΝ,,,
