Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΘΗΝΑ ΕΠΙΛΟΓΗ,"


0.15 Χλμ
",2,www.athenschoice.com,athenschoice@gmail.com,210-5238738,210-5238739,210-5225954,Αθήνα,ΒΕΡΑΝΖΕΡΟΥ 45,104 32,,
ΑΘΗΝΑ ΕΥΚΟΛΗ ΠΡΟΣΒΑΣΗ,"


0.5 Χλμ
",2,,nicospap9@gmail.com,210-5243211,210-5243213,,Αθήνα,ΣΑΤΩΒΡΙΑΝΔΟΥ 26,104 32,,
ΑΘΗΝΑ ΚΕΝΤΡΟ ΠΛΑΤΕΙΑ,"


0.7 Χλμ
",3,www.athenscentersquarehotel.gr,acs@athenshotelsgroup.com,210-3211770,,210-3211800,Αθήνα,ΑΡΙΣΤΟΓΕΙΤΟΝΟΣ 15,105 52,,
ΑΘΗΝΑ ΚΥΠΡΙΑ,"


0.9 Χλμ
",4,www.athenscypria.com,info@athenscypria.com,210-3238034/8,,210-3248792,Αθήνα,ΔΙΟΜΕΙΑΣ 5,105 63,,
ΑΘΗΝΑ ΛΥΔΙΑ,"


2 Χλμ
",2,www.athenslydiahotel.gr,athenslydiahotel@gmail.com,210-8218140,210-8218470,210-8215992,Αθήνα,ΛΙΟΣΙΩΝ 121,104 45,,
ΑΘΗΝΑ ΞΕΝΩΝΑΣ ΝΕΟΤΗΤΟΣ ΠΑΓΚΡΑΤΙΟΝ,,0,athensyhostel.com,info@athensyhostel.com,2107519530,,2107510616,Αθήνα,ΔΑΜΑΡΕΩΣ 75,11633,,
ΑΘΗΝΑ ΨΥΡΡΗ,,1,www.athenspsirihotel.com,info@athenspsirihotel.com,210-5234329,,,Αθήνα,ΣΟΦΟΚΛΕΟΥΣ 32,105 52,,
ΑΘΗΝΑΙΑ ΚΑΛΛΙΡΟΗ,"


2 Χλμ
",4,www.tac.gr,hotel@tac.gr,210-9215353,,210-9215342,Αθήνα,ΠΕΤΜΕΖΑ 15  &  ΚΑΛΛΙΡΟΗΣ,117 43,,
ΑΘΗΝΑΪΚΗΣ ΑΓΟΡΑΣ ΠΟΡΤΡΕΤΟ,"


0.3 Χλμ
",1,www.hotelathinaikon.com,info@hotelathinaikon.com,210-3215657,,210-3215347,Αθήνα,ΕΥΡΙΠΙΔΟΥ 40,105 52,,
ΑΘΗΝΑΙΟΝ ΙΝΤΕΡΚΟΝΤΙΝΕΝΤΑΛ,"


5 Χλμ
",5,www.intercontinental.com/athens,panos.panayotopoulos@ihg.com,210-9206774,,210-9206500,Αθήνα,ΣΥΓΓΡΟΥ 89-93,117 45,,
ΑΘΗΝΑΙΣ,"


0.05 Χλμ
",3,www.athinaishotel.gr,info@athinaishotel.gr,210-6431133,,210-6461682,Αθήνα,ΛΕΩΦ.ΒΑΣΙΛΙΣΣΗΣ ΣΟΦΙΑΣ 99,115 21,,
ΑΘΗΝΙΑΝ ΜΟΝΤΑΖΑ,,3,,info@montaza.gr,6946626223,,,Αθήνα,Λ. Συγγρού 156,17671,,
ΑΘΙΝΙΟΥΜ ΓΚΡΑΝΤ,,4,www.athenaeumgrandhotel.com,info@athenaeumgrand.com.gr,210-9222500,,210-9222500,Καλλιθέα,ΛΕΩΦ.ΣΥΓΓΡΟΥ 142,176 72,,
ΑΘΙΝΙΟΥΜ ΣΜΑΡΤ,,4,,accounting@athenaeumhotels.com.gr,2109222500,,,Αθήνα,Λ. ΣΥΓΓΡΟΥ  127,11745,,
ΑΘΩΣ,"


1.5 Χλμ
",3,www.athoshotel.gr,athoshtl@otenet.gr,210-3220080,210-3221977,210-3210548,Αθήνα,ΠΑΤΡΩΟΥ 3,105 57,,
ΑΙΑΝΤΕΙΟΝ ΜΠΕΪ,"


20 Χλμ
",3,www.aianteionbay.gr,koupetoriscon@yahoo.gr,2111130446,2111130448,,Αιάντειο,ΑΓΓ.ΣΙΚΕΛΙΑΝΟΥ 8,189 00,2111130446,
ΑΙΓΑΙΟΝ,"


8 Χλμ
",4,www.aegeon-hotel.com,info@aegeon-hotel.com,22920-39200,,22920-39234,Κάτω Σούνιο,ΣΟΥΝΙΟ,195 00,,
ΑΙΓΙΝΑ,,2,www.hotelaegina.gr,info@hotelaegina.gr,22970-28501,,,Αγία Μαρίνα,ΣΤΡΑΤΗΓΟΥ ΔΗΜΗΤΡΙΟΥ ΠΕΤΡΙΤΗ 23,180 10,,
ΑΙΓΙΝΗΤΙΚΟ ΑΡΧΟΝΤΙΚΟ,"


1 Χλμ
",4,www.aeginitikoarchontiko.gr,fotisvoulgarakis@yahoo.gr,22970-24968,024156,22970-26716,Αίγινα,ΑΓ.ΝΙΚΟΛ. &  ΘΩΜΑΙΔΟΥ 1,180 10,,
ΑΙΓΛΗ,"


3 Χλμ
",2,www.aeglihotel-athens.gr,info@aeglihotel-athens.gr,210-5819516,210-5814900,210-5819515,Χαϊδάρι,ΣΤΡΑΤ.ΚΑΡΑΙΣΚΑΚΗ 1,124 61,,
ΑΙΓΛΗ,,2,,aegligalaris@hotmail.com,22970-32221,,22977-72228,Αγία Μαρίνα,ΑΓΙΑ ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,6972-339075,
ΑΚΑΔΗΜΙΑΣ ΞΕΝΟΔΟΧΕΙΟΝ-ΟΤΟΓΚΡΑΦ ΚΟΛΕΞΙΟΝ ΟΤΕΛ,,5,https://academiaofathens.com/,info@academiaofathens.com,2103670000,2103214534,,Αθήνα,ΑΚΑΔΗΜΙΑΣ 38 & ΟΜΗΡΟΥ 19,10672,,
ΑΚΡΟΠΟΛ,"


1 Χλμ
",2,www.acropole-hotel.gr,ahotel@otenet.gr,210-4173313,,210-4170525,Πειραιάς,Δ.ΓΟΥΝΑΡΗ 7,185 31,,
ΑΚΡΟΠΟΛ,"


3 Χλμ
",2,www.acropol.gr,info@acropol.gr,210-6826650,,210-6845057,Χαλάνδρι,ΠΕΝΤΕΛΗΣ 71,152 33,,
ΑΚΡΟΠΟΛΕΩΣ ΘΕΑ,"


1 Χλμ
",3,www.acropolisviewhotel.gr,av_hotel@otenet.gr,210-9217303,210-9217305,210-9230705,Αθήνα,ΓΟΥΕΜΣΤΕΡ 10,117 42,,
ΑΚΡΟΠΟΛΗΣ ΛΟΦΟΣ,"


2 Χλμ
",3,www.acropolishill.gr,info@acropolishill.gr,210-9235151,210-9235153,210-9247350,Αθήνα,ΜΟΥΣΩΝ 7-ΑΚΡΟΠΟΛΙΣ,117 42,,
ΑΚΡΟΠΟΛΙΑΝ ΣΠΙΡΙΤ,,4,,panosbetis@gmail.com,2109220810,,2109220820,Αθήνα,ΣΥΓΓΡΟΥ 7,11743,,
ΑΚΡΟΠΟΛΙΣ ΑΜΙ,"


2 Χλμ
",3,,info@acropolisamihotel.com,210-9220810,210-9220811,210-9220820,Αθήνα,ΗΡΑΣ 10  &  ΔΕΣΠ.ΣΕΧΟΥ,117 43,,
ΑΚΡΟΠΟΛΙΣ ΣΕΛΕΚΤ,"


2 Χλμ
",3,www.acropoliselect.gr,select3@otenet.gr,210-9211611,,210-9216938,Αθήνα,ΦΑΛΗΡΟΥ 37-39 ΜΑΚΡΥΓΙΑΝΝΗ,117 42,,
ΑΚΡΟΠΟΛΙΣ ΧΑΟΥΖ,"


1.5 Χλμ
",2,www.acropolishouse.gr,acropolishouse@gmail.com,2103222344,210-3222345,210-3244143,Αθήνα,ΚΟΔΡΟΥ 6-8,105 58,,
ΑΚΡΩΤΗΡΙ,"


7 Χλμ
",2,,akrotiri@kythera.gr,27360-33133,,,Πλατεία Άμμος,ΠΛΑΤΕΙΑ ΑΜΜΟΣ ΚΑΡΑΒΑΣ ΚΥΘΗΡΑ,802 00,,
ΑΚΤΑΙΟΝ,"


0.5 Χλμ
",3,www.stayinagistri.gr,dionysis@stayinagistri.gr,22970-91222,,22970-91015,Μεγαλοχώρι-Αγκίστρι,ΑΓΚΙΣΤΡΙ ΑΙΓΙΝΑΣ,180 10,,
ΑΚΤΗ,"


0.05 Χλμ
",3,,akti-livanates@hotmail.com,000-0000000,2233031305,22940-29373,Ραφήνα,ΒΙΘΗΝΙΑΣ 14,190 09,,
ΑΚΤΗ,,2,,,22970-32288,22970-32665,,Αγία Μαρίνα,ΑΓΙΑ ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,,
ΑΚΤΗ,"


0.06 Χλμ
",1,www.agistri.com.gr/akti,aktiagistri@gmail.com,22970-91232,,,Μεγαλοχώρι-Αγκίστρι,ΑΓΚΙΣΤΡΙ ΑΙΓΙΝΑΣ,180 10,,
ΑΚΤΗ ΑΚΡΩΤΗΡΙΟΥ ΣΟΥΝΙΟΥ,"


9 Χλμ
",4,www.capesounio.com,reservations.so@grecotel.com,22920-69700,210-7280400,22920-69770,Κάτω Σούνιο,67 ΧΛΜ ΑΘΗΝΩΝ-ΣΟΥΝΙΟΥ,195 00,2292-069700,
ΑΚΤΗ ΑΛΕΞΑΝΔΡΟΥ,,4,www.alexander-beach.gr,info@alexander-beach.gr,22910-61551,,22910-61545,Ανάβυσσος,47 ΧΛΜ ΛΕΩΦ.ΑΘΗΝ.-ΣΟΥΝΙΟΥ,190 13,,
ΑΚΤΗ ΕΒΕΡΕΝΤΕΝ,"


20 Χλμ
",4,www.evereden.gr,welcome@evereden.gr,6944313010,22910-60031,22910-60043,Ανάβυσσος,47 ΧΛΜ ΑΘΗΝΩΝ-ΣΟΥΝΙΟΥ,190 13,2291-060031,2291-060043
ΑΚΤΗ ΘΩΜΑΣ,"


0.5 Χλμ
",3,www.thomasbeachhotel.gr,thomasb@otenet.gr,22940-98886,22940-98887,22940-98885,Νέα Μάκρη,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ 18,190 05,6942-201515,2294-098885
ΑΚΤΗ ΚΑΛΑΜΟΥ,"


19 Χλμ
",3,www.calamosbeach.gr,dmelikidis@mzt.gr,2310591444,22950-84882,22950-81339,Άγιοι Απόστολοι,ΑΓ.ΑΠΟΣΤΟΛΟΙ ΑΤΤΙΚΗΣ,190 14,21-02816316,21-02818843
ΑΚΤΗ ΚΥΘΗΡΑ,"


17 Χλμ
",2,www.visitkythira.com,kytbeach@otenet.gr,27360-33750,,2736033054,Διακόφτι,ΔΙΑΚΟΦΤΙ ΚΥΘΗΡΩΝ,802 00,21-09640335,21-04634841
ΑΚΤΗ ΜΑΡΑΘΩΝ,"


2 Χλμ
",3,www.marathonbeachresort.com,reservations@marathonbeachresort.com,22940-95022,22940-69106,22940-98840,Νέα Μάκρη,ΛΕΩΦΟΡΟΣ ΠΟΣΕΙΔΩΝΟΣ 12,190 05,,
ΑΚΤΗ ΠΛΑΤΕΙΑ ΑΜΜΟΣ,"


10 Χλμ
",2,platiaammosbeachhotel.blogspot.gr,modeas@gmail.com,27360-33960,27360-34176,27360-34176,Πλατεία Άμμος,ΠΛΑΤΕΙΑ ΑΜΜΟΣ ΚΑΡΑΒΑ ΚΥΘΗΡΩΝ,802 00,21-05736980,21-05736980
ΑΛΑΣΙΑ,"


0.2 Χλμ
",3,www.thealassia.com.gr,info@thealassia.com.gr,210-5274000,,210-5274029,Αθήνα,ΣΩΚΡΑΤΟΥΣ 50,104 31,,
ΑΛΒΥΩΝ,"


1 Χλμ
",2,,albion.athens@gmail.com,210-5228605,,,Αθήνα,ΑΚΟΜΙΝΑΤΟΥ 20,104 37,,
ΑΛΕΞ,"


0.5 Χλμ
",4,,accounting@santikoscollection.com,210-4117161,,210-4113694,Πειραιάς,ΒΑΣ.ΠΑΥΛΟΥ 109,185 33,,
ΑΛΕΞΑΝΔΡΑ,,1,www.alexandrashotel.gr,info@alexandrashotel.gr,22970-91251,6972829420,22970-91251,Μεγαλοχώρι-Αγκίστρι,ΑΓΚΙΣΤΡΙ ΑΙΓΙΝΑΣ,180 10,2297-091251,
ΑΛΕΞΑΝΔΡΗΣ,,1,http://alexandrishotel.com,alexandris.hotel@gmail.com,22980-73073,,22980-73074,Σπέτσες,ΣΠΕΤΣΕΣ,180 50,,
ΑΛΕΞΑΝΔΡΟΣ,"


0.1 Χλμ
",4,www.airotel.gr,alreception@airotel.gr,210-6430464,,210-6441084,Αθήνα,ΤΙΜ.ΒΑΣΣΟΥ 8,115 21,21-06400720,21-06400750
ΑΛΕΞΑΝΔΡΟΣ,"


0.05 Χλμ
",1,,,22970-32365,22970-32698,,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-032365,
ΑΛΕΞΙΑ,,3,,,27360-34246,,,Αρωνιάδικα,,802 00,,
ΑΛΚΥΟΝΙΣ,"


2 Χλμ
",2,www.alkyonis-hotel.gr,info@alkyonis-hotel.gr,22950-32490,22950-32494,22950-31744,Μαρκόπουλο,ΠΑΡΑΛΙΑ ΜΑΡΚΟΠΟΥΛΟΥ ΩΡΩΠΟ,190 15,2295-032490,2295-031744
ΑΛΜΑ,"


0.3 Χλμ
",2,www.almahtl.gr,alma.athens@gmail.com,210-5240859,,,Αθήνα,ΔΩΡΟΥ 5,104 32,,
ΑΛΤΕΡ ΑΘΕΝΣ,"


1 Χλμ
",2,www.alterathens.gr,hotel@alterathens.gr,210-3805632,210-3300397,,Αθήνα,ΖΩΟΔΟΧΟΥ ΠΗΓΗΣ 100,114 73,,
ΑΛΥΖΙΑ,,1,,g.armatas@hotmail.com,210-3827757,,,Αθήνα,ΚΑΠΟΔΙΣΤΡΙΟΥ 3,106 77,,
ΑΛΦΑ,"


1.5 Χλμ
",2,,alfaskyhotel@yahoo.gr,210-4949930,210-4949932,210-4949933,Νίκαια,ΓΡ.ΛΑΜΠΡΑΚΗ 11,184 54,,
ΑΛΦΑ,"


5 Χλμ
",2,,petrosmakris@gmail.com,210-5578839,210-5578840,210-5578847,Σκαραμαγκάς,ΠΑΛΑΣΚΑ 6,124 61,,
ΑΜΑΖΩΝ,"


3 Χλμ
",3,www.amazonhotel.gr,admin@amazonhotel.gr,6946651173,,210-3226672,Αθήνα,ΜΗΤΡΟΠΟΛΕΩΣ & ΠΕΝΤΕΛΗΣ 7,105 57,2103234002,2103236672
ΑΜΑΛΙΑ,"


1 Χλμ
",4,www.amaliahotels.com,amalia@amaliahotels.com,210-3237301/9,,210-3223872,Αθήνα,ΞΕΝΟΦΩΝΤΟΣ -ΑΜΑΛΙΑΣ 10,105 57,,
ΑΜΑΡΙΛΙΑ,"


2 Χλμ
",4,www.amarilia.gr,dora@amarilia.gr,2108990391,,2108955790,Βουλιαγμένη,ΑΓ.ΝΙΚΟΛΑΟΥ 13,166 71,,
ΑΜΑΡΥΛΛΙΣ,"


0.1 Χλμ
",2,www.amarillishydra.gr,am-hydra@otenet.gr,22980-52249,22980-53611,22980-53446,Ύδρα,ΤΟΜΠΑΖΗ 15,180 40,,
ΑΜΜΩΔΗΣ ΑΚΤΗ,"


0.1 Χλμ
",2,,reservations@hotelsandybeach.gr,22970-32461,,22970-32149,Αγία Μαρίνα,ΑΓ.ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,6932-269642,2297032149
ΑΜΠΑΤΗΣ,"


0.3 Χλμ
",2,www.hotel-abatis.gr,info@hotel-abatis.gr,22970-91254,22970-91454,210-4123593,Μεγαλοχώρι-Αγκίστρι,ΑΓΚΙΣΤΡΙ ΑΙΓΙΝΑΣ,180 10,21-04124192,21-04123593
ΑΜΠΡΑΜΗΣ,,3,abramis.gr,info@abramis.gr,27360-33639,27360-33160,27360-33160,Μητάτα,ΜΗΤΑΤΑ ΚΥΘΗΡΩΝ,801 00,,
ΑΝΑΓΕΝΝΗΣΙΣ,,1,http://www.agistri.com.gr/anagennisis-hotel/,info@anagennisihotel.gr,22970-91332,22970-91290,,Μεγαλοχώρι-Αγκίστρι,ΑΓΚΙΣΤΡΙ ΑΙΓΙΝΑΣ,180 10,,
ΑΝΑΣΤΑΖΙΑ,"


5 Χλμ
",2,www.anastaziahotel.gr,g.parisis@anastaziahotel.gr,210-8132060,210-8132040,210-8132031,Δροσιά,ΑΡΓΟΝΑΥΤΩΝ 12 & ΚΟΜΝΗΝΩΝ 4,145 65,,
ΑΝΑΣΤΑΣΙΟΥ,,1,,,22970-91317,,,Μεγαλοχώρι-Αγκίστρι,ΣΚΑΛΑ ΑΓΚΙΣΤΡΙΟΥ ΑΙΓΙΝΑΣ,180 10,,
ΑΝΑΤΟΛΗ,"


0.2 Χλμ
",2,www.hotel-anatoli.gr,info@hotel-anatoli.gr,22970-32002,6946029290,22970-32003,Αγία Μαρίνα,ΑΓΙΑ ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,21-09409490,21-09405604
ΑΝΑΤΟΛΗ,"


7 Χλμ
",3,www.anatolihotel-kythira.gr,prineastelis@gmail.com,6972220803,27360-33171,27360-31864,Αγία Πελαγία,,801 00,2736039112,2736031864
ΑΝΔΡΕΑΣ,"


0.1 Χλμ
",1,www.hotelandreasagistri.com,andreasagistri@gmail.com,22970-91346,,22970-91231,Σκάλα,ΣΚΑΛΑ ΑΓΚΙΣΤΡΙΟΥ ΑΙΓΙΝΑΣ,180 10,2297-091346,2297-091231
ΑΝΕΜΕΣ,,2,https://anemeshotel.gr/,anemeshotel@gmail.com,2736034067,,,Αβλέμονας,,801 00,,
ΑΝΕΜΩΝΗ,"


1 Χλμ
",2,www.anemoni.gr,anemoni@otenet.gr,210-4111768,210-4130091,210-4111743,Πειραιάς,ΕΥΡΙΠΙΔΟΥ 65-67,185 32,,
ΑΝΕΣΙΣ,"


9 Χλμ
",2,www.hotelanesi.gr,info@hotelanesi.gr,2102814840,2102814827,210-2811814,Μεταμόρφωση,ΤΑΤΟΙΟΥ 227,144 52,,
ΑΝΕΣΙΣ,,3,www.maneashotel.com,prineastelis@gmail.com,27360-33503,,,Αγία Πελαγία,,802 00,,
ΑΝΙΤΑ,"


1 Χλμ
",2,www.hotelargoanita.com,argoanita@hotmail.com,210-4121795,210-4121024,210-4122420,Πειραιάς,ΝΟΤΑΡΑ 25,185 31,,
ΑΝΟΙΞΙΣ,"


8 Χλμ
",2,www.hotelanixi.gr,info@hotelanixi.gr,210-6218147,,210-8140639,Άνοιξη,ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ 17,145 69,6936-513024,
ΑΝΤΖΕΛΑ,"


16 Χλμ
",1,,info@hotelangela.gr,22970-32556,,22970-32606,Αγία Μαρίνα,ΑΓΙΑ ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-071272,2297-032606
ΑΝΤΩΝΟΠΟΥΛΟΣ,"


1 Χλμ
",2,,antonopoulos.hotel@gmail.com,210-8946242,210-8945636,210-8940568,Γλυφάδα,ΓΡΗΓΟΡΙΟΥ ΛΑΜΠΡΑΚΗ 1,166 75,21-08948521,
ΑΠΟΛΛΩΝ,"


0.4 Χλμ
",3,,apolo@otenet.gr,22970-32271,22970-32281,22970-32688,Αγία Μαρίνα,ΑΓΙΑ ΜΑΡΙΝΑ ΑΙΓΙΝΑΣ,180 10,2297-032271,2297-032688
ΑΠΟΛΛΩΝ,"


2 Χλμ
",3,www.apollonhotel-athens.com,info@apollonhotel-athens.com,210-5226831,210-5245743,210-5245743,Αθήνα,ΑΧΙΛΛΕΩΣ 10,104 36,,
ΑΠΟΛΛΩΝ,"


0.5 Χλμ
",2,www.apollon-methana.gr/,info@apollon-methana.gr,22980-93082,,22980-92688,Μέθανα,ΑΚΤΗ ΣΑΡΩΝΙΚΟΥ 14,180 30,2298-092445,
ΑΠΟΛΛΩΝΕΙΟΝ,,2,www.hotelapollonio.com,,210-5224298,,,Αθήνα,ΛΕΩΝΙΔΟΥ 1,104 37,,
ΑΠΟΛΛΩΝΙΑ,"


5 Χλμ
",4,www.apolloniahotel.gr,nikos@apolloniahotel.gr,210-8973796,210-08975282,210-8974302,Βάρη,ΝΑΞΟΥ 9,166 72,21-08941110,21-08974302
