Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΘΩΣ ΠΑΛΛΑΣ,"


6 Χλμ
",4,www.ghotels.gr,welcome@ghotels.gr,23740-22100/10,23740-23605,Καλλιθέα,ΚΑΛΛΙΘΕΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,,231-0235531,231-0277614
ΑΙΓΑΙ,"


1 Χλμ
",4,www.aigai-hotel.com,aigaihotel@otenet.gr,23810-29888,,Προάστιο,ΠΡΟΑΣΤΙΟ ΕΔΕΣΣΑΣ,582 00,,,
ΑΙΓΑΙΟ ΓΑΛΑΖΙΟ,"


1 Χλμ
",4,www.aegeanblue.gr,aegeanblue@aegeanblue.gr,23990-20160,23990-20161,Νέα Καλλικράτεια,Ν.ΚΑΛΛΙΚΡΑΤΕΙΑ ΧΑΛΚΙΔΙΚΗΣ,630 80,,23990-20160,2399020161
ΑΙΓΑΙΟΝ,"


0.5 Χλμ
",3,www.aegeon-hotel.gr,reservation@egnatiapalace.gr,2310522921,2310522922,Θεσσαλονίκη,ΕΓΝΑΤΙΑΣ 19,546 30,,,
ΑΙΓΑΙΟΝ,"


4 Χλμ
",1,,jajic@yahoo.com,23920-51236,23920-51236,Αγία Τριάδα,ΑΓΙΑ ΤΡΙΑΔΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,570 19,,,
ΑΙΓΑΙΟΝ,"


8 Χλμ
",3,www.hotel-aegean.gr,info@hotel-aegean.gr,23740-53176,23740-53106,Κρυοπηγή,,630 85,23740-52186,6945592903,
ΑΙΓΑΙΟΝ ΜΕΛΑΘΡΟΝ,"


5 Χλμ
",5,www.aegeanstar.com,melathron@aegeanstar.com,23740-20820,23740-24707,Καλλιθέα,ΚΑΛΛΙΘΕΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,23740-20831,,
ΑΙΓΕΣ,"


2.5 Χλμ
",4,www.aigesmelathron.gr,info@aigesmelathron.gr,23310-77777,23310-77770,Βέροια,ΝΕΑ ΠΕΡΙΦΕΡ.ΒΕΡΟΙΑΣ-ΝΑΟΥΣ,591 00,,,
ΑΙΓΛΗ,"


10 Χλμ
",2,www.aigli-hotel.gr,info@aigli-hotel.gr,23920-22243,23920-24222,Περαία,,570 19,23920-22244,,
ΑΙΓΛΗ,,2,,,23810-31649,,Άγιος Αθανάσιος,,580 02,,,
ΑΙΘΡΙΟ,"


0.2 Χλμ
",1,www.hotel-atrium.gr,info@hotel-atrium.gr,23520-33761,,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,,6947420456,2410-536126
ΑΙΘΡΙΟΝ,"


0.2 Χλμ
",4,www.atrium-hotel.gr,hatrium@otenet.gr,23740-62000,23740-63501,Πευκοχώρι,ΠΕΥΚΟΧΩΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,,2374-062000,
ΑΙΘΡΙΟΝ ΚΡΥΟΠΗΓΗΣ,,4,,info@aithrionhotel.gr,2374052114,,Κρυοπηγή,,630 77,,,
ΑΙΜΙΛΙΟΣ,"


7 Χλμ
",1,,hotelgirni@yahoo.com,23510-61412,,Παραλία,ΠΙΕΡΙΑΣ 3,601 00,,2351-026275,
ΑΚΑΛΑΝΘΙΣ,"


6 Χλμ
",3,,,23310-68008,23310-75194,Ριζώματα,,591 00,,6944-220794,
ΑΚΑΝΘΟΣ,"


0.15 Χλμ
",1,,adamidis@otenet.gr,2377041197,2377021104,Ιερισσός,ΙΕΡΙΣΣΟΣ ΧΑΛΚΙΔΙΚΗΣ,630 75,2377022773,2377041197,2377021104
ΑΚΟΥΑ ΣΙΣΑΪΝΤ,,2,,ktsiara@yahoo.gr,23510-27148,,Ολυμπιακή Ακτή,ΕΡΑΤΟΥΣ & ΠΟΣΕΙΔΩΝΟΣ,601 00,,,
ΑΚΟΥΑΡΙΟΥΣ,"


8 Χλμ
",2,www.aquariushotel.gr,aquariushotelfourka@gmail.com,23740-41508,23740-42123,Φούρκα,ΦΟΥΡΚΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,23740-42370,231-0440305,231-0440305
ΑΚΡΑΘΩΣ,"


1.8 Χλμ
",4,www.akrathos-hotel.gr,eleni@akrathos-hotel.gr,2377071100,23770-71164,Ουρανόπολη,ΟΥΡΑΝΟΥΠΟΛΗ ΧΑΛΚΙΔΙΚΗΣ,630 75,2377071334,231-0770112,231-0762200
ΑΚΡΟΓΙΑΛΙ,"


15 Χλμ
",1,www.ouranoupolis-akrogiali.gr,info@ouranoupolis-akrogiali.gr,23770-71201,23770-71310,Ουρανόπολη,,630 75,,,
ΑΚΡΟΓΙΑΛΙ,"


0.1 Χλμ
",2,,info@hotelakrogiali.eu,23520-41336,23520-42845,Πλαταμώνας,ΚΩΝ.ΚΑΡΑΜΑΝΛΗ 35,600 65,,,
ΑΚΡΟΓΙΑΛΙ,"


2 Χλμ
",2,,akrogialikorinos@yahoo.com,23510-42575,23510-42572,Παραλία Κορινού,,600 62,,2351-041693,2351-042546
ΑΚΡΟΓΙΑΛΙ ΕΞΚΛΟΥΖΙΒ ΧΟΤΕΛ,"


14 Χλμ
",3,www.hotelakrogiali.com,akrogiali@otenet.gr,6944503920,23740-51970,Πολύχρονο,ΠΟΛΥΧΡΟΝΟ ΧΑΛΚΙΔΙΚΗΣ,630 85,,,
ΑΚΡΟΠΟΛ,"


8 Χλμ
",3,www.hotelakropol.gr,hotelakropol@yahoo.gr,2351061425,23510-62240,Παραλία,ΒΑΣ.ΠΑΥΛΟΥ 8,601 00,2351033038,6947271475,2351062240
ΑΚΡΟΠΟΛ,"


5 Χλμ
",4,,alexanderhotel@gmail.com,23210-78880,23210-78899,Λευκώνας,ΛΕΥΚΩΝΑΣ ΣΕΡΡΩΝ,621 00,,,
ΑΚΡΟΠΟΛΙΣ,"


0.5 Χλμ
",1,,,23530-41118,,Μακρύγιαλος,ΟΛΥΜΠΟΥ 109,600 64,,6948-826905,
ΑΚΡΟΠΟΛΙΣ,"


7 Χλμ
",1,,acropolihotel@gmail.com,6979006181,,Ολυμπιακή Ακτή,ΑΡΕΩΣ 61,601 00,,6979006181,
ΑΚΡΟΡΙΟΝ,"


15 Χλμ
",3,www.akrorio.gr,info@akrorio.gr,23320-52732,23320-52733,Άγιος Παύλος,,592 00,6932377640,,
ΑΚΡΩΤΗΡΙ,"


15 Χλμ
",1,www.akrotirimarmaras.gr,akrotiri.marmaras@gmail.com,23750-72191,2310-472809,Νέος Μαρμαράς,Ν.ΜΑΡΜΑΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 81,,,
ΑΚΤΑΙΟΝ,"


2 Χλμ
",1,,,23840-91300,,Αριδαία,ΑΡΙΔΑΙΑ ΠΕΛΛΗΣ,584 00,,2834-091300,2834-091170
ΑΚΤΑΙΟΝ,"


8 Χλμ
",2,www.akteon.net,hotel@akteon.net,23510-61424,23510-61402,Παραλία,ΑΓ.ΝΙΚΟΛΑΟΥ 23,601 00,23510-61215,,
ΑΚΤΑΙΟΝ,"


15 Χλμ
",1,,aktaionhotelalykes@gmail.com,23510-71237,,Αλυκή,ΑΛΥΚΕΣ ΚΙΤΡΟΥΣ ΠΙΕΡΙΑΣ,600 64,,2351-071237,
ΑΚΤΗ ΑΝΝΑ,"


18 Χλμ
",2,www.annahotel.gr,info@annahotel.gr,23740-61071,2374062510,Πευκοχώρι,ΠΕΥΚΟΧΩΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,2374061330,2374-061771,2374-061875
ΑΚΤΗ ΑΦΡΟΔΙΤΗΣ,"


2 Χλμ
",3,www.dias-hotel.gr,info@dias-hotel.gr,23520-43024,23520-41467,Νέοι Πόροι,ΝΕΟΙ ΠΟΡΟΙ ΠΙΕΡΙΑΣ,600 65,23520-41850,2352-041850,2352-041850
ΑΚΤΗ ΔΕΛΦΙΝΙ,"


15 Χλμ
",3,,crs@xv-hotels.com,23740-42037,23740-42073,Ποσείδι,ΠΟΣΕΙΔΙ ΚΑΛΑΝΔΡΑΣ ΧΑΛ/ΚΗΣ,630 77,23740-42038,,
ΑΚΤΗ ΕΛΑΝΗ-ΕΛΑΝΗ ΜΠΕΥ ΡΙΖΟΡΤ,"


4 Χλμ
",4,www.elani-resort.gr,info@elani-resort.gr,23740-24245,23740-24247,Σίβηρη,,630 77,23740-24246,,
ΑΚΤΗ ΗΛΙΟΥ,"


6 Χλμ
",4,www.thessalonikisunbeach.com,sunbeachth@otenet.gr,23920-51221/24,23920-51245,Αγία Τριάδα,ΑΓ.ΤΡΙΑΔΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,570 19,,231-0227386,231-0221135
ΑΚΤΗ ΗΛΙΟΥ,"


35 Χλμ
",3,www.sbhplatamon.gr,info@sbhplatamon.gr,23520-42520,23520-41819,Πλαταμώνας,ΠΛΑΤΑΜΩΝΑΣ ΠΙΕΡΙΑΣ,600 65,23520-42156,,
ΑΚΤΗ ΚΡΥΟΠΗΓΗΣ,"


3 Χλμ
",4,www.hotelkriopigi.gr,info@hotelkriopigi.gr,23740-52502,23740-52524,Κρυοπηγή,ΚΡΥΟΠΗΓΗ ΧΑΛΚΙΔΙΚΗΣ,630 77,,2374-052502,2374-052524
ΑΚΤΗ ΛΑΓΟΜΑΝΔΡΑ,"


5 Χλμ
",4,www.lagomandra.gr,accounting@lagomandra.gr,23750-72217,23750-72009,Νικήτη,ΝΙΚΗΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 88,23750-72226,6948-234444,
ΑΚΤΗ ΛΕΠΤΟΚΑΡΥΑΣ,,2,aktileptokarias.gr,info@aktileptokarias.gr,2352033202,2352033202,Λεπτοκαρυά,ΛΕΠΤΟΚΑΡΥΑ ΠΙΕΡΙΑΣ,600 63,,,
ΑΚΤΗ ΛΙΑΚΑΔΑΣ,"


12 Χλμ
",2,www.liakadahotel.gr,info@liakadahotel.gr,23710-54088,23710-54290,Καλύβες Πολυγύρου,ΠΑΡΑΛΙΑ ΓΕΡΑΚΙΝΗΣ,631 00,2310-464137,,
ΑΚΤΗ ΛΟΥΤΡΑ,"


30 Χλμ
",3,www.loutra-beach.gr,crs@xv-hotels.com,23740-71000,23740-71484,Λουτρά,,630 85,,2374-022980,
ΑΚΤΗ ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ,"


12 Χλμ
",4,www.papcorp.com,alexander@papcorp.gr,23740-20210,23740-23588,Κρυοπηγή,ΚΡΥΟΠΗΓΗ ΧΑΛΚΙΔΙΚΗΣ,630 77,,231-0505500,231-0531564
ΑΚΤΗ ΜΕΛΙΤΩΝ,"


2 Χλμ
",5,www.portocarras.com,xzhkos@techol.gr,23750-77000,23750-71229,Νέος Μαρμαράς,ΝΕΟΣ ΜΑΡΜΑΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 81,,,
ΑΚΤΗ ΟΛΥΜΠΙΟΝ,"


13 Χλμ
",2,www.olympionbeach.gr,info@olympionbeach.gr,23710-52700,23710-52903,Πολύγυρος,,631 00,,2371-053370,2371-052903
ΑΚΤΗ ΟΥΡΑΝΟΥΠΟΛΗΣ,"


16 Χλμ
",4,www.hotel-akti.gr,info@hotel-akti.gr,2377071590,23770-71466,Ουρανόπολη,ΟΥΡΑΝΟΥΠΟΛΗ ΧΑΛΚΙΔΙΚΗΣ,630 75,2377071591,6982993437,
ΑΚΤΗ ΠΑΛΛΗΝΗ,"


6 Χλμ
",4,www.g-hotels.gr,athens@ghotels.gr,23740-22480/10,23740-22489,Καλλιθέα,ΚΑΛΛΙΘΕΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,210-3248031,231-0235531,231-0277614
ΑΚΤΗ ΠΑΝΘΕΟΝ,,2,www.pantheon-beach.gr,sofiatzoumerka@gmail.com,6977990437,23510-61909,Ολυμπιακή Ακτή,ΑΦΡΟΔΙΤΗΣ 8,601 00,6977990437,6977990437,
ΑΚΤΗ ΠΛΑΤΩΝΟΣ,"


5 Χλμ
",2,www.hotelplaton.gr,info@hotelplaton.gr,23510-61443,23510-62171,Ολυμπιακή Ακτή,ΟΛΥΜΠΙΑΚΗ ΑΚΤΗ ΚΑΤΕΡΙΝΗΣ,601 00,23510-62172,,
ΑΚΤΗ ΠΟΣΕΙΔΩΝΑ,"


13 Χλμ
",2,www.possidonabeach.gr,info@possidonabeach.gr,23710-51607,23710-53390,Καλύβες Πολυγύρου,ΠΑΡ.ΓΕΡΑΚΙΝΗΣ ΧΑΛΚ/ΚΗΣ,631 00,,,
ΑΚΤΗ ΣΑΝΗ BEACH HOTEL – ΑΣΤΕΡΙΑΣ SUITES HOTEL,"


25 Χλμ
",5,www.saniresort.gr,info@saniresort.gr,23740-99400,23740-99508,Σάνη,ΣΑΝΗ ΚΑΣΣΑΝΔΡΑΣ ΧΑΛΚΙΔΙΚΗ,630 77,,231-0312320,231-0317881
ΑΚΤΗ ΣΑΝΗ ΚΛΑΜΠ,"


25 Χλμ
",5,www.saniresort.gr,sbcfom@saniresort.gr,23740-99600,23740-99620,Σάνη,ΣΑΝΗ ΚΑΣΣΑΝΔΡΑΣ ΧΑΛΚΙΔΙΚΗ,630 77,23740-99400,231-0312320,231-0317881
ΑΚΤΗ ΣΑΡΤΗ,,1,,antivalidis@yahoo.gr,23750-94212,2310-317527,Σάρτη,ΣΑΡΤΗ ΧΑΛΚΙΔΙΚΗΣ,630 72,23750-94211,,
ΑΚΤΗ ΣΙΘΩΝΙΑΣ,"


2 Χλμ
",5,www.portocarras.com,xzhkos@techol.gr,23750-77000,23750-71229,Νέος Μαρμαράς,ΝΕΟΣ ΜΑΡΜΑΡΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 81,,,
ΑΚΤΗ ΣΤΑΥΡΟΣ,"


0.3 Χλμ
",1,www.stavrosbeach.gr,info@stavrosbeach.gr,23970-61771,23970-65799,Σταυρός,,570 14,,,
ΑΚΤΗ ΣΤΑΥΡΟΣ ΙΙ,"


0.3 Χλμ
",3,www.stavrosbeach.gr,info@stavrosbeach.gr,23970-61772,,Σταυρός,ΑΛEΞΑΝΔΡΟΥ ΠΑΝΑΓΟΥΛΗ 18,570 14,23970-61771,,
ΑΚΤΗ ΤΟΡΩΝΗ,,3,www.aktitoroni-hotel.gr,info@aktitoroni-hotel.gr,23750-51300,,Τορώνη,ΤΟΡΩΝΗ ΣΥΚΕΑΣ ΧΑΛΚ/ΚΗΣ,630 72,,,
ΑΚΤΗ ΤΩΝ ΜΟΥΣΩΝ,"


7 Χλμ
",2,www.aktimusson.com,info@aktimusson.com,23510-61212,23510-61894,Παραλία,ΒΑΣΙΛΕΩΣ ΚΩΝΣΤΑΝΤΙΝΟΥ 17,601 00,23510-61234,2351-061212,2351-061894
ΑΚΤΗ ΦΟΙΝΙΚΑ,"


20 Χλμ
",1,www.palm-hotel.gr,palmhotel2000@yahoo.gr,23740-52709,23740-53243,Πολύχρονο,ΠΟΛΥΧΡΟΝΟ ΧΑΛΚΙΔΙΚΗΣ,630 85,,2374-051453,2374-053243
ΑΚΤΙΝΙΔΙΟ,"


0.2 Χλμ
",1,www.hotelkiwi.gr,hotelkiwi@hotmail.com,23740-81855,23740-81833,Νέα Φώκαια,Ν.ΦΩΚΑΙΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,6972-709446,6972-709446,2374-081833
ΑΛΕΚΑ,,1,,slavi00k@gmail.com,23510-25149,,Ολυμπιακή Ακτή,ΑΦΡΟΔΙΤΗΣ 26,601 00,,,
ΑΛΕΞΑΝΔΡΑ,"


0.15 Χλμ
",1,www.alexandrahotel.gr,info@alexandrahotel.gr,23770-31111,23770-31141,Νέα Ρόδα,ΝΕΑ ΡΟΔΑ ΑΡΝΑΙΑΣ ΧΑΛΚΙΔΙΚΗΣ,630 75,,6946667191,23770-31141
ΑΛΕΞΑΝΔΡΕΙΑ,"


0.1 Χλμ
",1,www.alexandriahotel.gr,salalexa@otenet.gr,2310-536185,2310-536154,Θεσσαλονίκη,ΕΓΝΑΤΙΑΣ 18,546 26,2310-536154,,
ΑΛΕΞΑΝΔΡΟΣ,"


0.5 Χλμ
",2,www.hotelalexandros.eu,info@hotelalexandros.eu,23820-24700,23820-26800,Γιαννιτσά,ΚΟΥΓΙΟΥΜΤΖΙΔΗ 5,581 00,23820-26700,,
ΑΛΕΞΑΝΔΡΟΣ,"


20 Χλμ
",2,Αlexander Ρefkohori Halkidiki/Facebook,alexanderhotelpef@gmail.com,2374061225,23740-62869,Πευκοχώρι,ΠΕΥΚΟΧΩΡΙ ΧΑΛΚΙΔΙΚΗΣ,630 85,,231-0823440,231-0823440
ΑΛΕΞΑΝΔΡΟΣ,"


0.3 Χλμ
",2,https://hotelalexandros.info/,mail.hotel.alexandros@gmail.com,2374081500,2374081012,Νέα Φώκαια,ΝΕΑ ΦΩΚΑΙΑ ΧΑΛΚΙΔΙΚΗΣ,630 77,,,
