Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΔΕ ΛΙΝΞ ΜΑΟΥΝΤΕΝ ΡΙΖΟΡΤ ΕΝΤ ΚΑΖΙΝΟ,,5,,a.nikolaidis@tottisfoods.gr,2385440900,,Φλώρινα,,53100,,,
ΔΕΔΗΣ,"


9 Χλμ
",1,www.dedis.gr,iordanis@dedis.gr,24670-85552,24670-85696,Μαυροχώρι,Τ.Θ.183,521 00,,,
ΔΗΜΗΤΡΗΣ,,1,,vmylo@live.com,23850-46771,,Πισοδέρι,,530 76,,,
ΔΙΑΜΑΝΤΕΝΙΟ ΠΟΤΑΜΙ,"


2.5 Χλμ
",4,www.diamondriver.gr,info@diamondriver.gr,24670-81200,24670-81160,Μανιάκοι,ΑΡΜΕΝΟΧΩΡΙΟΥ 23,521 00,24670-81160,,
ΕΛΕΝΑ,"


0.05 Χλμ
",2,www.elenakos.gr,elenakoz@otenet.gr,24610-26056,24610-24726,Κοζάνη,ΔΗΜΟΚΡΑΤΙΑΣ 47,501 00,24610-30294,,
ΕΛΙΜΕΙΑ 3 ΟΤΕΛ,"


0.2 Χλμ
",3,,vtous@tee.gr,24610-39990,24610-40329,Αιανή,ΑΙΑΝΗ ΚΟΖΑΝΗΣ,500 04,,6978004810,
ΕΛΛΗΝΙΣ,"


1 Χλμ
",2,,hotelell@otenet.gr,23850-22671,23850-22815,Φλώρινα,ΠΑΥΛΟΥ ΜΕΛΑ 31,531 00,23850-22672,,
ΕΜΕΡΑΛΝΤ ΣΟΥΙΤΕΣ,,4,www.emeraldsuites.gr,,6934226136,,Φλώρινα,,53100,,,
ΕΝΑΣΤΡΟΝ,,4,www.hotelenastron.gr,info@hotelenastron.gr,24670-24680,24678-90140,Απόσκεπος,ΣΛΙΒΕΝΙ,521 00,6938432220,,
ΕΡΜΙΟΝΙΟΝ,"


1 Χλμ
",5,www.ermionio.gr,info@ermionio.gr,24610-39400,24610-39090,Κοζάνη,ΠΛ. ΝΙΚΗΣ 11,501 00,,,
ΕΣΠΕΡΟΣ ΠΑΛΑΣ,"


5 Χλμ
",4,www.esperospalacekastoria.gr,hotel@esperospalacekastoria.gr,24670-24670,24670-27827,Καστοριά,ΦΟΥΝΤΟΥΚΛΗ ΚΑΣΤΟΡΙΑΣ,521 00,,,
ΕΥΡΩΠΗ,"


1 Χλμ
",4,www.europahotelkastoria.gr,info@europahotelkastoria.gr,24670-23826,24670-23828,Καστοριά,ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ 12,521 00,,,
Η ΛΙΜΝΗ,"


5 Χλμ
",2,www.hotellimni.com,tryfongeorgou68@gmail.com,23860-61211,23860-24164,Άγιος Παντελεήμονας,ΑΓ.ΠΑΝΤΕΛΕΗΜΟΝΑΣ ΦΛΩΡΙΝΑΣ,532 00,23860-61201,,
Η ΝΕΡΑΪΔΑ ΤΗΣ ΛΑΒΔΑΣ,"


38 Χλμ
",2,,neraidalavdas@gmail.com,24620-85322,,Λάβδας,,510 32,24620-85145,,
Η ΠΑΡΑΔΟΣΗ,"


10 Χλμ
",3,,,23850-51356,,Άγιος Γερμανός,,530 77,,6944-447515,
ΗΛΕΚΤΡΑ ΑΙΘΡΙΟΝ,,3,,,24670-74056,,Μαυροχώρι,ΚΡΕΠΕΝΗ 1,521 00,,,
ΙΒΕΡΙΣ,"


0.6 Χλμ
",3,www.iberis.gr,iberis@otenet.gr,24650-47054,2465047056,Σιάτιστα,ΑΓ.ΓΕΩΡΓΙΟΣ,503 00,24650-47055,,
ΙΦΙΓΕΝΕΙΑ,,1,,konkalaido@gmail.com,24620-26359,24620-28439,Σύνδενδρο,,511 00,,,
ΙΩΑΝΝΑ,"


0.5 Χλμ
",2,www.ioanna-hotel.gr,ioannaht@cyta.gr,24670-51600,24670-51630,Κορησός,ΜΙΚΡΑΣ ΑΣΙΑΣ 30,520 52,,,
ΙΩΑΝΝΟΥ ΡΙΖΟΡΤ,"


0.6 Χλμ
",4,www.ioannou-resort.gr,info@ioannou-resort.gr,24630-53792,24630-53792,Περδίκκας,3 ΧΛΜ.Π.Ε.Ο.ΠΤΟΛ.-ΦΛΩΡΙΝ.,502 00,6932-320104,2463053792,2463200399
ΚΑΖΑ ΛΑ ΜΟΝΤΙ,"


25 Χλμ
",2,www.casalamundi.gr,casa.lamundi@yahoo.gr,24620-25555,24620-28137,Πανόραμα,ΠΑΝΟΡΑΜΑ ΓΡΕΒΕΝΩΝ,510 32,24620-25556,,
ΚΑΖΑ ΜΑΡΙ,"


0.3 Χλμ
",3,,casamarenymfaio@gmail.com,23860-31107,,Νυμφαίο,,530 78,,,
ΚΑΛΜΑ,"


5 Χλμ
",4,www.calmahotel.com,info@calmahotel.com,2467022215,24675-08888,Καστοριά,3ΧΛΜ ΚΑΣΤΟΡΙΑΣ-ΒΙΤΣΙΟΥ,521 00,24675-08888,2467022215,2467508888
ΚΑΣΤΟΡ,,3,www.castorhotel.gr,info@castorhotel.gr,24670-82160,24670-82161,Καστοριά,ΓΡΑΜΜΟΥ 237,521 00,,,
ΚΑΣΤΟΡΙΑ,"


1 Χλμ
",3,www.lake.gr,info@hotel-kastoria.gr,24670-29453,24670-29453,Καστοριά,ΝΙΚΗΣ 122,521 00,2467029608,2467-029453,
ΚΑΣΤΡΟ,"


1 Χλμ
",2,https://hotel-kastro.business.site/,kastromotel@gmail.com,2464022992,2464022992,Σέρβια,ΔΗΜΟΤΙΚΗ ΟΔΟΣ,50500,6981826355,,
ΚΑΤΑΦΥΓΙ,"


30 Χλμ
",3,www.hotelkatafigi.gr,paysaniashotel@yahoo.gr,24640-22300,23920-92110,Καταφύγιο,ΚΑΤΑΦΥΓΙ ΒΕΛΒΕΝΤΟΥ,504 00,6945978166,23920-92110,
ΚΑΤΕΡΙΝΑ,"


0.5 Χλμ
",2,www.hotel-katerina.com,hotelkaterina@yahoo.com,24610-34856,24610-38904,Κοζάνη,ΠΤΟΛΕΜΑΙΔΟΣ  &  3ΗΣ ΣΕΠΤΕΜΒΡΙΟΥ 1,501 00,24610-38907,,
ΚΕΛΕΤΡΟΝ,"


5 Χλμ
",2,www.anastassiou-hotels.gr,anastasiouhotels@gmail.com,24670-23264,24670-23261,Καστοριά,11ΗΣ ΝΟΕΜΒΡΙΟΥ 52,521 00,24670-22525,,
ΚΙΝΓΚ ΑΛΕΞΑΝΤΕΡ,"


2 Χλμ
",3,www.kingalexander.gr,hotelkingalexander@gmail.com,23850-23501,23850-23502,Φλώρινα,Κ. ΚΑΡΑΜΑΝΛΗ 68,531 00,,,
ΚΛΕΙΩ ΡΙΖΟΡΤ,,4,www.kleio-resort.gr,info@kleio-resort.gr,23860-20146,2386041046,Αμύνταιο,"1ο Χλμ, Αμύνταιου-Καστοριάς",532 00,23860-20147,,
ΚΟΝΤΟΣΩΡΟΣ,,3,,kontosor@otenet.gr,23860-81256,23860-81556,Ξινό Νερό,,530 72,23860-81552,,
ΚΟΡΕΣΤΕΙΑ,,1,,pitselis.dragata@gmail.com,24670-33017,,Νέος Οικισμός,,520 55,,,
ΚΤΗΜΑ ΓΙΑΝΝΙΩΤΗ,"


24 Χλμ
",3,www.ktimagiannioti.gr,info@ktimagiannioti.gr,24630-92090,24630-92091,Βλάστη,ΒΛΑΣΤΗ ΚΟΖΑΝΗΣ,500 09,,6944-724489,
ΚΩΣΤΗΣ,"


8 Χλμ
",2,,hotelcostis@gmail.com,24630-26661,24630-26663,Πτολεμαίδα,ΦΙΛΙΠΠΟΥ 6,502 00,24630-26662,,
ΛΑ ΜΟΑΡΑ (ΣΤΟ ΜΥΛΟ),"


25 Χλμ
",1,www.lamoara.com,reservations@lamoara.com,24620-86401,24620-86396,Κρανέα,ΚΡΑΝΕΑ ΓΡΕΒΕΝΩΝ,510 31,6978-440814,,
ΛΑ ΣΟΥΡΙΝΟ,"


5 Χλμ
",3,www.sourino.gr,chalet@sourino.gr,24670-94200,24670-94333,Κλεισούρα,,520 54,,2463-053300,
ΛΑΒΔΑ,"


35 Χλμ
",2,,,24620-85650,,Λάβδας,,510 32,,,
ΛΑΜΠΑΣ,"


0.5 Χλμ
",3,,labashtl@otenet.gr,24630-92111,24630-92112,Βλάστη,,500 09,24630-92112,,
ΛΕΩΝΙΔΑΣ,,3,,info@linatsas.gr,24620-80260,,Φιλιππαίοι,ΦΙΛΙΠΠΑΙΟΙ ΓΡΕΒΕΝΩΝ,510 32,,,
ΛΙΜΝΑΙΟΝ ΓΚΟΛΝΤΕΝ,"


4 Χλμ
",4,www.limneon.com,info@limneon.com,24670-85111,24670-85160,Δισπήλιο,4ΧΛΜ Ε.Ο ΚΑΣΤΟΡΙΑΣ-ΑΘΗΝΩΝ,520 57,,,
ΛΙΜΝΕΟΝ ΡΗΖΟΡΤ ΟΤΕΛ,"


4 Χλμ
",5,www.limneon.com,info@limneon.com,24670-85111,24670-85160,Δισπήλιο,4 ΧΛΜ Ε.Ο.ΚΑΣΤΟΡ.-ΑΘΗΝΩΝ,521 00,,,
ΛΙΝΟΥΡΙΑ,,2,,,23860-31030,,Νυμφαίο,,530 78,,,
ΛΟΓΓΑΣ,"


14 Χλμ
",3,www.loggas.net,dislias@otenet.gr,24670-72424,24670-72574,Σιδηροχώρι,,520 59,,,
ΛΥΓΚΟΣ,"


1 Χλμ
",3,www.hotel-lingos.gr,lingos@line.gr,23850-28322,23850-29643,Φλώρινα,ΤΑΓΜΑΤΑΡΧΟΥ ΝΑΟΥΜ 1,531 00,23850-23391,,
ΜΑΝΗΣ,"


1 Χλμ
",3,www.manis-hotel.gr,info@manis-hotel.gr,23860-41282,23860-41282,Νυμφαίο,,530 78,6977861707,,
ΜΗΛΙΩΝΗΣ,"


2 Χλμ
",2,www.milionishotel.gr,info@milionishotel.gr,24620-23223,24620-81766,Γρεβενά,1 ΧΛΜ.ΓΡΕΒΕΝΩΝ-ΚΑΛΑΜΠΑΚΑΣ,511 00,24620-81767,,
ΜΗΤΡΟΠΟΛΙΣ,"


1 Χλμ
",3,www.hotel-metropolis.gr,info@hotel-metropolis.gr,24620-28085,24620-80571,Γρεβενά,13ΗΣ ΟΚΤΩΒΡΙΟΥ & Γ.ΜΠΟΥΣΙΟΥ 18,511 00,24620-80571,,
ΜΙΚΡΟΛΙΒΑΔΟ,,2,,mikrolivado@gmail.com,24620-25688,,Μικρολίβαδο,ΜΙΚΡΟΛΙΒΑΔΟ ΓΡΕΒΕΝΩΝ,511 00,,,
ΜΙΜΑΛΛΩΝΕΣ,"


3 Χλμ
",3,www.mimallones.gr,info@mimallones.gr,23850-51422,23850-51460,Λαιμός,,530 77,6986 562733,2385-500422,
ΜΟΔΕΣΤΙΟΣ,"


21 Χλμ
",2,www.vigla-ski.gr,modesteios@vigla-ski.gr,23850-45928,23850-44928,Πισοδέρι,ΠΙΣΟΔΕΡΙ ΦΛΩΡΙΝΑΣ,530 76,,,
ΜΠΑΤΣΕΛΑΣ,,3,www.kastoria-hotel.gr,batselas@otenet.gr,24670-43770,24670-21692,Άργος Ορεστικό,Μ.ΑΛΕΞΑΝΔΡΟΥ 79,522 00,24670-43778,,
ΜΠΕΛΛΑ ΤΟΥΜΠΑ ΑΡΧΟΝΤΙΚΟ,,3,www.bellatoumpa.gr,info@bellatoumpa.gr,23860-61270,,Άγιος Παντελεήμονας,,532 00,6976633931,,
ΜΥΡΙΧΟΣ,"


25 Χλμ
",2,www.mirixos.gr,mirixos@yahoo.gr,24630-92550,,Σισάνι,,500 03,,,
ΝΑΪΑΔΕΣ,,3,,kozani73@hotmail.com,24640-22002,24640-22001,Σέρβια,,505 00,,,
ΝΕΦΕΛΗ,"


1 Χλμ
",2,www.nefelikozani.gr,nefelikozani@gmail.com,24610-36686,24610-24736,Κοζάνη,2 ΧΛΜ Ε.Ο.ΚΟΖΑΝΗΣ-ΠΤΟΛΕΜ.,501 00,,,
ΝΙΚΟΛΕΤΑ,,3,,tasos_paparakos69@hotmail.com,24640-23284,24640-21284,Βελβεντός,ΒΕΛΒΕΝΤΟ ΚΟΖΑΝΗΣ,504 00,6974-712049,,
ΝΟΣΤΟΣ,"


0.3 Χλμ
",3,www.hotelnostos.gr,nostos@hotel-nostos.gr,24670-81888,24670-87210,Καστοριά,ΕΓΝΑΤΙΑ 118,521 00,,,
ΝΤΟΛΤΣΟ,"


2 Χλμ
",4,www.doltsohotel.gr,info@doltsohotel.gr,24670-22022,2467021414,Καστοριά,ΡΗΓΑ ΦΕΡΑΙΟΥ 7,521 00,,,
ΝΥΜΦΕΣ,"


0.2 Χλμ
",3,www.nymfeshotel.gr,info@nymfeshotel.gr,2332026846,23860-31113,Νυμφαίο,ΝΥΜΦΑΙΟ ΦΛΩΡΙΝΑΣ,530 78,2332026846,2332026846,
ΞΕΝΩΝΑΣ ΔΗΜΗΤΡΙΟΣ ΠΑΠΑΝΙΚΟΛΑΟΥ,,3,,,6944-996974,,Σιάτιστα,ΠΑΠΑΖΩΗ 2-ΦΟΥΡΚΑ,503 00,,,
ΟΑΣΙΣ,,3,,,24670-85950,,Αμπελόκηποι,,521 00,,,
ΟΡΕΣΤΕΙΟΝ,"


3 Χλμ
",2,www.hotelorestion.gr,hotelorestion@hotmail.com,24670-22257,24670-22258,Καστοριά,ΠΛΑΤ.ΔΑΒΑΚΗ 1,521 00,24670-22258,,
ΠΑΝΟΡΑΜΑ,"


6 Χλμ
",1,www.florina-panorama.gr,panorama399@gmail.com,23860-61399,23860-61156,Άγιος Παντελεήμονας,ΑΓ.ΠΑΝΤΕΛΕΗΜΟΝΑΣ ΦΛΩΡΙΝΑΣ,532 00,,,
ΠΑΝΤΕΛΙΔΗΣ,"


2 Χλμ
",3,hotelpantelidis.gr,pantaxe@otenet.gr,24630-53300,24630-29725,Πτολεμαίδα,ΠΤΟΛΕΜΑΙΔΑ,502 00,,,
ΠΑΡΙΣΣΑΣ,"


1 Χλμ
",1,parissashotel.weebly.com,parissashotel@gmail.com,2468031465,,Τσοτύλι,ΤΣΟΤΥΛΙΟ ΚΟΖΑΝΗ,500 02,,,
ΠΑΡΚΟ ΕΘΝΙΚΗΣ ΣΥΜΦΙΛΙΩΣΗΣ (Π.Ε.Σ.),"


53 Χλμ
",3,,ioanna0512@yahoo.gr,24670-21853,,Νέα Κοτύλη,ΛΙΒΑΔΙΑ,520 51,,,
ΠΙΝΔΟΣ,"


0.01 Χλμ
",2,,,24680-41057,,Πεντάλοφος,,500 07,24680-41058,,
ΠΙΝΔΟΣ,"


35 Χλμ
",1,,info@pindospalace.gr,24620-25190,24620-25196,Λάβδας,ΛΑΒΔΑ ΓΡΕΒΕΝΩΝ,510 32,,,
ΠΛΕΙΑΔΕΣ,,3,,pleiades@pleiadesflorina.gr,23850-44070,,Φλώρινα,ΔΗΜ.ΠΑΠΑΘΑΝΑΣΙΟΥ-ΝΕΕΣ ΕΡΓΑ.ΚΑΤΟΙ,531 00,6947520477,,
ΠΤΟΛΕΜΑΙΟΣ,"


1 Χλμ
",3,,,24630-54222,,Πτολεμαίδα,4 ΧΛΜ ΠΤΟΛΕΜ.-ΓΑΛΑΤΕΙΑΣ,502 00,24630-54224,,
ΣΑΜΑΡΙΝΑ ΡΗΖΟΡΤ,"


40 Χλμ
",2,www.samarina-resort.gr,info@samarina-resort.gr,24620-95216,24620-95274,Σαμαρίνα,ΣΑΜΑΡΙΝΑ ΓΡΕΒΕΝΩΝ,510 32,,,
ΣΙΑΤΙΣΤΑ,"


1 Χλμ
",3,www.hotelsiatista.gr,info@hotelsiatista.gr,2465047047,24650-23000,Σιάτιστα,ΒΙΟΠΑ,503 00,2465047048,,
ΣΙΑΤΙΣΤΙΝΟ ΑΡΧΟΝΤΑΡΙΚΙ,"


0.3 Χλμ
",3,www.hotelarxontariki.gr,arxontariki@hotmail.com,24650-47020,24650-47020,Σιάτιστα,ΚΑΡΑΤΖΙΑ 2,503 00,,,
ΣΤΟ ΒΟΥΝΟ,,3,,,6977777415,,Βροντερό,,53077,,,
ΤΕΡΕΛΙΔΗΣ ΣΠΙΤΙ,,3,,hotelterelidis@gmail.com,000-0000000,,Φούφας,ΦΟΥΦΑ ΚΟΖΑΝΗΣ,500 05,,,
ΤΟ ΑΓΝΑΝΤΙ ΤΟΥ ΜΠΕΓΚΑ,"


12 Χλμ
",3,,info@toagnanti.gr,24620-85339,,Φιλιππαίοι,,510 32,,,
ΤΟ ΛΙΑΚΩΤΟ,,2,,,23850-51205,,Λαιμός,,530 77,23850-51320,,
ΤΣΑΜΗΣ,"


4 Χλμ
",3,www.hoteltsamis.gr,info@hoteltsamis.gr,24670-85334,24670-85777,Δισπήλιο,4 ΧΛΜ ΕΟ ΚΑΣΤΟΡΙΑΣ-ΑΘΗΝΩΝ,521 00,,,
ΤΣΕΛΙΚΑΣ,"


5 Χλμ
",3,www.tselikas.gr,info@tselikas.gr,24610-35997,24610-37997,Πετρανά,ΠΕΤΡΑΝΑ ΚΟΖΑΝΗΣ,501 00,24610-35650,,
ΦΑΙΔΩΝ,"


0.5 Χλμ
",3,www.phaidonhotel.gr,phaidonhotel@gmail.com,23850-44800,23850-44806,Φλώρινα,ΒΙΓΛΑΣ 1 & ΒΑΡΝΟΥΝΤΟΣ,531 00,23850-44801,,
ΦΙΛΑΡΕΤΗ,"


0.5 Χλμ
",2,,hotel_fi@otenet.gr,23850-23587,23850-23437,Φλώρινα,ΙΚΑΡΟΩΝ 4,531 00,23850-23437,,
ΦΙΛΙΠΠΕΙΟΝ,"


0.15 Χλμ
",3,www.hotelphilippion.gr,info@hotelphilippion.gr,23850-23346,23850-24477,Φλώρινα,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ 38,531 00,23850-28433,,
ΦΙΛΙΠΠΟΣ,,3,www.hotel-philippos.gr,info@hotel-philippos.gr,23850-46670,,Ψαράδες,ΨΑΡΑΔΕΣ ΦΛΩΡΙΝΑΣ,530 77,23850-46234,,
ΧΙΛΙΑ ΤΕΤΡΑΚΟΣΙΑ ΠΕΝΗΝΤΑ “1450”,,1,,vnzarogianni@yahoo.gr,24670-82400,24670-82400,Νέα Κοτύλη,,520 51,,,
ΧΛΟΗ,"


2 Χλμ
",3,www.hotelchloe.gr,info@hotelchloe.gr,24670-21300,24670-21308,Καστοριά,ΑΝΘΕΩΝ  &  ΓΙΑΣΕΜΙΩΝ,521 00,,,
ΨΑΡΑΔΕΣ,"


15 Χλμ
",2,,,23850-46015,,Ψαράδες,ΨΑΡΑΔΕΣ ΦΛΩΡΙΝΑΣ,530 77,,,
