Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΚΡΟΠΟΛΙΣ,"


0.4 Χλμ
",1,www.hotel-acropolis.gr,info@hotel-acropolis.gr,26650-28346,26650-28064,Ηγουμενίτσα,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ 58,461 00,,,
ΑΚΡΟΠΟΛΙΣ,"


0.05 Χλμ
",1,,nikolaoskiouras@yahoo.gr,26560-41672,26560-41031,Μέτσοβο,ΑΓΙΑΣ ΤΡΙΑΔΟΣ 22,442 00,26560-42669,2656042669,2656041031
ΑΚΡΟΠΟΛΙΣ,,1,https://www.hotel-akropolis.eu/el,akropolissivota@gmail.com,26650-93263,,Σύβοτα,ΣΥΒΩΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,,2665-093263,
ΑΚΤΑΙ ΠΡΕΒΕΖΗΣ,"


18 Χλμ
",3,www.prevezabeach.com,info@prevezabeach.com,26820-52140,26820-51041,Καστροσυκιά,ΚΑΣΤΡΟΣΥΚΙΑ ΠΡΕΒΕΖΗΣ,481 00,26820-51041,21-03303090,21-03303039
ΑΚΤΑΙΑ,,3,www.aktaiahotel.gr,info@aktaiahotel.gr,2684041121,2684041171,Αμμουδιά,,480 62,2684041431,,
ΑΚΤΑΙΟΝ,"


0.1 Χλμ
",2,,akteonig@otenet.gr,26650-22330,26650-22330,Ηγουμενίτσα,ΑΓΙΩΝ ΑΠΟΣΤΟΛΩΝ 17,461 00,,,
ΑΚΤΗ ΚΛΕΟΠΑΤΡΑ,"


1.5 Χλμ
",2,,info@kleopatrahotel.gr,26820-52722,,Καστροσυκιά,,481 00,,,
ΑΚΤΗ ΛΥΧΝΟΥ,"


3 Χλμ
",5,www.lichnosbeach.gr,info@lichnosbeach.gr,26840-31257,26840-31157,Πάργα,ΠΑΡΓΑ,480 60,26840-31422,2684-031257,2684-031157
ΑΚΤΗ ΠΑΡΓΑΣ,"


1 Χλμ
",4,www.pargabeachhotel.gr,info@pargabeachhotel.gr,26840-31410,26840-31412,Πάργα,ΠΑΡΓΑ,480 60,26840-31411,26820-89007,26820-89803
ΑΛΕΞΑΝΔΡΑ,,4,www.alexandraplaisiahotel.gr,info@alexandraplaisiahotel.gr,26590-22008,26590-22008,Πλαίσια,ΠΛΑΙΣΙΑ ΙΩΑΝΝΙΝΩΝ,440 13,-,2651022008,26510-77824
ΑΛΕΞΑΝΔΡΟΣ,,3,http://hotel-alexandros.weebly.com,hotelalexandrosammoudia@hotmail.com,2684041739,,Αμμουδιά,ΑΜΜΟΥΔΙΑ ΠΡΕΒΕΖΗΣ,480 62,,2684041739,
ΑΛΕΞΙΟΣ,"


3 Χλμ
",3,www.alexios.gr,info@alexios.gr,26510-32030,26510-32071,Ιωάννινα,ΠΟΥΚΕΒΙΛ 14,454 44,26510-24003,,
ΑΛΗ ΠΑΣΑ,,3,,tsiknias@teemail.gr,2651022603,,Ιωάννινα,ΧΑΤΖΗΚΩΣΤΑ 9,45444,,,
ΑΛΘΕΑ ΔΙΛΟΦΟΥ,,3,http://www.dilofohotel.com,info@dilofohotel.com,2653025905,,Δίλοφο,ΔΙΛΟΦΟ,440 07,,,
ΑΛΜΠΑΤΡΟΣ,"


24 Χλμ
",3,www.hotelalbatros.gr,info@hotelalbatros.gr,26650-93464,26650-93312,Σύβοτα,ΣΥΒΟΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,26650-93465,21-06610144,21-06610144
ΑΛΦΑ,"


0.8 Χλμ
",4,www.alfahotel.gr,alfagrho@otenet.gr,26840-32111,26840-31901,Πάργα,ΠΑΡΓΑ,480 60,32321,2651-046681,
ΑΜΑΡΥΛΛΙΣ,"


30 Χλμ
",4,www.amaryllishouse.gr,yboura@otenet.gr,26530-71132,26530-71600,Άνω Πεδινά,ΑΝΩ ΠΕΔΙΝΑ ΙΩΑΝΝΙΝΩΝ,440 07,,210-6410400,210-6421204
ΑΜΕΛΙΚΟ,"


34 Χλμ
",3,www.ameliko.gr,info@ameliko.gr,26530-71501,26510-22866,Άνω Πεδινά,,440 07,26530-71849,,
ΑΜΜΟΥΔΙΑ,,2,,,26840-41433,,Αμμουδιά,,481 00,,,
ΑΜΠΕΡΑΤΙΟ,,3,www.aberratio.com,info@aberratio.com,2653042202,2653042202,Αρίστη,ΑΡΙΣΤΗ,440 04,2653042202,2653042202,
ΑΜΦΙΘΕΑ,,3,,,26510-81222,26510-81060,Αμφιθέα,,455 00,26510-86030,,
ΑΝΑΒΑΣΗ ΜΑΟΥΝΤΕΝ ΡΙΖΟΡΤ,,4,www.tzoumerka.org,info@anavasi-mountainresort.gr,26590-61141,,Τσόπελα,ΒΟΡΕΙΑ ΤΖΟΥΜΕΡΚΑ,440 01,6947561467,,
ΑΝΑΜΝΗΣΕΙΣ ΠΑΡΓΑΣ,"


0.2 Χλμ
",2,,vagdimop@gmail.com,26840-32063,26840-32063,Πάργα,40 ΜΑΡΤΥΡΩΝ 20,480 60,6942424767,6942424767,
ΑΝΑΞ,"


0.15 Χλμ
",2,www.hotelanax.com,lenatodi@hotmail.com,2656042003,26560-42683,Μέτσοβο,,442 00,,2656042003,2656042683
ΑΝΕΜΕΛΙΑ,"


10 Χλμ
",2,www.anemelia.gr,anemelia@otenet.gr,6947807526,26820-56601,Λούτσα,ΛΟΥΤΣΑ ΠΡΕΒΕΖΗΣ,480 62,,+306947047158,2682056601
ΑΝΕΜΗ,,3,,,2653072003,,Κάτω Πεδινά,,44007,,,
ΑΝΕΜΟΛΙΑ ΡΗΖΟΡΤ,"


2 Χλμ
",4,www.anemolia-resort.gr,info@anemolia-resort.gr,26510-81649,2651086119,Αμφιθέα,,455 00,6947566504,,
ΑΝΕΜΩΛΙΑ ΧΟΤΕΛ ΕΝΤ ΣΤΑΙΛΙΣ ΣΟΥΙΤΣ,,4,www.anemoliahotel.com,info@anemoliahotel.com,2684035207,,Σαρακίνικο,,48060,,,
ΑΝΝΑ,"


8 Χλμ
",3,,hotelanna@hotmail.com,26840-22118,26840-41156,Αμμουδιά,,480 62,26840-41164,,
ΑΝΝΑ,,4,www.hotelanna.gr,info@hotelanna.gr,2651020855,2651020855,Ιωάννινα,ΙΩΝΟΣ ΔΡΑΓΟΥΜΗ 44,45500,2651020091,,
ΑΝΤΑΛΚΗ,"


20 Χλμ
",3,www.antalki.gr,gziogas@ymail.com,26530-41441,210-9245075,Μικρό Πάπιγκο,,440 16,,,
ΑΝΤΑΜΣ,,4,www.adamshotel.com,info@adamshotel.com,2684032160,2684032690,Πάργα,,48060,,,
ΑΝΤΖΕΛΑ,"


0.1 Χλμ
",1,http://hotel-angela.gr/,info@hotel-angela.gr,26840-31614,26840-31927,Πάργα,ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ 12,480 60,26840-31790,2684-031790,2684-031927
ΑΝΤΖΕΛΙΚΑ ΠΑΛΛΑΣ,"


2 Χλμ
",3,www.angelikapallas.gr,hotel@angelikapallas.gr,2665026100,2665022105,Λαδοχώρι,ΑΓ.ΑΠΟΣΤΟΛΩΝ 63,461 00,,2665026100,2665022105
ΑΝΤΙΚ,,5,http://hotelantique.gr,info@hotelantique.gr,2651039999,2651039658,Ιωάννινα,ΝΕΟΠΤΟΛΕΜΟΥ 8,45444,,,
ΑΝΩ ΛΑΒΔΑΝΗ,,2,,beefti@otenet.gr,6946222051,,Λάβδανη,,44002,,,
ΑΝΩΚΑΤΩΓΟ,"


30 Χλμ
",3,,,26510-43420,,Πετροβούνι,,455 00,69770-83543,,
ΑΠΕΙΡΟΣ ΧΩΡΑ,,4,www.apeiroschora.gr,apeiroschora@gmail.com,26530-71188,,Κάτω Πεδινά,ΚΑΤΩ ΠΕΔΙΝΑ ΙΩΑΝΝΙΝΩΝ,440 07,6936510806,,
ΑΠΟΛΛΩΝ,"


1 Χλμ
",2,www.apollonmetsovo.gr,info@metsovohotel.gr,26560-41844,26560-42110,Μέτσοβο,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ,442 00,26560-41833,,
ΑΠΟΛΛΩΝΙΟ,"


5 Χλμ
",2,,apollonio2009@hotmail.com,26820-41383,26820-41383,Νικόπολη,ΝΙΚΟΠΟΛΗ ΠΡΕΒΕΖΑΣ,481 00,,2682-041361,
ΑΠΟΣΤΟΛΟΣ,"


0.5 Χλμ
",2,,hotelapostolos@hotmail.com,26560-41534,26560-41230,Μέτσοβο,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝ,442 00,26560-41230,,
ΑΡΑΪΔΟΥ,,3,www.ioannina-traditional-hotels.gr,info@hotelfilyra.gr,6932601240,,Λογγάδες,,455 00,,,
ΑΡΑΧΘΟΣ ΧΑΓΙΑΤΙ,,3,,arachthoschagiatihotel@yahoo.com,000-0000000,,Πτέρη,,47100,,,
ΑΡΓΙΑΔΕΣ,,3,,,6945371454,,Ελάτη,,44007,,,
ΑΡΕΤΗ,"


10 Χλμ
",2,,,26570-71208,,Βήσσανη,ΒΗΣΣΑΝΗ ΙΩΑΝΝΙΝΩΝ,440 12,26570-71389,,
ΑΡΙΛΛΑ ΜΠΗΤΣ,"


3 Χλμ
",3,,georg_g_log@yahoo.gr,26650-91001,,Αρίλλας,ΑΡΙΛΛΑ,461 00,26650-91533,,
ΑΡΙΣΤΟΝ,,3,www.hotelariston.gr,info@hotelariston.gr,2653042155,2651028646,Πάπιγκο,ΜΕΓΑΛΟ ΠΑΠΙΓΚΟ ΖΑΓΟΡΙ,44004,,,
ΑΡΚΕΥΘΟΣ,"


50 Χλμ
",3,www.arkefthos.gr,arkefthoshotel@gmail.com,26530-41494,26530-41497,Πάπιγκο,ΠΑΠΙΓΚΟ ΙΩΑΝΝΙΝΩΝ,440 04,6977440777,,
ΑΡΚΤΟΣ,"


2 Χλμ
",3,www.arktos-hotel.gr,info@arktos-hotel.gr,2651003004,,Λιγκιάδες,,45500,,,
ΑΡΚΤΟΥΡΟΣ,"


32 Χλμ
",3,www.hotel-arktouros.gr,info@hotel-arktouros.gr,26530-72000,,Μονοδένδρι,ΜΟΝΟΔΕΝΔΡΙ ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΑΡΤΑ ΠΑΛΛΑΣ,"


5 Χλμ
",4,www.artapalace.gr,hotel@artapalace.gr,26810-61530/2,26810-61100,Άρτα,5 ΧΛΜ. ΑΡΤΑΣ-ΑΘΗΝΩΝ,472 00,,,
ΑΡΧΟΝΤΑΡΙΚΙ,"


2 Χλμ
",4,www.hotel-archontariki.com,hotelarchontariki@yahoo.gr,26510-78010,26510-78070,Ιωάννινα,ΖΑΛΟΚΩΣΤΑ 50,452 21,,,
ΑΡΧΟΝΤΙΚΟ ΒΟΓΙΑΡΟΥ,,3,www.vogiarou.gr,info@vogiarou.gr,26590-62361,26590-62361,Καλαρρύτες,,440 01,,,
ΑΡΧΟΝΤΙΚΟ ΒΟΥΡΛΟΚΑ,,3,,vourlokas@gmail.com,6973740901,,Πράμαντα,,44001,,,
ΑΡΧΟΝΤΙΚΟ ΓΚΕΚΗ 1876,,4,www.arxontikogeki.com,info@arxontikogeki.com,26530-41610,,Πάπιγκο,ΠΑΠΙΓΚΟ ΙΩΑΝΝΙΝΩΝ,440 04,,,
ΑΡΧΟΝΤΙΚΟ ΔΙΛΟΦΟΥ,"


5 Χλμ
",4,www.dilofo.eu,gkgkontaxis@gmail.com,26530-22455,,Δίλοφο,ΔΙΛΟΦΟ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΑΡΧΟΝΤΙΚΟ ΕΥΡΥΔΙΚΗΣ,,4,,gadamos@otenet.gr,2651026831,,Βίτσα,,44007,,,
ΑΡΧΟΝΤΙΚΟ ΚΡΑΝΑ,,3,www.arxontiko-krana.gr,info@arxontiko-krana.gr,26530-22225,,Ασπράγγελοι,ΑΣΠΡΑΓΓΕΛΟΙ ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΑΡΧΟΝΤΙΚΟ ΜΕΤΣΟΒΟΥ,"


1 Χλμ
",4,www.metsovohotel.com,info@metsovohotel.com,26560-29100,26560-29102,Μέτσοβο,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝ,442 00,2656029101,,
ΑΡΧΟΝΤΙΚΟ ΡΙΓΓΑ 1872,"


0.5 Χλμ
",4,www.arhontiko-riga.gr,info@arhontiko-riga.gr,26660-23863,26660-23864,Παραμυθιά,ΜΗΤΡΟΠΟΛΙΤΟΥ ΝΕΟΦΥΤΟΥ 11,462 00,,,
ΑΡΧΟΝΤΙΚΟ ΤΖΟΥΦΗ,,3,www.arhodiko-tzoufi.gr,arhodikotzoufi@gmail.com,26530-71736,,Καπέσοβο,ΚΑΠΕΣΟΒΟ ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΑΡΧΟΝΤΙΚΟ ΤΗΣ ΚΟΝΙΤΣΑΣ,,4,,,26550-29330,,Κόνιτσα,ΚΟΝΙΤΣΑ ΙΩΑΝΝΙΝΩΝ,441 00,,,
ΑΡΧΟΝΤΙΚΟ ΤΟΥ ΤΕΡΟΒΟΥ,"


0.5 Χλμ
",3,,,26540-71480,26540-71480,Χάνι Τερόβου,,455 00,,,
ΑΡΧΟΝΤΙΚΟ ΤΩΝ ΚΗΠΩΝ,,3,,info@arxontikokipon.gr,26530-71030,,Κήποι,ΚΗΠΟΙ ΖΑΓΟΡΙΟΥ ΙΩΑΝΝΙΝΩΝ,440 10,,,
ΑΡΧΟΝΤΙΚΟΝ,"


30 Χλμ
",4,,,26530-41002,,Πάπιγκο,ΠΑΠΙΓΚΟ ΙΩΑΝΝΙΝΩΝ,440 04,,21-06889249,21-06889233
ΑΡΧΟΝΤΙΣΣΑ,"


39 Χλμ
",2,www.vikoshotel.com,info@vikoshotel.com,26530-71370,26530-71370,Μονοδένδρι,,440 07,6948-304767,,
ΑΡΩΜΑ ΔΡΥΟΣ ΝΤΙΖΑΪΝ,"


3 Χλμ
",3,www.aromadryos.gr,info@aromadryos.gr,26560-29008,26560-29006,Μέτσοβο,ΜΕΤΣΟΒΟ ΙΩΑΝΝΙΝΩΝ,442 00,,,
ΑΣΤΕΡΑΣ,"


10 Χλμ
",2,,,26840-41317,26840-41317,Αμμουδιά,,480 62,,6949-341145,
ΑΣΤΕΡΙ ΜΕΤΣΟΒΟΥ,"


0.5 Χλμ
",2,www.asterimetsovo.com,info@asterimetsovo.com,26560-42222,26560-41267,Μέτσοβο,Θ. ΤΟΣΙΤΣΑ 58,442 00,26560-42650,,
ΑΣΤΟΡΙΑ,"


3 Χλμ
",2,www.hotelastoria.gr,info@hotelastoria.gr,26510-20755,26510-78410,Ιωάννινα,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ 2Α,452 21,26510-25438,,
ΑΣΤΟΡΙΑ,"


1.9 Χλμ
",2,www.hotel-astoria.gr,gdallas@hotel-astoria.gr,26650-22217,26650-22704,Γραικοχώρι,ΑΓΙΩΝ ΑΠΟΣΤΟΛΩΝ 147,461 00,,,
ΑΣΤΡΑΚΑ,"


6 Χλμ
",3,,hotelastraka@gmail.com,26530-41693,26530-41693,Πάπιγκο,ΠΑΠΙΓΚΟ (ΜΕΓΑΛΟ) ΙΩΑΝΝΙΝΩΝ,440 04,26530-42277,,
ΑΤΛΟΝ,"


12 Χλμ
",2,www.atlon-hotel.com,info@atlon-hotel.com,26820-56626,26820-56627,Παραλία,ΠΑΡΑΛΙΑ ΛΟΥΤΣΑΣ,480 62,6947-893581,2684-024811,
ΑΥΡΑ,"


1 Χλμ
",2,www.hotelavra.net,hotelavra@yahoo.com,26820-21230,26820-26454,Πρέβεζα,ΕΛΕΥΘ.ΒΕΝΙΖΕΛΟΥ 19,481 00,26820-26454,,
ΑΥΡΑΓΟΝΙΟ,,4,,,26530-41129,,Πάπιγκο,ΠΑΠΙΓΚΟ ΖΑΓΟΡΙΟΥ,440 04,,,
ΑΧΕΡΩΝ,"


0.5 Χλμ
",1,www.hotelaheron.gr,info@hotelaheron.gr,26840-22241,26840-24202,Καναλλάκι,ΠΑΝΤΕΛΕΗΜΩΝΟΣ 8,480 62,,,
ΑΧΕΡΩΝ,"


24 Χλμ
",2,,exogliki@gmail.com,26660-41464,,Γλυκή,,460 31,,,
ΑΧΙΛΛΕΑΣ,,2,www.hotelachilleas.gr,info@hotelachilleas.gr,26840-31600,26840-31879,Πάργα,ΚΡΥΟΝΕΡΙ ΠΑΡΓΑΣ,480 60,26840-31878,2684-031707,2684-031789
ΑΧΙΛΛΕΑΣ,,2,www.achilleas-hotel.gr,info@achilleas-hotel.gr,26820-56007,26840-29067,Λούτσα,ΛΟΥΤΣΑ ΠΡΕΒΕΖΑΣ,480 60,,,
ΑΩΟΣ,"


2 Χλμ
",2,www.epirus.com/hotel-aoos,hotel.aoos@gmail.com,26550-22079,26550-23079,Κόνιτσα,ΚΟΝΙΤΣΑ ΙΩΑΝΝΙΝΩΝ,441 00,,,
Β- ΣΤΗ ΘΑΛΑΣΣΑ,,3,www.v-delmar.gr,info@v-delmar.gr,6979912767,26820-56574,Παραλία,,481 00,,6979912767,
ΒΑΚΑΡΑΤΣΑ,,3,,el.tsoupi@yahoo.gr,26560-31526,26560-31526,Φλαμπουράρι,ΦΛΑΜΠΟΥΡΑΡΙ ΚΕΝΤΡΙΚΟΥ ΖΑΓΟΡΙΟΥ,440 14,6978219126,,
ΒΑΛΤΟΣ ΜΠΗΤΣ,"


1 Χλμ
",4,www.valtosbeach.gr,valtosbe@otenet.gr,26840-31610,26840-31904,Πάργα,ΒΑΛΤΟΣ ΠΑΡΓΑΣ,480 60,26840-31005,2684-031518,2684-031904
ΒΑΣΙΛΕΥΣ ΠΥΡΡΟΣ,"


2 Χλμ
",2,https://www.kingpyrroshotel.gr/,kingpyrroshotel@gmail.com,26510-27652,26510-29980,Ιωάννινα,Ι. ΓΟΥΝΑΡΗ 3,454 44,26510-75992,,
ΒΑΣΙΛΗΣ,,2,,,26840-41210,,Αμμουδιά,,480 62,,,
ΒΙΚΟΣ,"


39 Χλμ
",3,www.vikoshotel.com,info@vikoshotel.com,26530-71370,26530-71370,Μονοδένδρι,ΜΟΝΟΔΕΝΔΡΙ ΙΩΑΝΝΙΝΩΝ,440 07,6948-304767,,
ΒΙΚΤΩΡΙΑ,"


1 Χλμ
",3,www.victoriahotel.gr,victoria@victoriahotel.gr,26560-41771,26560-41454,Μέτσοβο,ΜΕΤΣΟΒΟ,442 00,26560-41761,,
ΒΙΛΑΤΖΙΟ ΣΙΟΥΤΗΣ,,3,,info@villaggio-sioutis.gr,6944644454,,Σύβοτα,,46100,,,
ΒΙΛΛΑ ΑΥΡΑ,"


12 Χλμ
",3,,villa.avra@yahoo.gr,26840-41336,26840-41357,Αμμουδιά,,480 62,,,
ΒΙΛΛΑ ΜΑΡΙΑ,"


24 Χλμ
",2,www.villamarie.gr,info@villamarie.gr,26650-93047,26650-93049,Σύβοτα,ΣΥΒΟΤΑ ΘΕΣΠΡΩΤΙΑΣ,461 00,26650-93048,2651-03961,
ΒΙΛΛΑ ΠΑΡΟΡΑΙΑ,,4,www.villaparoraia.gr,info@villaparoraia.gr,26530-81088,26530-81089,Τσεπέλοβο,ΤΣΕΠΕΛΟΒΟ ΙΩΑΝΝΙΝΩΝ,440 10,6978300793,,
ΒΙΛΛΑ ΡΟΖΑ,,4,www.villarossa.gr,info@villarossa.gr,26840-31257,26840-31257,Πάργα,ΚΡΥΟΝΕΡΙ ΠΑΡΓΑΣ,480 60,6942040133,,
ΒΙΛΛΑ ΡΟΥΣΤΙΚΑ,,4,,elxo0311@gmail.com,2655024910,,Κόνιτσα,,44100,,,
ΒΙΡΓΙΝΙΑ,,3,http://virginiahouse.gr/,contact@virginiahouse.gr,2653022628,26530-22538,Ασπράγγελοι,ΑΣΠΡΑΓΓΕΛΟΙ ΖΑΓ.ΙΩΑΝΝΙΝΩΝ,440 07,,,
ΒΟΒΟΥΣΑ,,2,www.zagori.biz/vovousaappartments,,26560-22555,,Βοβούσα,,440 14,6977-027207,,
ΒΟΥΛΓΑΡΗ,,4,,nivo@windtools.gr,2651033638,,Ιωάννινα,ΣΤΡΑΤΗΓΟΠΟΥΛΟΥ 7,45221,,,
ΒΡΑΧΟΙ ΓΚΑΜΗΛΑΣ,"


18 Χλμ
",4,www.gamilarocks.com,dimitriadis@motomarket.gr,6944315015,26530-41080,Αρίστη,ΑΡΙΣΤΗ ΙΩΑΝΝΙΝΩΝ,440 04,6955-693721,6944315015,2310723318
ΒΡΕΤΑΝΙΑ,"


3 Χλμ
",2,,,26510-26380,,Ιωάννινα,ΠΛΑΤΕΙΑ ΔΗΜΟΚΡΑΤΙΑΣ 11Α,460 00,26510-25174,,
ΒΥΖΑΝΤΙΝΟ,"


4 Χλμ
",4,www.hotelvyzantino.gr,info@hotelvyzantino.gr,26810-52205,26810-52116,Άρτα,ΦΙΛΟΘΕΗ ΑΡΤΑΣ,470 42,26810-52206,,
ΒΥΖΑΝΤΙΟ,"


2 Χλμ
",2,www.byzantio-hotel.gr,info@byzantio-hotel.gr,26510-40453,26510-45980,Ιωάννινα,ΒΟΗΜΟΥΝΔΟΥ,453 32,,,
ΓΑΒΡΟΓΟΣ,"


25 Χλμ
",2,www.gavrogos.gr,fantsamp@gmail.com,26810-70075,26810-70012,Σκουληκαριά,ΣΚΟΥΛΗΚΑΡΙΑ ΑΡΤΑΣ,470 48,,,
ΓΑΙΑ,"


30 Χλμ
",4,www.gaia-dilofo.gr,info@gaia-dilofo.gr,26530-22570,26510-43198,Δίλοφο,ΔΙΛΟΦΟ ΖΑΓΟΡΙΟΥ,440 07,6944-885218,,
ΓΑΛΑΖΙΑ ΘΑΛΑΣΣΑ,,4,www.blueseahotel.eu,blueseahotel@yahoo.com,2682052055,,Κανάλι,,48100,2682052320,2682052320,
