Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ,Τηλέφωνο 2
ΑΙΟΛΙΔΕΣ,,3,,aiolides@yahoo.gr,2441092800,,Καλύβια,,43150,,,
ΑΙΟΛΙΚΟΣ ΑΣΤΗΡ,"


0.3 Χλμ
",2,,aeolic.star@gmail.com,24320-22325,24320-23455,Καλαμπάκα,ΛΙΑΚΑΤΑ 1,422 00,,,
ΑΙΟΛΟΣ,"


7 Χλμ
",3,www.aeolos.com.gr,info@aeolos.com.gr,24260-22910,24260-23390,Χορευτό,ΧΟΡΕΥΤΟ ΠΗΛΙΟΥ,370 01,24210-22240,24210-22240,
ΑΙΟΛΟΣ,"


0.5 Χλμ
",4,www.aeolosskopelos.com,contact@aeolosskopelos.com,24240-22233,24240-23234,Σκόπελος,,370 03,,,24240-23233
ΑΚΡΟΓΙΑΛΙ,"


0.4 Χλμ
",2,www.akrogiali.com,,24230-23146,,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,,,24230-23059
ΑΚΡΟΠΟΛ,"


0.5 Χλμ
",2,,hotelacropol@hotmail.gr,2410-536315,2410-537088,Λάρισα,ΕΛ.ΒΕΝΙΖΕΛΟΥ 142,412 22,2410536315,2410537088,2410-536319
ΑΚΡΩΤΗΡΙ ΚΑΝΑΠΙΤΣΑ,"


6 Χλμ
",2,www.kanapitsa.com,cape@kanapitsa.com,24270-21750,24270-22170,Σκιάθος,ΚΑΝΑΠΙΤΣΑ ΣΚΙΑΘΟΥ,370 02,21-06777286,21-06777286,
ΑΚΤΑΙΟΝ,"


6 Χλμ
",3,www.aktaionhotel.gr,info@aktaionhotel.com,24230-55710,24230-55720,Αργαλαστή,ΑΡΓΑΛΑΣΤΗ ΜΑΓΝΗΣΙΑΣ,370 06,2421-045639,2421-045639,
ΑΚΤΗ,"


0.5 Χλμ
",2,www.heliotropio.gr,info@heliotropio.gr,24270-22024,24270-21952,Σκιάθος,Φ ΓΕΩΡΓΙΑΔΗ 26,370 02,21-06521989,,24270-21463
ΑΚΤΗ ΑΛΟΝΝΗΣΟΣ,"


5 Χλμ
",4,www.alonissosbeach.com,alonissosbeach@yahoo.gr,2424065281,,Πατητήρι,ΑΛΟΝΝΗΣΟΣ,370 05,6936493634,,2424065115
ΑΚΤΗ ΒΡΩΜΟΛΙΜΝΟΥ,"


7.5 Χλμ
",2,www.skiathos-holidays.com,info@skiathos-holidays.com,24270-21596,,Σκιάθος,,370 02,2427-022018,2427-022771,
ΑΚΤΗ ΜΙΚΡΟ,"


7 Χλμ
",2,www.mikrobeachhotel.com,info@mikrobeachhotel.com,24230-71212,24230-71414,Μικρό,,370 06,2421-072275,2421-072275,
ΑΛΑΤΙΝΟΥ,"


15 Χλμ
",4,www.alatinos.gr,booking@alatinos.gr,24230-86895/6,24230-868995,Πινακάτες,ΠΙΝΑΚΑΤΕΣ ΜΗΛΕΩΝ ΜΑΓΝΗΣΙΑΣ,370 10,,,22937
ΑΛΕΞΑΝΔΡΟΣ,"


1 Χλμ
",3,www.hotelalexandrosvolos.gr,info@hotelalexandrosvolos.gr,2421031221,24210-31224,Βόλος,ΤΟΠΑΛΗ 3-ΙΑΣΩΝΟΣ,382 21,2421031221,2421031224,2421031222
ΑΛΕΞΑΝΔΡΟΣ,"


6 Χλμ
",2,,men_pisioti@windowslive.com,24230-33385,24230-33385,Άφυσσος,ΠΗΓΗΣ 7,370 10,2421-052003,,24230-33386
ΑΛΕΞΙΟΥ,"


1 Χλμ
",3,www.hotelalexiou.com,info@hotelalexiou.com,24320-77126,24320-77128,Καλαμπάκα,ΤΡΙΚΑΛΩΝ 144 Β,422 00,,,24320-77127
ΑΛΘΕΑ,,4,,hello@alfacollection.gr,24240-66255,,Πατητήρι,ΠΑΛΑΙΟ ΧΩΡΙΟ ΑΛΟΝΝΗΣΟΥ,370 05,,,
ΑΛΚΗΣΤΙΣ,"


12 Χλμ
",2,www.alkistishotel.gr,info@alkistishotel.gr,24280-99175,24280-99630,Πορταριά,ΠΟΡΤΑΡΙΑ ΠΗΛΙΟΥ,370 11,,,24280-99529
ΑΛΚΗΣΤΙΣ,"


1 Χλμ
",4,,alkhotel@otenet.gr,6944752941,24240-22116,Σκόπελος,2 ΧΛΜ.ΟΔ.ΣΚΟΠΕΛΟΥ-ΓΛΩΣΣΑΣ,370 03,21-08843922,21-08843922,210-8843922
ΑΛΚΙΦΡΩΝ,"


18 Χλμ
",2,www.alkifonhotel.gr,alkifronhotel@gmail.com,24230-23255,,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΜΑΓΝΗΣΙΑΣ,370 10,,,6970464561
ΑΛΚΥΩΝ,"


0.8 Χλμ
",2,,,24230-22364,,Καλά Νερά,ΣΑΡΑΦΟΠΟΥΛΟΥ 160,370 10,6977780019,,
ΑΛΚΥΩΝ,"


1 Χλμ
",3,www.alkyon-skiathos.gr,alkyon@otenet.gr,24270-22981,24270-21643,Σκιάθος,ΣΚΙΑΘΟΣ (ΑΜΜΟΥΔΙΑ),370 02,2427022981,2427-021643,24270-22982
ΑΛΚΥΩΝ,"


0.2 Χλμ
",2,,infoalkyon@gmail.com,24240-65220,24240-65195,Πατητήρι,ΠΑΤΗΤΗΡΙ,370 05,,,24240-65505
ΑΛΟΣ,"


1 Χλμ
",2,,hotelaalos@gmail.com,6972382554,24220-29080,Αλμυρός,Β.ΠΑΥΛΟΥ 44,371 00,,,24210-42615
ΑΛΧΗΜΙΣΤΗΣ,"


0.05 Χλμ
",4,www.archontikoathanasaki.gr,arhontikoathanasaki@hotmail.com,24280-99235,24280-99228,Πορταριά,ΠΟΡΤΑΡΙΑ ΠΗΛΙΟΥ,370 11,,,6977991235
ΑΜΑΛΙΑ,"


20 Χλμ
",1,,fani.kostoula@hotmail.com,24220-91264,24220-91264,Αμαλιάπολη,ΑΜΑΛΙΑΠΟΛΗ ΜΑΓΝΗΣΙΑΣ,370 08,,,
ΑΜΑΛΙΑ,"


0.5 Χλμ
",3,www.hotel-amalia.gr,amaliaskopelos@gmail.com,2424-022688,2424022155,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,6944797937,,2424-022155
ΑΜΑΛΙΑ,"


5 Χλμ
",4,https://amaliahotelkalambaka.gr/,amalia@amaliahotels.com,24320-72216/7,24320-72457,Καλαμπάκα,ΚΑΛΑΜΠΑΚΑ ΘΕΣΣΑΛΙΑΣ,422 00,,,
ΑΜΑΛΙΑ 2,"


0.5 Χλμ
",1,www.skopelosweb.gr/amalia,amaliag@otenet.gr,2424-022688,2424-023217,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,,,2424-022033
ΑΜΑΝΙΤΑ,"


25 Χλμ
",4,www.amanita.gr,info@amanita.gr,24260-49707,210-8991484,Τσαγκαράδα,ΤΣΑΓΚΑΡΑΔΑ,370 12,,,
ΑΜΠΑΣΑΝΤΕΡ,,1,,ntanasg@hotmail.com,2410-250713,2410-250713,Λάρισα,ΠΑΠΑΚΥΡΙΑΖΗ 65,412 22,,,2410-250028
ΑΝΑΜΑΡ ΠΗΛΙΟ ΡΙΖΟΡΤ,"


12 Χλμ
",4,www.anamarpelion.gr,info@anamarpelion.gr,2428096600,2428096604,Χάνια,ΧΑΝΙΑ ΠΗΛΙΟΥ,370 11,2155154545,2155305527,2428089004
ΑΝΑΝΤΙ ΣΙΤΥ ΡΗΖΟΡΤ,,5,www.ananticityresort.com,info@anantiresort.gr,24310-63950,24310-63955,Λογγάκι,ΝΤΑΜΑΡΙΑ ΛΟΓΓΑΚΙΟΥ,421 75,,,
ΑΝΑΣΤΑΣΙΑ,"


3 Χλμ
",1,www.anastasiahotel.net,hotanast@gmail.com,2421064988,24210-85096,Νέα Ιωνία,ΜΑΚΕΔΟΝΙΑΣ 40,384 46,2421064988,2421085096,24210-85089
ΑΝΑΤΟΛΗ,"


30 Χλμ
",3,www.hotel-anatoli.com,info@hotel-anatoli.com,24410-93190,24410-93150,Νεοχώρι,ΝΕΟΧΩΡΙ ΚΑΡΔΙΤΣΑΣ,430 67,,,24410-93063
ΑΝΑΤΟΛΗ,"


0.5 Χλμ
",2,www.sunriseskopelos.com,contact@sunriseskopelos.com,24240-23002,24240-23004,Σκόπελος,,370 03,24240-23002,,24240-23003
ΑΝΔΡΟΜΕΔΑ,,3,,,24410-92699,,Κρυονέρι,,430 67,,,
ΑΝΕΛΛΗ,"


0.15 Χλμ
",2,www.hotelanelli.gr,akriv300baz13@gmail.com,24240-22124,24240-29115,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,24240-22124,24240-29115,24240-22019
ΑΝΕΜΩΝΗ,"


0.5 Χλμ
",2,,anemoni1@otenet.gr,24270-22860,24270-23383,Σκιάθος,ΦΤΕΛΙΑ ΣΚΙΑΘΟΥ,370 02,24270-22860,,
ΑΝΕΣΙΣ,"


6 Χλμ
",2,www.hotelanesis.gr,anesis@otenet.gr,2426-031223,2426-031292,Άγιος Ιωάννης Μουρεσίου,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΠΗΛΙΟΥ,370 12,,,2426-031123
ΑΝΤΙΓΟΝΗ,"


0.05 Χλμ
",2,www.antigoni-hotel.gr,antigoni@antigoni-hotel.gr,24410-93304,24410-93305,Νεοχώρι,ΝΕΟΧΩΡΙ ΚΑΡΔΙΤΣΑΣ,430 66,2441093304,2441093305,24410-93318
ΑΝΤΙΣ ΟΝΕΙΡΟΥ,"


20 Χλμ
",4,,adisonirou@gmail.com,24260-49948,24260-49948,Μουρέσι,ΜΟΥΡΕΣΙ Ν. ΜΑΓΝΗΣΙΑΣ,370 12,,,69720-53960
ΑΝΤΡΙΝΑ ΜΠΗΤΣ,"


10 Χλμ
",5,www.adrina.gr,info@adrina.gr,2424023373,24240-23372,Πάνορμος,ΠΑΝΟΡΜΟΣ ΣΚΟΠΕΛΟΥ,370 03,,,2103006000
ΑΝΤΡΙΝΑ ΡΗΖΟΡΤ,"


10 Χλμ
",5,www.adrina.gr,info@adrina.gr,24240-23371,24240-23372,Πάνορμος,ΠΑΝΟΡΜΟΣ ΣΚΟΠΕΛΟΥ,370 03,,,24240-24250
ΑΝΤΩΝΙΑΔΗΣ,"


1 Χλμ
",4,www.hotelantoniadis.gr,info@hotelantoniadis.gr,24320-24387,24320-24319,Καλαμπάκα,ΤΡΙΚΑΛΩΝ 144,422 00,,,23419
ΑΝΤΩΝΙΟΣ,"


1 Χλμ
",4,www.hotelantoniadis.gr,info@hotelantoniadis.gr,24320-24387,24320-24319,Καλαμπάκα,ΤΡΙΚΑΛΩΝ 148,422 00,,,
ΑΝΩΒΟΛΙΟΣ,"


20 Χλμ
",5,www.anovolios.gr,info@anovolios.gr,24280-86898,24280-94270,Άγιος Γεώργιος Νηλείας,ΑΓ.ΓΕΩΡΓΙΟΣ ΝΗΛΕΙΑΣ ΜΑΓΝΗΣΙΑΣ,385 00,,,86893
ΑΠΕΡΡΙΤΟΝ,"


0.5 Χλμ
",3,ΟΧΙ,aperitton@otenet.gr,24240-22256,24240-22976,Σκόπελος,ΑΓ.ΝΙΚΟΛΑΟΣ,370 03,2108074192,2108074192,2424022976
ΑΠΟΛΑΥΣΗ,"


5 Χλμ
",2,,hotelapolafsi@hotmail.gr,2421088915,2421088279,Βόλος,ΝΕΕΣ ΠΑΓΑΣΕΣ ΜΑΓΝΗΣΙΑΣ,385 00,2421088298,2421088279,
ΑΡΓΥΡΙ,,2,,,24450-31497,,Αργύρι,,430 66,,,
ΑΡΓΩ,"


2 Χλμ
",1,www.hotelargovolos.gr,hotel_argo@hotmail.com,24210-25372,,Βόλος,ΔΗΜΗΤΡΙΑΔΟΣ 165,382 21,,,24210-37680
ΑΡΓΩ,"


18 Χλμ
",1,www.argo-kalanera.gr,info@argo-kalanera.gr,24230-22271,24230-22271,Καλά Νερά,ΚΑΛΑ ΝΕΡΑ ΒΟΛΟΥ,370 10,2421-041687,2421-041687,
ΑΡΕΤΟΥΣΑ,"


0.4 Χλμ
",3,,aretousahotel@gmail.com,2427024333,24270-24365,Σκιάθος,ΣΚΙΑΘΟΣ,370 02,,2427-024365,
ΑΡΗΣ,,1,,,2410-221294,,Λάρισα,ΚΥΠΡΟΥ 15,412 23,,,2410-289555
ΑΡΙΑ,,3,,aria@e-dolphins.gr,2427029912,,Σκιάθος,,37002,,,
ΑΡΙΑΔΝΗ,,2,www.skopelos.net/ariadne,xrkefaloniti@yahoo.gr,24240-22772,24240-22247,Στάφυλος,,370 03,2424-022227,,24240-22630
ΑΡΚΟ,"


7 Χλμ
",3,www.hotelarco.gr,mosialos@hotelarco.gr,24270-49377,24270-49415,Σκιάθος,ΑΓ.ΠΑΡΑΣΚΕΥΗ ΣΚΙΑΘΟΥ,370 02,241-0233518,241-0233518,24270-49387
ΑΡΜΟΝΙΑ,"


6 Χλμ
",1,,armoniapelion@gmail.com,24260-31242,,Άγιος Ιωάννης Μουρεσίου,,370 12,2426-031242,,24260-31094
ΑΡΝΗ,"


1 Χλμ
",4,www.domotel.gr,arni@domotel.gr,24410-22161,24410-73080,Καρδίτσα,ΚΑΡΑΙΣΚΑΚΗ 4,431 00,,,24410-22481
ΑΡΝΙΚΑ ΜΟΝΤΑΝΑ,,4,,vasso_kondara@yahoo.gr,2426049825,,Τσαγκαράδα,,37012,,,2421033103
ΑΡΧΟΝΤΙΚΟ,"


1 Χλμ
",4,,,24240-22049,,Σκόπελος,ΣΚΟΠΕΛΟΣ,370 03,2424-022049,,022765
ΑΡΧΟΝΤΙΚΟ,"


20 Χλμ
",2,,dimkomninos@yahoo.com,24230-71292,,Πλατανιάς,ΠΛΑΤΑΝΙΑ ΜΑΓΝΗΣΙΑΣ,370 06,,,24230-27489
ΑΡΧΟΝΤΙΚΟ 1716,"


0.15 Χλμ
",4,www.1716.gr,arxontiko1716@yahoo.gr,24280-96002,24280-96002,Άγιος Λαυρέντιος,ΑΓΙΟΣ ΛΑΥΡΕΝΤΙΟΣ ΜΑΓΝΗΣΙΑΣ,385 00,,,96234
ΑΡΧΟΝΤΙΚΟ ΑΡΓΥΡΩ,"


6 Χλμ
",4,www.archontiko-argyro.gr,info@archontiko-argyro.gr,24280-99353,,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΠΗΛΙΟΥ,370 11,,,24280-99507
ΑΡΧΟΝΤΙΚΟ ΒΟΓΙΑΤΖΟΠΟΥΛΟΥ,"


25 Χλμ
",4,www.pelion-vogiatzopoulou.com,pelionvogiatzopoulou@gmail.com,24280-93135,24280-93796,Άγιος Γεώργιος Νηλείας,ΑΓ.ΓΕΩΡΓΙΟΣ ΝΗΛΕΙΑΣ ΜΑΓΝΗΣΙΑΣ,37300,,,
ΑΡΧΟΝΤΙΚΟ ΓΚΑΓΙΑΝΝΗ,"


0.2 Χλμ
",4,www.villagayannis.gr,gayannis@otenet.gr,24260-23391,24260-22091,Ζαγορά,ΖΑΓΟΡΑ ΜΑΓΝΗΣΙΑΣ,370 01,2426-023391,2426-022091,
ΑΡΧΟΝΤΙΚΟ ΔΗΜΟΥ,"


0.5 Χλμ
",4,,dmacropolis@gmail.com,2317002500,,Βυζίτσα,ΒΥΖΙΤΣΑ ΠΗΛΙΟΥ,370 10,,,24210-21222
ΑΡΧΟΝΤΙΚΟ ΔΙΒΑΝΗ,"


15 Χλμ
",3,www.divani.gr,pertouli@grecian.gr,24340-91252,24340-91253,Περτούλι,ΠΕΡΤΟΥΛΙ ΤΡΙΚΑΛΩΝ,420 32,,,24340-91111
ΑΡΧΟΝΤΙΚΟ ΔΡΑΚΟΠΟΥΛΟΥ,"


0.5 Χλμ
",5,www.arxodiko.gr,acnzagora@yahoo.gr,24260-23566,24260-23566,Ζαγορά,ΖΑΓΟΡΑ ΠΗΛΙΟΥ,370 01,,,023460
ΑΡΧΟΝΤΙΚΟ ΕΛΝΤΑ,"


12 Χλμ
",2,www.elda.gr,eldahotelpelion@gmail.com,24260-31422,2426031649,Άγιος Δημήτριος,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ ΠΗΛΙΟΥ,370 12,2426031422,,2426031025
ΑΡΧΟΝΤΙΚΟ ΕΥΗΛΙΟΝ,"


5 Χλμ
",4,http://evilion1856.gr,info@evilion1856.gr,24280-99777,24280-99782,Μακρινίτσα,,370 11,,,6936-497041
ΑΡΧΟΝΤΙΚΟ ΙΑΤΡΙΔΗ,"


5 Χλμ
",3,www.arxontikoiatridi.gr,arxontikoiatridi@gmail.com,2426049477,2426049972,Μουρέσι,,370 12,,,
ΑΡΧΟΝΤΙΚΟ Κ. ΣΤΑΘΟΠΟΥΛΟΥ,"


15 Χλμ
",4,www.archontikostathopoulou.gr,info@ardh.gr,24280-94071,2103640324,Άγιος Γεώργιος Νηλείας,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΠΗΛΙΟΥ,385 00,,,2103640323
ΑΡΧΟΝΤΙΚΟ ΚΑΝΤΑΡΤΖΗ,"


13 Χλμ
",4,,,24280-99388,,Πορταριά,ΠΟΡΤΑΡΙΑ ΠΗΛΙΟΥ,370 11,,,099444
ΑΡΧΟΝΤΙΚΟ ΚΑΡΑΓΙΑΝΝΟΠΟΥΛΟΥ,"


2 Χλμ
",4,www.karagiannopoulou.com,info@karagiannopoulou.com,24230-86717,24230-86878,Βυζίτσα,ΒΥΖΙΤΣΑ ΠΗΛΙΟΥ,370 10,,,
ΑΡΧΟΝΤΙΚΟ ΚΑΡΑΜΑΡΛΗ,"


7 Χλμ
",3,www.archontikakaramarlis.gr,info@archontikakaramarlis.gr,24280-99570,24280-99779,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΠΗΛΙΟΥ,370 11,2421-021179,2421-021209,
ΑΡΧΟΝΤΙΚΟ ΚΙΡΜΗΛΗ,,4,www.kirmilipelion.eu,,6948603235,,Μακρινίτσα,ΜΑΚΡΙΝΙΤΣΑ,370 11,,,
ΑΡΧΟΝΤΙΚΟ ΚΛΕΙΤΣΑ,"


0.02 Χλμ
",2,,info@archontikoklitsa.com,24280-99418,24280-90173,Πορταριά,,370 11,2428-020143,2421-033343,
ΑΡΧΟΝΤΙΚΟ ΚΟΙΛΙΑ,,3,www.archontikokoilia.gr,info@archontikokoilia.gr,24280-99001,24280-90031,Μακρινίτσα,ΜΑΚΡΙΝΙΤΣΑ ΜΑΓΝΗΣΙΑΣ,370 11,6984630252,,
ΑΡΧΟΝΤΙΚΟ ΚΟΝΤΟΥ,"


2 Χλμ
",4,www.archontikokontou.gr,vikontos@otenet.gr,24230-86793,210-8065341,Βυζίτσα,ΒΥΖΙΤΣΑ ΠΗΛΙΟΥ,370 10,21-08028907,21-08065341,210-8028907
ΑΡΧΟΝΤΙΚΟ ΛΟΥΚΑ,"


26 Χλμ
",2,,ernestoloukas@gmail.com,24340-91465,24340-91518,Περτούλι,,420 32,2431-031191,,6977-372658
ΑΡΧΟΝΤΙΚΟ ΜΑΡΓΑΡΙΤΗ,,5,,,24280-90200,,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΠΗΛΙΟΥ,370 11,,,
ΑΡΧΟΝΤΙΚΟ ΜΑΡΓΑΡΙΤΗ 2,,5,,,24280-90200,,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΜΑΓΝΗΣΙΑΣ,370 11,,,
ΑΡΧΟΝΤΙΚΟ ΜΙΧΟΠΟΥΛΟΥ,"


15 Χλμ
",5,www.archontikomichopoulou.gr,,24230-86860/1,,Βυζίτσα,ΒΥΖΙΤΣΑ ΠΗΛΙΟΥ,370 10,,,
ΑΡΧΟΝΤΙΚΟ ΜΟΥΝΤΖΟΥΡΙΔΗ,,4,www.mountzouridis.gr,info@mountzouridis.gr,24230-54549,24230-54549,Αργαλαστή,ΚΥΠΡΟΥ,370 06,,,6934782015
ΑΡΧΟΝΤΙΚΟ ΜΠΛΑΝΑ,"


2 Χλμ
",4,http://truepelion.com,villia.blana@gmail.com,24230-86840,,Βυζίτσα,ΒΥΖΙΤΣΑ ΠΗΛΙΟΥ,370 10,,,
ΑΡΧΟΝΤΙΚΟ ΝΑΟΥΜΙΔΗ,"


0.1 Χλμ
",4,www.naoumidishotel.gr,info@naoumidishotel.gr,24280-99470,24280-90014,Πορταριά,ΠΟΡΤΑΡΙΑ ΜΑΓΝΗΣΙΑΣ,370 11,,,
ΑΡΧΟΝΤΙΚΟ ΟΛΒΙΑ,"


8 Χλμ
",4,www.arhontiko-olvia.gr,arhontiko.olvia@gmail.com,+302428099611,,Μακρινίτσα,ΜΑΚΡΥΝΙΤΣΑ ΜΑΓΝΗΣΙΑΣ,370 11,2421023897,,
ΑΡΧΟΝΤΙΚΟ ΠΑΠΟΥΤΣΗ,,4,,appapoutsis@gmail.com,2426049995,,Μουρέσι,ΜΟΥΡΕΣΙ ΜΑΓΝΗΣΙΑΣ,370 12,6956152856,,2426049414
ΑΡΧΟΝΤΙΚΟ ΠΑΡΙΣΗ,"


10 Χλμ
",4,www.archontico-parisis.com,ar-paris@otenet.gr,24230-65856,24230-65856,Λαύκος,ΛΑΥΚΟΣ ΠΗΛΙΟΥ,370 06,2421-070173,,
ΑΡΧΟΝΤΙΚΟ ΠΡΕΠΑΛΑ,"


10 Χλμ
",3,,arhodiko-prepala@hotmail.com,24230-55758,24210-25702,Νεοχώρι,ΝΕΟΧΩΡΙ ΜΑΓΝΗΣΙΑΣ,370 06,,,
