Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Τηλέφωνο 2,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Αριθμός Φαξ,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΝΤΩΝΙΟΣ ΧΩΡΙΟ,"


5 Χλμ
",4,www.antoniosvillage.gr,info@antoniosvillage.gr,26230-96111,69779-88930,Γλύφα,ΓΛΥΦΑ ΛΥΓΙΑΣ ΗΛΕΙΑΣ,270 50,26230-96112,26230-42550,26230-96112
ΑΠΟΛΛΩΝ,"


2 Χλμ
",3,www.apartmentsapollon.gr,info@apartmentsapollon.gr,2610-990426,,Ρίο,ΣΩΜΕΡΣΕΤ 14,265 00,2610-995401,,
ΑΠΟΛΛΩΝΙΟΝ,"


0.9 Χλμ
",3,www.apollonionhotel.gr,info@apollonionhotel.gr,26260-22900,,Ανδρίτσαινα,ΑΝΔΡΙΤΣΑΙΝΑ ΗΛΕΙΑΣ,270 61,26260-22900,2626-022900,
ΑΡΕΘΟΥΣΑ,"


14 Χλμ
",3,www.arethousahotel.gr,arethous@otenet.gr,2621042005,,Κατάκολο,,270 67,2621042006,6979636413,
ΑΡΚΟΥΔΙ,"


10 Χλμ
",2,www.brati-hotels.gr,info@brati-hotels.gr,26230 96480,26230 96350,Αρκούδι,ΑΡΚΟΥΔΙ ΛΥΓΙΑΣ ΗΛΕΙΑΣ,270 50,26230-96494,2623096350,2623096494
ΑΡΜΟΝΙΑ,,3,www.harmonyresort.gr,info@harmonyresort.gr,2622024921,,Κουρούτα,,272 00,,,
ΑΡΟΑΝΙΑ,"


37 Χλμ
",3,www.aroania-hotel.gr,info@aroania-hotel.gr,2696035090,,Ζαρούχλα,,250 06,26960-33977,,
ΑΡΟΑΝΙΟΣ,"


0.15 Χλμ
",2,www.aroanioshotel.gr,aroanioshotel@gmail.com,26920-31308,,Κλειτορία,ΚΛΕΙΤΟΡΙΑ ΑΧΑΙΑΣ,250 07,26920-31308,,
ΑΡΤΙ ΓΚΡΑΝΤ,"


1 Χλμ
",5,www.artygrandhotel.gr,info@artygrandhotel.gr,26240-26000,,Αρχαία Ολυμπία,ΑΡΧΑΙΑ ΟΛΥΜΠΙΑ ΗΛΕΙΑΣ,270 65,26240-26004,,
ΑΡΧΑΙΑ ΣΑΜΗ,"


5 Χλμ
",1,,arxaia_sami@yahoo.gr,26250-32257,26250-34857,Καϊάφας,,270 54,26250-34639,2625-032257,
ΑΡΧΟΝΤΙΚΟ,,4,www.archontiko-andritsenas.gr,archontiko.andritsenas@gmail.com,26260-22401,26260-22532,Ανδρίτσαινα,ΑΝΔΡΙΤΣΑΙΝΑ ΗΛΕΙΑΣ,270 61,26260-22532,,
ΑΡΧΟΝΤΙΚΟ ΖΑΦΕΙΡΟΠΟΥΛΟΥ,"


0.5 Χλμ
",3,www.archontiko.gr,info@archontiko.gr,26920-24500,6972080291,Καλάβρυτα,,250 01,26920-24505,,
ΑΡΧΟΝΤΙΚΟ ΤΗΣ ΠΕΠΩΣ,"


3 Χλμ
",4,www.arxontiko-pepos.gr,info@arxontiko-pepos.gr,26340-38185,26340-38186,Ναύπακτος,ΤΖΑΒΕΛΛΑ 11,303 00,26340-38186,,
ΑΣΤΗΡ,"


3 Χλμ
",4,www.hotelastirpatras.gr,astir@pat.forthnet.gr,+302610277502,+302610277524,Πάτρα,ΑΓΙΟΥ ΑΝΔΡΕΑ 16,262 23,+302610271644,,
ΑΤΛΑΝΤΑ,"


2 Χλμ
",2,www.hotelatlanta.gr,atlanta@pat.forthnet.gr,2610-278627,2610-220772,Πάτρα,ΖΑΙΜΗ 10,262 21,2610-220019,,
ΑΤΡΙΟΥΜ ΒΙΝΕΑ,,3,,brintziki@gmail.com,6944392928,,Πύργος,,27064,,,
ΑΥΡΑ,"


0.5 Χλμ
",1,,hotelavramesologgi@gmail.com,26310-25284,26310-22284,Μεσολόγγι,ΧΑΡΑΡΙΛΑΟΥ ΤΡΙΚΟΥΠΗ 1,302 00,,,
ΑΦΡΙΚΑ,"


9 Χλμ
",3,,afrikahotel@gmail.com,26910-41751,,Ελαιώνας,ΕΛΑΙΩΝΑΣ ΑΙΓΙΟΥ,250 03,26910-43000,,
ΑΦΡΟΔΙΤΗ,"


0.5 Χλμ
",2,hotelafroditi.com,hotelafro@gmail.com,26340-29922,26340-29923,Ναύπακτος,ΦΙΛΙΚΗΣ ΕΤΑΙΡΙΑΣ 1,303 00,26340-29924,,
ΑΧΑΙΑ ΜΠΗΤΣ,"


2 Χλμ
",4,www.airotel.gr,ab-reservations@airotel.gr,2610-991801,,Πάτρα,ΚΑΣΤΕΛΛΟΚΑΜΠΟΣ,264 42,2610-992487,2106449384,21-06400750
ΑΧΑΙΟΣ,"


2 Χλμ
",2,,george.takopoulos@hotmail.gr,26930-22561,26930-25370,Νιφοραίικα,ΝΙΦΟΡΕΙΚΑ ΑΧΑΙΑΣ,252 00,26930-25775,,2693-025375
ΑΧΑΪΣ,,2,,,26920-31628,,Πλανητέρο,,250 07,,,
ΑΧΙΛΛΕΙΟΝ,"


3 Χλμ
",3,www.ahilion.gr,info@ahilion.gr,2692029111,,Καλάβρυτα,ΚΑΛΑΒΡΥΤΑ,250 01,26920-29114,,
ΒΙΓΛΑ ΧΩΡΙΟ,,2,www.viglavillage.gr,echarda@hotmail.com,2623092503,,Κάστρο,ΚΑΣΤΡΟ-ΚΥΛΛΗΝΗΣ,270 50,,,
ΒΙΛΛΑ ΚΑΛΑΒΡΥΤΑ,"


0.2 Χλμ
",3,,ngeros@yahoo.com,26920-22712,26920-22845,Καλάβρυτα,ΚΑΛΑΒΡΥΤΑ ΑΧΑΙΑΣ,250 01,26920-22712,,
ΒΙΛΛΑΤΖ ΙΝ,"


0.5 Χλμ
",2,www.village-inn.gr,villageinnanwxwra@gmail.com,26340-41433,26340-41434,Άνω Χώρα,,300 23,26340-23846,,
ΒΟΝΙΤΣΑ,"


0.5 Χλμ
",3,,vonitsahotel@gmail.com,26430-22565,26430-22565,Βόνιτσα,ΜΑΡΚΑΝΤΩΝΑΤΩΝ 8,300 02,26430-22565,,
ΒΟΥΝΑΚΗ ΑΚΤΗ & ΜΑΡΙΝΑ,"


0.8 Χλμ
",4,,ocs@otenet.gr,26430-41330,,Πάλαιρος,ΠΑΛΑΙΡΟΣ ΑΙΤΩΛ/ΝΙΑΣ,300 12,26430-41293,,
ΒΡΥΝΙΩΤΗΣ,"


13 Χλμ
",2,www.vriniotis.gr,info@vriniotis.gr,26210-41294,26210-41158,Άγιος Ανδρέας Κατακόλου,ΑΓΙΟΣ ΑΝΔΡΕΑΣ ΚΟΡΑΚ.ΗΛΕΙΑΣ,270 67,26210-41402,2621-041294,2621-041402
ΒΥΖΑΝΤΙΝΟ,"


1.5 Χλμ
",4,www.byzantino-hotel.gr,info@byzantino-hotel.gr,2610-243000,,Πάτρα,Ρ.ΦΕΡΡΑΙΟΥ 106,262 21,2610-622150,,
ΓΑΛΑΞΙΑΣ,"


1 Χλμ
",3,http://galaxias-hotel.gr,hotelgalaxias17@gmail.com,26410-53500,26410-23551,Αγρίνιο,Γ.ΚΑΖΑΝΤΖΗ 17,301 00,26410-23553,,
ΓΑΛΑΞΙΑΣ,"


1 Χλμ
",3,,info@galaxyhotel.com.gr,2610-275981,2610-275983,Πάτρα,ΑΓ.ΝΙΚΟΛΑΟΥ 9,262 21,2610-278815,,
ΓΑΛΗΝΗ,,2,,goikon@yahoo.gr,26910-32570,,Λαμπίρι,ΛΑΜΠΙΡΙ ΑΧΑΙΑΣ,251 00,,,
ΓΑΛΗΝΗ,"


0.5 Χλμ
",3,,info@galini.com.gr,26910-26150,26910-26151,Αίγιο,1Η ΜΑΗ 1886 35,251 00,,,
ΓΕΩΡΓΑΚΕΙΟΝ,"


8 Χλμ
",2,,,26920-36258,,Φίλια,ΦΙΛΙΑ ΚΑΛΑΒΡΥΤΩΝ,250 07,,6974-433055,
ΓΕΩΡΓΙΟΣ,"


1 Χλμ
",2,www.hotel-george.gr,akiskoykoyris210@gmail.com,6936678621,2610-991134,Ρίο,ΙΩΝΙΑΣ 9,265 00,2610-991134,6936678621,
ΓΙΑΝΝΗΣ ΒΙΛΑΤΖ ΡΕΖΟΡΤ,,4,www.giannisvillageresort.gr,info@giannisvillageresort.gr,2646024024,,Αστακός,,30066,,2646042024,
ΓΙΩΤΗΣ,"


4 Χλμ
",2,,,2610-522224,2610-522246,Παραλία,25ΗΣ ΜΑΡΤΙΟΥ 2,265 00,,,
ΓΚΡΕΚΟΤΕΛ ΑΚΤΗ ΛΑΚΟΠΕΤΡΑ 2,"


11 Χλμ
",4,https://casamarron.grecotel.com/,reservations.ma@grecotel.com,26930-51713,,Λακκόπετρα,ΛΑΚΟΠΕΤΡΑ ΛΑΡΙΣΣΟΥ,252 00,26930-52057,2693-051713,
ΓΚΡΕΚΟΤΕΛ-ΑΚΤΗ ΛΑΚΟΠΕΤΡΑ,"


12 Χλμ
",4,https://casamarron.grecotel.com,reservations.ma@grecotel.com,26930-51713,,Λακκόπετρα,ΛΑΚΚΟΠΕΤΡΑ ΑΧΑΙΑΣ,252 00,26930-51045,2693-051584,2693-052057
ΓΛΑΡΕΝΤΖΑ,"


15 Χλμ
",3,www.glarentzahotel.gr,info@glarentzahotel.gr,26230-92397,26230-92320,Κυλλήνη,ΚΥΛΛΗΝΗ ΗΛΕΙΑΣ,270 68,26230-92325,,
ΓΛΥΦΑ ΠΑΡΑΛΙΑ,"


13 Χλμ
",2,,glyfa.beach.hotel@gmail.com,26230-96230,26230-96831,Γλύφα,ΓΛΥΦΑ ΗΛΕΙΑΣ,270 50,,26230-96830,26230-96832
ΔΑΦΝΗ,"


0.5 Χλμ
",1,,hotel_dafni@yahoo.gr,26920-71217,,Δάφνη,,250 04,,,
ΔΕΛΦΙΝΙ,"


4 Χλμ
",2,www.delfini-hotel.info,delfini1@otenet.gr,2610-421001,2610-421002,Πάτρα,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 1Ο2,264 42,2610-421006,,
ΔΕΛΦΙΝΙ,"


0.01 Χλμ
",2,www.aitolakarnania.com/delfini,pant.amalia@gmail.com,26810-88386,26810-88250,Μενίδι,ΜΕΝΙΔΙ ΑΙΤΩΛ/ΝΙΑΣ,300 16,26810-88112,,
ΔΕΞΑΜΕΝΕΣ,,4,,admin@dexamenes.com,6936969928,,Κουρούτα,,27200,,,
ΔΗΜΗΤΡΑ,"


2 Χλμ
",2,,dimitra.hotel@ymail.com,2610-671096,,Τσουκαλαίικα,ΤΣΟΥΚΑΛΕΙΚΑ ΔΗΜΟΥ ΒΡΑΧΝΕΙΚΩΝ,250 02,2610-671096,,
ΔΗΜΗΤΡΑ,,3,,grafeio99@gmail.com,26920-71039,,Δάφνη,,250 04,,,
ΔΙΑΤΗΡΗΤΕΟ,,3,,chmpimpa@gmail.com,6947848120,,Παναιτώλιο,,30003,,,
ΔΙΕΘΝΕΣ,"


0.5 Χλμ
",1,,hoteldiethnes@yahoo.gr,26250-31208,26250-34000,Ζαχάρω,ΖΑΧΑΡΩ ΗΛΕΙΑΣ,270 54,26250-31208,,
ΔΙΕΘΝΕΣ,"


2 Χλμ
",1,www.diethnesnafpaktos.gr,,26340-27342,,Ναύπακτος,ΝΟΒΑ 3,303 00,,,
ΔΡΥΑΔΕΣ,"


12 Χλμ
",2,www.dryades-xenonas.gr,info@dryades-xenonas.gr,26340-41633,6972081060,Αμπελακιώτισσα,ΑΜΠΕΛΑΚΙΩΤΙΣΣΑ ΑΙΤΩΛ/ΝΙΑΣ,300 23,,,
ΔΥΜΗ,"


0.5 Χλμ
",2,,,26930-25310,,Κάτω Αχαΐα,ΑΡΑΞΟΥ  &  ΟΙΒΩΤΑ 3,252 00,,2693-025310,2693-025311
ΕΛ ΓΚΡΕΚΟ,"


1.5 Χλμ
",2,www.elgrecohotelpatra.gr,elgrecohotelpatra@gmail.com,2610-272932,2610-272931,Πάτρα,ΑΓ.ΑΝΔΡΕΟΥ 145,262 21,2610-279233,,
ΕΛΕΝΑ,,1,,,26420-22509,26420-22944,Αμφιλοχία,ΧΑΒΙΝΗ 35,305 00,,,
ΕΛΕΥΘΕΡΙΑ – ΛΙΜΠΕΡΤΥ,"


0.5 Χλμ
",3,www.hotelliberty.gr,info@hotelliberty.gr,26310-24560,26310-28050,Μεσολόγγι,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 41,302 00,26310-24831,,
ΕΛΛΗ,,2,,konstantopouloschris@yahoo.gr,26440-51205,,Βαρειά,ΒΑΡΕΙΑ ΤΡΙΧΩΝΙΔΑΣ ΑΙΤΩΛ/ΝΙΑΣ,300 10,26440-51437,,
ΕΛΛΗΝΙΚΟ ΣΠΙΤΙ,"


1 Χλμ
",4,www.mghotels.gr,info@mghotels.gr,2610-241212,,Πάτρα,25ΗΣ ΜΑΡΤΙΟΥ 116,262 25,2610-241213,,
ΕΛΛΗΝΙΚΟ ΣΠΙΤΙ ΙΙ,"


1 Χλμ
",4,www.mghotels.gr,info@mghotels.gr,2610-241212,,Πάτρα,25ΗΣ ΜΑΡΤΙΟΥ 114,262 25,2610-241213,,
ΕΛΛΗΝΙΣ,"


0.5 Χλμ
",2,,mariahellinis@hotmail.com,26220-28975,,Αμαλιάδα,ΟΘΩΝΟΣ  &  ΑΜΑΛΙΑΣ 9,272 00,26220-24150,,
ΕΠΟΧΕΣ,"


10 Χλμ
",1,,mgrigorop@gmail.com,2610-931450,,Ροδινή,,265 04,,261-0931450,
ΕΡΜΗΣ,"


1 Χλμ
",1,,,26240-22577,,Αρχαία Ολυμπία,ΚΟΝΔΥΛΗ 63,270 65,,,
ΕΣΠΕΡΙΑ ΜΠΟΥΤΙΚ ΧΟΤΕΛ,"


2 Χλμ
",3,www.esperiahotel.gr,info@esperiahotel.gr,26410-23033,26410-55253,Αγρίνιο,ΧΑΡ.ΤΡΙΚΟΥΠΗ 31,301 00,26410-44641,,
ΕΥΡΩΠΗ,"


0.8 Χλμ
",4,www.hoteleuropa.gr,hoteleuropa@hoteleuropa.gr,26240-22650,26240-22700,Αρχαία Ολυμπία,ΑΡΧΑΙΑ ΟΛΥΜΠΙΑ,270 65,26240-23166,,
ΖΑΡΟΥΧΛΑ ΙΝΝ,,3,,moikonimop@yahoo.gr,2696031264,,Ζαρούχλα,ΖΑΡΟΥΧΛΑ ΑΚΡΑΤΑΣ 0,25006,,,
ΖΟΡΜΠΑΣ,"


10 Χλμ
",3,www.zorbashotel.eu,info@zorbashotel.eu,26210-54238,26210-54638,Μυρτέα,ΜΥΡΤΙΑ ΗΛΕΙΑΣ,271 00,26210-54233,,
Η ΕΛΑΤΟΥ,"


8 Χλμ
",2,www.hotel-elatou.gr,info@hotel-elatou.gr,26340-53000,6945510000,Ελατού,ΕΛΑΤΟΥ ΝΑΥΠΑΚΤΙΑΣ,300 24,2634053000,,
Η ΣΕΛΗΝΗ,"


0.5 Χλμ
",1,www.selini-hotel.gr,selini2009@gmail.com,26410-22798,26410-47076,Αγρίνιο,ΣΠ.ΤΣΙΚΝΙΑ 4,301 00,26410-47076,,
ΗΛΕΑΣ ΦΙΛΟΞΕΝΙΑ,,3,,info@ileas.gr,2623096085,,Γλύφα,,27050,2623032942,,
ΗΛΕΚΤΡΑ,"


2 Χλμ
",3,www.elektra-hotel.gr,info@elektra-hotel.gr,26430-42100,,Πάλαιρος,ΠΑΛΑΙΡΟΣ ΑΙΤ/ΝΙΑΣ,300 12,26430-41976,,
ΗΛΙΔΑ,,2,www.hotelilida.gr,info@hotelilida.gr,26210-28046,26210-28047,Πύργος,ΠΑΤΡΩΝ  &  ΔΕΛΗΓΙΑΝΝΗ 50,271 00,26210-22047,,
ΗΛΙΟΝ,"


4 Χλμ
",2,www.nafpaktoshotel.gr,info@nafpaktoshotel.gr,26340-38088,2634021222,Ναύπακτος,ΝΤΑΛΙΑΝΗ 7,303 00,26340-25830,,
ΗΛΙΟΣ,,3,,,26430-41111,,Πάλαιρος,ΠΑΛΑΙΡΟΣ ΑΙΤ/ΝΙΑΣ,300 12,,,
ΗΛΙΣ,"


0.2 Χλμ
",3,www.olympiahotels.gr,info@olympiahotels.gr,26240-22547,,Αρχαία Ολυμπία,ΠΡΑΞΙΤΕΛΟΥΣ ΚΟΝΔΥΛΗ 59,270 65,26240-22112,2624-022506,2624-022112
ΗΡΑΚΛΗΣ,"


0.2 Χλμ
",2,www.hotelhercules.gr,info@hotelhercules.gr,26240-22696,6973829042,Αρχαία Ολυμπία,ΤΣΟΥΡΕΚΑΚΑΙΣΠΗΛΙΟΠΟΥΛΟΥ,270 65,26240-23035,,
ΘΑΛΑΣΣΑ,"


1 Χλμ
",3,www.thalassaspahotel.gr,info@thalassaspahotel.gr,26430-41111,26430-41110,Πάλαιρος,ΠΑΛΑΙΡΟΣ ΑΙΤ/ΝΙΑΣ,300 12,26430-41441,,
ΘΕΑΣΗ,"


14 Χλμ
",3,www.theasi.gr,info@theasi.gr,26910-43611,,Τράπεζα,ΚΑΜΙΝΙ ΤΡΑΠΕΖΑΣ ΔΙΑΚΟΠΤΟΥ,250 03,26910-43612,,
ΘΕΜΙΣΤΩ,"


6 Χλμ
",2,www.themisto.gr,themistohotel@gmail.com,26910-81888,,Νικολαίικα,ΝΙΚΟΛΕΙΚΑ ΑΙΓΙΟΥ,251 00,26910-81990,,
ΘΕΟΞΕΝΕΙΑ,"


0.5 Χλμ
",3,www.theoxenia-hotel.gr,info@theoxenia-hotel.gr,26310-22493,2631022683,Μεσολόγγι,ΤΟΥΡΛΙΔΟΣ 2,302 00,26310-22230,,
ΘΕΟΞΕΝΙΑ,"


0.5 Χλμ
",3,www.theoxeniahotel.eu,theoxeniaandritsaina@gmail.com,26260-22219,26260-22235,Ανδρίτσαινα,,270 61,26260-22219,2626-022270,
ΘΕΡΜΙΟΣ ΑΠΟΛΛΩΝ,"


1 Χλμ
",3,www.apollonhotel.gr,koukos@apollonhotel.gr,26440-24024,26440-24330,Θέρμο,ΚΟΥΤΣΟΥΡΟ ΘΕΡΜΟΥ ΑΙΤΩΛ/ΝΙΑΣ,300 08,26440-24025,,
ΘΕΣΜΟΣ ΧΩΡΙΟ,,3,www.thesmosvillage.gr,ligonispar@gmail.com,2646081060,2109651507,Αρχοντοχώρι,,30019,2646081060,2109651507,2109651507
ΘΕΣΤΙΟΣ,"


12 Χλμ
",3,www.thestios.gr,info@thestios.gr,26410-48513,26410-46878,Άνω Βλοχός,,300 10,26410-48513,,
ΘΥΡΙΟ,,2,,,000-0000000,,Θύριο,ΘΥΡΙΟ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,300 02,,,
Ι. ΣΠΟΝ,"


2 Χλμ
",3,www.portovenezianohotel.gr,sponhotel@gmail.com,26340-29104,,Ναύπακτος,ΝΟΤΗ ΜΠΟΤΣΑΡΗ,303 00,26340-29957,,
ΙΛΑΚΙΑ,"


0.02 Χλμ
",4,www.ilakia.gr,ilakiain@otenet.gr,26250-41366,6948-600028,Φιγαλεία,ΦΙΓΑΛΕΙΑ ΗΛΕΙΑΣ,270 56,210-4223360,210-4223338,210-4223360
